Pillar,Sub-Pillar,Indicator,Country Name,data_col,new_rank_score,higher_is_better
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),United Kingdom of Great Britain and Northern Ireland (the),8.65696883672258e-05,5.04887971287209,True
Infrastructure,Innovation Ecosystem,Angel Ecosystem size,United Kingdom of Great Britain and Northern Ireland (the),2.290371222823181,4.343470840502047,True
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),United Kingdom of Great Britain and Northern Ireland (the),8.199133982931169e-06,4.213138739908912,True
Government,Digital Public Services,Security incidents (# of relevant issues),United Kingdom of Great Britain and Northern Ireland (the),0.2826737659240733,2.4892221605737177,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,United Kingdom of Great Britain and Northern Ireland (the),0.0001281362377547,5.006216850820179,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),United Kingdom of Great Britain and Northern Ireland (the),2.723070045426045e-06,4.253634525089188,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",United Kingdom of Great Britain and Northern Ireland (the),53.32307336665184,1.2833833287836347,False
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),United Republic of Tanzania (the),0.0,1.0,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",United Republic of Tanzania (the),0.6361513459631585,5.233420145160048,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,United Republic of Tanzania (the),5.644615037254459e-06,2.4068703334062653,True
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),United States of America (the),7.11,3.148058035714285,False
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,United States of America (the),91.01,5.167132928180505,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",United States of America (the),1188.4300000000003,4.454430571518127,True
Business,Startup Environment,Time required to start a business (days),United States of America (the),4.2,5.426461538461538,False
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",United States of America (the),2799.8299999999995,4.421484215132311,True
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",United States of America (the),2.5000000000000004,4.056980161645849,True
,Connectivity Technology,ISP internet download speed average ,United States of America (the),195.55,5.5247415422923805,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,United States Virgin Islands,0.0066666666666666,5.518121912862002,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,United States Virgin Islands,0.0028571428571428,5.219872246019265,True
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),United States of America (the),1.2487438208234386e-06,3.560971866862097,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",United States of America (the),7.405516168073446,2.8884323816482107,False
