Country Name,Country Code,Indicator,data_col,new_rank_score,higher_is_better
Latin America & Caribbean (excluding high income),LAC,Time required to start a business (days),1.0,1.0,True
Latin America & the Caribbean (IDA & IBRD countries),TLA,Time required to start a business (days),1.0,1.0,True
Least developed countries: UN classification,LDC,Time required to start a business (days),1.0,1.0,True
Low & middle income,LMY,Time required to start a business (days),1.0,1.0,True
Low income,LIC,Time required to start a business (days),1.0,1.0,True
Lower middle income,LMC,Time required to start a business (days),1.0,1.0,True
Middle East & North Africa,MEA,Time required to start a business (days),1.0,1.0,True
Middle East & North Africa (excluding high income),MNA,Time required to start a business (days),1.0,1.0,True
Middle East & North Africa (IDA & IBRD countries),TMN,Time required to start a business (days),1.0,1.0,True
Middle income,MIC,Time required to start a business (days),1.0,1.0,True
North America,NAC,Time required to start a business (days),3.0,4.333333333333334,True
Not classified,INX,Time required to start a business (days),,,True
OECD members,OED,Time required to start a business (days),2.0,2.666666666666667,True
Other small states,OSS,Time required to start a business (days),1.0,1.0,True
Pacific island small states,PSS,Time required to start a business (days),1.0,1.0,True
Post-demographic dividend,PST,Time required to start a business (days),1.0,1.0,True
Pre-demographic dividend,PRE,Time required to start a business (days),1.0,1.0,True
Small states,SST,Time required to start a business (days),1.0,1.0,True
South Asia,SAS,Time required to start a business (days),1.0,1.0,True
South Asia (IDA & IBRD),TSA,Time required to start a business (days),1.0,1.0,True
Sub-Saharan Africa,SSF,Time required to start a business (days),1.0,1.0,True
Sub-Saharan Africa (excluding high income),SSA,Time required to start a business (days),1.0,1.0,True
Sub-Saharan Africa (IDA & IBRD countries),TSS,Time required to start a business (days),1.0,1.0,True
Upper middle income,UMC,Time required to start a business (days),1.0,1.0,True
World,WLD,Time required to start a business (days),1.0,1.0,True
