Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Ambition,Ecuador,4.592436974789916,1,4.592436974789916
Ambition,Azerbaijan,4.581932773109244,1,4.581932773109244
Ambition,Georgia,4.560924369747899,1,4.560924369747899
Ambition,China,4.550420168067227,1,4.550420168067227
Ambition,Armenia,4.518907563025209,1,4.518907563025209
Ambition,Kazakhstan,4.497899159663865,1,4.497899159663865
Ambition,Eastern Europe and Central Asia,4.476890756302522,1,4.476890756302522
Ambition,Tunisia,4.476890756302522,1,4.476890756302522
Ambition,Brazil,4.466386554621848,1,4.466386554621848
Ambition,Fiji,4.455882352941177,1,4.455882352941177
Ambition,Peru,4.445378151260504,1,4.445378151260504
Ambition,Albania,4.434873949579831,1,4.434873949579831
Ambition,Malaysia,4.42436974789916,1,4.42436974789916
Ambition,Algeria,4.42436974789916,1,4.42436974789916
Ambition,Dominican Republic,4.413865546218487,1,4.413865546218487
Ambition,Upper-middle-income Countries,4.413865546218487,1,4.413865546218487
Ambition,Colombia,4.392857142857142,1,4.392857142857142
Ambition,Morocco,4.38235294117647,1,4.38235294117647
Ambition,Turkey,4.371848739495799,1,4.371848739495799
Ambition,United Arab Emirates,4.350840336134453,1,4.350840336134453
Ambition,Oman,4.34033613445378,1,4.34033613445378
Ambition,Jordan,4.34033613445378,1,4.34033613445378
Ambition,Bhutan,4.329831932773109,1,4.329831932773109
Ambition,"Iran, Islamic Rep.",4.329831932773109,1,4.329831932773109
Ambition,Singapore,4.319327731092438,1,4.319327731092438
Ambition,Uzbekistan,4.3088235294117645,1,4.3088235294117645
Ambition,Tajikistan,4.3088235294117645,1,4.3088235294117645
Ambition,Maldives,4.2563025210084025,1,4.2563025210084025
Ambition,Mexico,4.235294117647058,1,4.235294117647058
Ambition,Jamaica,4.224789915966386,1,4.224789915966386
Ambition,Latin America and the Caribbean,4.182773109243697,1,4.182773109243697
Ambition,"Egypt, Arab Rep.",4.182773109243697,1,4.182773109243697
Ambition,Barbados,4.161764705882353,1,4.161764705882353
Ambition,Brunei Darussalam,4.15126050420168,1,4.15126050420168
Ambition,Montenegro,4.140756302521009,1,4.140756302521009
Ambition,Cabo Verde,4.130252100840336,1,4.130252100840336
Ambition,Sri Lanka,4.130252100840336,1,4.130252100840336
Ambition,Panama,4.119747899159663,1,4.119747899159663
Ambition,El Salvador,4.109243697478992,1,4.109243697478992
Ambition,Bolivia,4.077731092436974,1,4.077731092436974
Ambition,Middle East and North Africa,4.025210084033613,1,4.025210084033613
Ambition,Suriname,4.01470588235294,1,4.01470588235294
Ambition,Paraguay,4.00420168067227,1,4.00420168067227
Ambition,Lebanon,3.993697478991596,1,3.993697478991596
Ambition,Qatar,3.983193277310925,1,3.983193277310925
Ambition,Mauritius,3.983193277310925,1,3.983193277310925
Ambition,Nepal,3.96218487394958,1,3.96218487394958
Ambition,Nicaragua,3.9411764705882346,1,3.9411764705882346
Ambition,Saudi Arabia,3.9411764705882346,1,3.9411764705882346
Ambition,Indonesia,3.9411764705882346,1,3.9411764705882346
Ambition,Bahrain,3.92016806722689,1,3.92016806722689
Ambition,East and South Asia,3.8781512605042017,1,3.8781512605042017
Ambition,Myanmar,3.794117647058824,1,3.794117647058824
Ambition,Philippines,3.752100840336134,1,3.752100840336134
Ambition,Cambodia,3.752100840336134,1,3.752100840336134
Ambition,Belize,3.741596638655463,1,3.741596638655463
Ambition,Mongolia,3.678571428571428,1,3.678571428571428
Ambition,Iraq,3.678571428571428,1,3.678571428571428
Ambition,South Africa,3.6680672268907566,1,3.6680672268907566
Ambition,Bangladesh,3.647058823529412,1,3.647058823529412
Ambition,Trinidad and Tobago,3.647058823529412,1,3.647058823529412
Ambition,Lao PDR,3.59453781512605,1,3.59453781512605
Ambition,Gabon,3.5735294117647056,1,3.5735294117647056
Ambition,Honduras,3.5735294117647056,1,3.5735294117647056
Ambition,Ghana,3.542016806722689,1,3.542016806722689
Ambition,Kuwait,3.542016806722689,1,3.542016806722689
Ambition,Small Island Developing States,3.542016806722689,1,3.542016806722689
Ambition,Botswana,3.478991596638655,1,3.478991596638655
Ambition,Namibia,3.468487394957983,1,3.468487394957983
Ambition,Turkmenistan,3.3949579831932777,1,3.3949579831932777
Ambition,Kenya,3.342436974789916,1,3.342436974789916
Ambition,Vanuatu,3.3319327731092434,1,3.3319327731092434
Ambition,Lower-middle-income Countries,3.289915966386555,1,3.289915966386555
Ambition,India,3.289915966386555,1,3.289915966386555
Ambition,Guatemala,3.2689075630252096,1,3.2689075630252096
Ambition,"Gambia, The",3.205882352941176,1,3.205882352941176
Ambition,"Venezuela, RB",3.205882352941176,1,3.205882352941176
Ambition,Sao Tome and Principe,3.1533613445378146,1,3.1533613445378146
Ambition,Zimbabwe,3.1428571428571432,1,3.1428571428571432
Ambition,Senegal,3.1113445378151257,1,3.1113445378151257
Ambition,Syrian Arab Republic,3.0693277310924367,1,3.0693277310924367
Ambition,Guyana,3.0588235294117645,1,3.0588235294117645
Ambition,Pakistan,3.0378151260504205,1,3.0378151260504205
Ambition,Rwanda,3.027310924369748,1,3.027310924369748
Ambition,Cote d'Ivoire,3.027310924369748,1,3.027310924369748
Ambition,Tanzania,2.90126050420168,1,2.90126050420168
Ambition,Mauritania,2.80672268907563,1,2.80672268907563
Ambition,Cameroon,2.7857142857142856,1,2.7857142857142856
Ambition,Lesotho,2.71218487394958,1,2.71218487394958
Ambition,Ethiopia,2.701680672268908,1,2.701680672268908
Ambition,Afghanistan,2.638655462184873,1,2.638655462184873
Ambition,Djibouti,2.628151260504201,1,2.628151260504201
Ambition,Burkina Faso,2.596638655462185,1,2.596638655462185
Ambition,Uganda,2.596638655462185,1,2.596638655462185
Ambition,Zambia,2.5861344537815123,1,2.5861344537815123
Ambition,Eswatini,2.57563025210084,1,2.57563025210084
Ambition,Togo,2.5651260504201683,1,2.5651260504201683
Ambition,"Yemen, Rep.",2.533613445378151,1,2.533613445378151
Ambition,"Congo, Rep.",2.533613445378151,1,2.533613445378151
Ambition,Mali,2.460084033613445,1,2.460084033613445
Ambition,Sub-Saharan Africa,2.4285714285714284,1,2.4285714285714284
Ambition,Burundi,2.418067226890756,1,2.418067226890756
Ambition,Sierra Leone,2.4075630252100844,1,2.4075630252100844
Ambition,Malawi,2.376050420168067,1,2.376050420168067
Ambition,Haiti,2.376050420168067,1,2.376050420168067
Ambition,Papua New Guinea,2.3655462184873945,1,2.3655462184873945
Ambition,Mozambique,2.344537815126051,1,2.344537815126051
