user_loc,fr_loc,scaled_sci
PA,GE,373
PA,CO,56143
PA,NP,270
PA,BF,1056
PA,ET,453
PA,AR,7937
PA,LA,248
PA,CA,3242
PA,BB,8163
PA,HT,11024
PA,KW,897
PA,GA,1127
PA,ME,1150
PA,LT,383
PA,GD,4659
PA,AG,7612
PA,MX,7578
PA,CL,16781
PA,CG,1564
PA,MY,424
PA,AL,650
PA,MG,1165
PA,GP,3563
PA,CH,4417
PA,GH,1691
PA,EC,20262
PA,MR,933
PA,KI,2881
PA,LC,4313
PA,KM,466
PA,CV,2693
PA,BY,598
PA,EG,881
PA,BG,630
PA,GB,1118
PA,NG,902
PA,JE,1822
PA,CR,139591
PA,MV,929
PA,NL,1681
PA,BD,627
PA,LU,2966
PA,HR,704
PA,GW,1639
PA,BJ,3622
PA,NZ,1070
PA,GN,1538
PA,NO,1149
PA,KE,1028
PA,AU,1103
PA,MO,876
PA,KZ,219
PA,MK,658
PA,KG,176
PA,MZ,1882
PA,MD,262
PA,CD,1122
PA,NE,1042
PA,PA,15940519
PA,JP,450
PA,BS,11754
PA,CF,914
PA,GQ,5963
PA,BZ,19420
PA,CY,1108
PA,IE,2247
PA,NC,690
PA,BN,498
PA,KH,289
PA,DJ,606
PA,IS,2703
PA,BE,1621
PA,AZ,393
PA,DE,1412
PA,CI,1322
PA,KY,33670
PA,CZ,627
PA,JM,11157
PA,MT,3328
PA,AO,2820
PA,CW,38796
PA,AT,1333
PA,DO,58196
PA,GY,7244
PA,BH,1040
PA,LV,831
PA,HN,34245
BW,BO,320
BW,BT,930
BW,BR,435
BW,BW,106679507
BW,BA,387
BW,AE,4411
BW,AW,851
BW,AM,238
BW,BD,1544
BW,BI,20756
BW,BB,6119
BW,BN,914
BW,AR,326
BW,BJ,24527
BW,BG,616
BW,AL,904
BW,BE,951
BW,AU,4389
BW,BS,7534
BW,AG,13867
BW,BF,25632
BW,AZ,822
BW,AO,36197
BW,AT,634
BW,BH,2724
ID,FJ,1294
ID,HU,333
ID,BD,2237
ID,FI,274
ID,GR,561
ID,BO,394
ID,BS,737
ID,GN,901
ID,GD,644
ID,HR,318
ID,EE,229
ID,AG,523
ID,ES,389
ID,GU,471
ID,AE,5670
ID,BT,955
ID,HK,17184
ID,BW,324
ID,BB,388
ID,BR,274
ID,GT,327
ID,AW,376
ID,GF,403
ID,CM,593
ID,BA,315
ID,ID,572296
ID,AM,115
ID,DZ,892
ID,ET,2845
ID,FR,306
ID,DK,294
ID,AR,305
ID,HT,810
ID,DJ,1347
ID,BN,45238
ID,BZ,483
ID,CA,399
ID,CV,653
ID,DE,557
ID,EC,483
ID,CG,725
ID,CY,713
ID,CL,390
ID,CH,607
ID,GH,971
ID,BJ,885
ID,GA,807
ID,BI,563
ID,GE,233
ID,AU,2003
ID,CD,636
ID,CF,647
ID,GP,272
ID,GW,1130
ID,BY,346
ID,AL,441
ID,EG,960
ID,GQ,649
ID,GB,419
ID,CO,462
ID,CR,518
ID,GM,1599
ID,BF,613
ID,AZ,417
ID,CI,693
ID,BG,447
ID,BE,374
ID,CZ,269
ID,AO,1137
ID,CW,371
ID,AT,457
ID,DO,830
ID,GY,757
ID,BH,4637
ID,HN,504
HR,FI,5328
HR,GR,6914
HR,BS,1036
HR,GT,233
HR,BZ,610
HR,GU,826
HR,BR,567
HR,CM,627
HR,GF,1846
HR,FJ,511
HR,CY,7319
HR,BA,934975
HR,AE,3355
HR,GN,500
HR,BB,1836
HR,AW,1587
HR,BW,464
HR,BI,474
HR,BO,509
HR,GA,470
TG,LB,20054
GB,BD,2959
TG,BD,2165
TG,GM,54615
TG,IT,5230
TG,LR,96078
GB,BZ,4080
TG,BZ,2680
TG,KY,2896
TG,PL,465
TG,JP,449
TG,ML,261259
GB,CF,1473
TG,CF,478902
TG,IE,2731
TG,JM,14898
GB,CD,2546
TG,CD,103921
TG,NE,711009
GB,AZ,1253
TG,AZ,2046
GB,BF,630
TG,BF,443712
GB,CY,70254
TG,CY,8904
TG,NL,2013
TG,GW,45192
TG,MZ,30207
GB,DJ,5289
TG,DJ,18687
GB,CA,12407
TG,CA,7116
TG,SB,5256
GB,DE,10335
TG,DE,7746
TG,PK,2284
TG,GE,1062
TG,MT,7158
TG,IS,2672
GB,CI,1730
TG,CI,324203
GB,CZ,9560
TG,CZ,461
GB,AO,3342
TG,AO,24943
TG,PR,740
TG,SG,913
GB,CW,5388
TG,CW,2202
GB,AT,10829
TG,AT,1554
GB,DO,1833
TG,DO,4703
TG,GY,6880
GB,BH,8955
TG,BH,4739
TG,LV,1171
TG,SE,1497
TG,HN,1926
TO,PH,2994
TO,IN,764
TO,BO,345
TO,PA,1159
TO,KE,1262
TO,AG,6764
TO,MN,632
TO,NI,636
TO,GF,4079
TO,GU,319503
TO,IM,1056
TO,GE,1339
TO,OM,1339
TO,KR,590
TO,BA,346
TO,ES,703
TO,MA,11757
TO,SI,237
TO,MW,3416
TO,RS,297
TO,BS,2780
TO,JO,433
TO,MM,204
TO,CM,1512
TO,MG,1535
TO,LS,981
TO,ML,1119
TO,KI,887362
TO,LK,3071
TO,HU,274
TO,BB,5048
TO,MO,3828
TO,FI,415
TO,GR,355
TO,BT,1105
TO,TN,3363
TO,LY,385
TO,SL,6129
TO,FJ,3051527
TO,GT,579
TO,SA,1241
TO,BW,2569
TO,BI,1470
TO,HR,552
TO,GM,3923
TO,SR,74684
TO,CA,2132
TO,NG,4100
TO,DK,1479
TO,MX,365
TO,PF,116942
TO,AW,3407
TO,AM,205
TO,DZ,2200
TO,LA,516
TO,SV,601
TO,PE,428
TO,RO,2175
TO,AE,1966
TO,NP,643
TO,HT,1823
TO,IS,1738
TO,ST,2492
TO,ID,932
TO,HK,1081
TO,GA,849
TO,MR,1050
TO,GN,1217
TO,BG,455
TO,RW,1216
TO,CV,20447
TO,EG,721
TO,KW,1301
TO,NL,540
TO,PY,601
TO,KG,157
TO,PT,402
TO,QA,2458
TO,LT,173
TO,BD,1429
TO,NO,765
TO,ME,639
TO,ET,770
TO,CR,524
TO,CG,1358
TO,CL,600
TO,GH,3908
TO,BJ,6402
TO,RE,747
TO,MQ,810
TO,TO,686527925
TO,AL,497
TO,EC,538
TO,MK,607
TO,GP,404
TO,TD,736
TO,KM,2210
TO,BY,192
TO,LC,8806
TO,MY,761
TO,SZ,1494
TO,GB,4498
TO,TG,1846
TO,MD,147
TO,AU,382243
TO,MV,2494
TO,GW,1539
TO,CD,2186
TO,NE,1398
TO,SK,892
TO,SN,1141
TO,PG,559991
TO,KY,5554
TO,BR,367
TO,LU,483
TO,JP,9983
TO,MU,8275
TO,GD,7408
TO,AR,277
TO,KH,524
TO,FR,2815
TO,BN,1420
TO,BZ,17070
TO,TL,14126
TO,BF,907
TO,NA,1765
TO,JE,2896
TO,IT,628
TO,LR,6189
TO,NC,218942
TO,CH,1727
TO,DE,1196
TO,EE,207
TO,GQ,994
TO,IE,2081
TO,TJ,1779
TO,JM,4202
TO,NZ,3277100
TO,CF,1262
TO,CY,1201
TO,PL,998
TO,SB,388664
TO,BE,625
TO,MZ,1945
TO,KZ,156
TO,LB,623
TO,MT,2224
TO,AZ,351
TO,CO,435
TO,SC,7928
TO,DJ,2972
TO,PK,1869
TO,CI,1253
TO,CZ,1418
TO,AO,1506
TO,PR,514
TO,SG,1555
TO,CW,2728
TO,AT,1029
TO,DO,2523
TO,GY,82625
TO,BH,1342
TO,LV,595
TO,TH,336
TO,SE,2036
TO,HN,736
DO,AL,1338
DO,AO,7995
DO,AR,9865
DO,BJ,6586
DO,BY,978
DO,CZ,539
DO,CF,3564
DO,AE,1607
DO,BI,2447
DO,CG,8402
DO,CM,4366
DO,BT,339
DO,AG,236881
DO,AT,4882
DO,AU,491
DO,AW,230182
DO,CA,5986
DO,BF,2733
DO,BA,1035
DO,AM,363
DO,CW,218623
DO,CD,5384
DO,BB,7479
DO,AZ,683
DO,CI,4318
DO,CV,4089
DO,DE,2877
DO,BW,5530
DO,CY,1362
DO,BO,7037
TN,MZ,2109
TN,CR,1906
TN,NL,3107
TN,LU,19580
TN,GW,2929
TN,JP,465
TN,KI,1244
TN,SB,1124
TN,CF,14895
TN,IS,1600
TN,LB,13759
TN,AZ,962
TN,CI,25500
TN,CZ,2694
TN,AO,2590
TN,PR,772
TN,SG,652
TN,CW,1082
TN,AT,5315
TN,DO,2454
TN,GY,1717
TN,BH,9662
TN,LV,6015
TN,TH,368
TN,SE,4059
TN,HN,2980
TL,LK,4400
TL,MU,1219
TL,FI,211
TL,GR,302
TL,BS,527
TL,GT,538
TL,KI,10337
TL,PA,898
TL,MN,788
TL,TL,224573722
TL,HU,251
TL,BZ,1724
TL,GU,1361
TL,IM,9732
TL,RW,1363
TL,PL,145
TL,NI,1051
TL,BR,2023
TL,MW,732
TL,MA,935
TL,SI,229
TL,CM,772
TL,GF,587
TL,FJ,10360
TL,MY,13645
TL,CY,595
TL,BA,291
TL,RO,366
TL,AE,1912
TL,JO,379
TL,GN,944
TL,OM,1715
TL,SC,1981
TL,BB,622
TL,SR,1814
TL,AW,1193
TL,SN,670
TL,SK,215
TL,ST,14996
TL,BW,835
TL,KR,54205
TL,MG,1667
TL,BI,1123
TL,MM,448
TL,LS,487
TL,PT,47388
TL,SA,1574
TL,IN,882
TL,BO,709
TL,GA,795
TL,IT,999
TL,LR,2043
TL,ES,617
TL,KZ,229
TL,GD,1021
TL,SL,2662
TL,PH,4380
TL,DZ,464
TL,BT,1645
TL,MQ,188
TL,AM,164
TL,MR,641
TL,SV,521
TL,KW,1450
TL,ME,700
TL,PF,1128
TL,HK,3201
TL,HT,1296
TL,BJ,5808
TL,NC,741
TL,AR,445
TL,CA,384
TL,EG,416
TL,LY,312
TL,QA,2172
TL,GQ,2075
TL,AL,514
TL,DK,247
TL,CG,1216
TL,JP,1122
TL,LT,373
TL,KE,1201
TL,LA,1523
TL,CL,325
TL,GP,590
TL,NL,1401
TL,MX,435
TL,BF,735
TL,LC,711
TL,CH,1208
TL,BY,213
TL,MK,229
TL,PE,537
TL,NA,1430
TL,NP,1194
TL,ET,2692
TL,LB,473
TL,SZ,839
TL,MD,193
TL,BG,224
TL,GB,54601
TL,TG,1354
TL,CD,1203
TL,NE,1129
TL,BN,20007
TL,EE,482
TL,AU,34133
TL,MV,3007
TL,NZ,6284
TL,HR,250
TL,CR,722
TL,PY,1347
TL,FR,313
TL,MT,794
TL,JE,12101
TL,PG,16655
TL,GW,4943
TL,AG,979
TL,RE,204
TL,BD,2246
TL,EC,712
TL,CV,69096
TL,TD,922
TL,GH,1602
TL,ID,235540
TL,MZ,5609
TL,CO,695
TL,RS,180
TL,KY,1108
TL,KH,3183
TL,MO,19770
TL,KG,266
TL,BE,543
TL,ML,1180
TL,CF,1221
TL,PK,1953
TL,NO,410
TL,TJ,686
TL,DJ,1443
TL,NG,761
TL,LU,1492
TL,IE,16080
TL,JM,1167
TL,DE,348
TL,KM,595
TL,CZ,166
TL,IS,251
TL,SB,13676
TL,GM,1572
TL,GE,281
TL,CI,969
TL,AZ,301
TL,AO,4796
TL,PR,441
TL,SG,7389
TL,CW,370
TL,AT,334
TL,DO,1363
TL,GY,2048
TL,BH,1786
TL,LV,168
TL,TH,535
TL,SE,458
TL,HN,1045
CR,BD,471
CR,BO,7918
CR,BR,2489
CR,BT,416
CR,AE,1371
CR,BW,455
CR,BA,559
CR,AW,25317
CR,CM,1108
CR,BI,569
CR,BB,3217
CR,AM,279
CR,AL,768
CR,BZ,22932
CR,BF,743
CR,BE,2045
CR,CO,16501
CR,BJ,3217
CR,CL,8753
CR,CG,1102
CR,CD,732
