Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2015,2016,2017
FIN,Finland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,6,12
FRA,France,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,76.2,90,
FRA,France,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,19,20
GAB,Gabon,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,,32,
GAB,Gabon,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,,110
GBR,United Kingdom,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,83.7,95.1,
GBR,United Kingdom,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,8,6
GEO,Georgia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,39.2,57,
GEO,Georgia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,84,70
GHA,Ghana,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,30.5,35,
GHA,Ghana,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,99,105
GIN,Guinea,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,7.9,7,
GIN,Guinea,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,136,142
GRC,Greece,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,58.6,80,
GRC,Greece,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,46,34
GTM,Guatemala,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,21.4,,
GTM,Guatemala,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,111,
HKG,"Hong Kong SAR, China",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,81.1,,
HKG,"Hong Kong SAR, China",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,14,
HND,Honduras,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,30.5,37,
HND,Honduras,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,98,98
HRV,Croatia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,69.6,81,
HRV,Croatia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,30,32
HTI,Haiti,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,,16,
HTI,Haiti,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,,134
HUN,Hungary,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,64.5,79,
HUN,Hungary,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,37,36
IDN,Indonesia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,33,36,
IDN,Indonesia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,93,101
IND,India,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,34,44,
IND,India,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,90,83
IRL,Ireland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,77.7,90,
IRL,Ireland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,18,19
IRN,"Iran, Islamic Rep.",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,42.6,,
IRN,"Iran, Islamic Rep.",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,77,
IRQ,Iraq,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,14.3,14,
IRQ,Iraq,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,127,139
ISL,Iceland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,89,93,
ISL,Iceland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,2,11
ISR,Israel,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,76.1,81,
ISR,Israel,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,20,31
ITA,Italy,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,63.5,74,
ITA,Italy,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,38,40
JAM,Jamaica,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,47.6,65,
JAM,Jamaica,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,66,53
JOR,Jordan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,41.3,50,
JOR,Jordan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,80,75
JPN,Japan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,86.1,93.6,
JPN,Japan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,5,8
KAZ,Kazakhstan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,36.5,66,
KAZ,Kazakhstan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,88,51
KEN,Kenya,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,37.9,45,
KEN,Kenya,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,86,82
KGZ,Kyrgyz Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,23.8,29,
KGZ,Kyrgyz Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,109,117
KHM,Cambodia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,19.5,29,
KHM,Cambodia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,119,115
KOR,"Korea, Rep.",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,84.3,,
KOR,"Korea, Rep.",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,7,
KWT,Kuwait,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,61.9,63,
KWT,Kuwait,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,40,57
LAO,Lao PDR,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,20.3,,
LAO,Lao PDR,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,115,
LBN,Lebanon,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,57.4,63,
LBN,Lebanon,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,48,56
LBR,Liberia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,15.1,18,
LBR,Liberia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,124,130
LKA,Sri Lanka,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,33.2,52,
LKA,Sri Lanka,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,92,73
LSO,Lesotho,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,14.5,22,
LSO,Lesotho,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,126,125
LTU,Lithuania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,61.3,79,
LTU,Lithuania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,41,35
LUX,Luxembourg,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,89.7,96.5,
LUX,Luxembourg,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,1,1
LVA,Latvia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,66.2,87,
LVA,Latvia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,34,24
