"Percentage of Population Using Internet by Age, Sex, Variable, Country and Year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,Belarus,..,..,..,..,..,..,..,..,..,..,..,30.3,26.9,36.4,48.2,54.6,62.6,67.8,73.8,79.3,85.5,90.2,..
,,,Belgium,..,..,..,..,..,..,..,56.0,64.0,69.0,70.0,75.0,80.0,85.0,84.0,87.0,90.0,92.0,91.0,92.0,93.0,94.0,..
,,,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.3,84.3,85.4,..
,,,Bulgaria,..,..,..,..,..,..,13.0,..,25.0,33.0,39.0,46.0,50.0,58.0,63.0,63.0,67.0,69.0,73.0,77.0,78.0,82.0,..
,,,Croatia,..,..,..,..,..,..,..,..,..,34.0,37.0,48.0,55.0,62.0,65.0,71.0,77.0,77.0,85.0,78.0,88.0,89.0,..
,,,Cyprus,..,..,..,..,..,..,22.0,26.0,27.0,37.0,35.0,44.0,52.0,56.0,63.0,68.0,74.0,77.0,85.0,90.0,95.0,95.0,..
,,,Czechia,..,..,..,..,..,19.0,25.0,27.0,38.0,44.0,56.0,61.0,65.0,72.0,78.0,83.0,86.0,89.0,90.0,92.0,95.0,95.0,..
,,,Denmark,..,..,..,..,..,69.0,74.0,82.0,85.0,84.0,90.0,89.0,94.0,94.0,95.0,97.0,96.0,98.0,98.0,98.0,97.0,98.0,..
,,,Estonia,..,..,..,..,..,..,50.0,61.0,67.0,71.0,74.0,83.0,86.0,88.0,87.0,90.0,93.0,96.0,96.0,97.0,97.0,98.0,..
,,,Finland,..,..,..,..,..,66.0,75.0,75.0,84.0,87.0,90.0,91.0,94.0,96.0,97.0,97.0,96.0,98.0,99.0,98.0,99.0,98.0,..
,,,France,..,..,..,..,..,..,..,..,45.0,60.0,71.0,72.0,83.0,82.0,85.0,85.0,87.0,88.0,89.0,91.0,92.0,94.0,..
,,,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.3,96.4,97.4,98.0,..
,,,Germany,..,..,..,..,..,46.0,55.0,57.0,65.0,69.0,75.0,79.0,83.0,86.0,87.0,89.0,91.0,93.0,95.0,95.0,97.0,97.0,..
,,,Greece,..,..,..,..,..,13.0,16.0,17.0,21.0,27.0,32.0,40.0,44.0,54.0,59.0,65.0,69.0,75.0,80.0,80.0,84.0,88.0,..
,,,Hungary,..,..,..,..,..,..,20.0,40.0,47.0,56.0,65.0,68.0,72.0,79.0,82.0,84.0,87.0,86.0,90.0,89.0,91.0,91.0,..
,,,Iceland,..,..,..,..,..,79.0,81.0,88.0,91.0,90.0,94.0,95.0,95.0,98.0,98.0,98.0,100.0,..,..,100.0,100.0,99.0,..
,,,Ireland,..,..,..,..,..,27.0,30.0,38.0,46.0,54.0,64.0,67.0,72.0,80.0,83.0,83.0,87.0,88.0,90.0,88.0,95.0,95.0,..
,,,Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Italy,..,..,..,..,..,25.0,24.0,28.0,31.0,34.0,39.0,45.0,51.0,55.0,58.0,62.0,66.0,70.0,76.0,78.0,81.0,82.0,..
,,,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,52.1,61.7,64.1,70.3,71.0,73.0,68.7,67.9,69.0,61.7,62.1,..
,,,Latvia,..,..,..,..,..,..,31.0,40.0,52.0,58.0,66.0,72.0,76.0,80.0,84.0,88.0,86.0,89.0,90.0,93.0,94.0,95.0,..
,,,Lithuania,..,..,..,..,..,..,24.0,31.0,42.0,51.0,56.0,63.0,67.0,72.0,78.0,78.0,83.0,84.0,86.0,89.0,91.0,94.0,..
