id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
72,France,Paris,Europe,Free-IX,http://www.FreeIX.net,Defunct,20000000,0,48.80000,2.33000,0,0,0,0,0.000000,No,2008-12-02,,,,,,,http://tools.freeix.net/freeix/cgi-bin/members.pl,No,,383
73,France,Paris,Europe,"Metropolitan Area Ethernet-Paris",http://www.mae.net/fac/mae-paris.htm,Unknown,0,0,48.80000,2.33000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.mae.net/fac/mae-paris-members.htm,No,,383
74,France,Paris,Europe,"Mix Internet Exchange and Transit",http://www.mixt.net/,Unknown,19990000,0,48.80000,2.33000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.mixt.net/membres?PHPSESSID=d70789dd2193dfc12c377b1c95fbe580,No,,383
75,France,Paris,Europe,"Paris Internet Exchange",,Deprecated,0,0,48.80000,2.33000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
76,France,Paris,Europe,"Paris Internet Exchange Service",,Unknown,0,0,48.80000,2.33000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
77,France,Paris,Europe,PARIX,http://www.parix.net,"Not an exchange",20010000,0,48.80000,2.33000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.parix.net/parix-members.html,No,,383
79,France,Paris,Europe,"Paris NAP",http://www.panap.fr,Defunct,20050700,0,48.80000,2.33000,0,0,0,0,0.000000,No,2013-03-20,,,,,,,http://www.panap.fr/members.php,No,,383
84,Germany,Frankfurt,Europe,MAE-Frankfurt,http://www.mae.net/fac/mae-frankfurt.htm,Unknown,0,0,50.12000,8.68000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.mae.net/fac/mae-frankfurt-members.htm,No,,383
85,Germany,Frankfurt,Europe,"XchangePoint Frankfurt IPP",,Unknown,0,0,50.12000,8.68000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
86,Germany,Hamburg,Europe,"Internet Exchange Hamburg",http://www.inxs.de,Defunct,20001000,0,53.55000,10.03000,0,0,0,0,0.000000,No,2015-10-31,,,,,,,http://www.inxs.de/public/cgi-bin/showmembers,No,,383
87,Germany,Hamburg,Europe,"XchangePoint Hamburg IPP",,Unknown,20030400,0,53.55000,10.03000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
90,Germany,Munich,Europe,"Munich Commercial Internet Exchange",,Defunct,0,0,48.13000,11.70000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
91,Germany,Münster,Europe,"Nederlands-Duitse Internet Exchange",http://www.ndix.net,Planned,0,0,51.95000,7.48401,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
95,China,"Hong Kong",Asia-Pacific,"Hong Kong Academic Internet Exchange",http://cn.apan.net?,Planned,0,0,22.33000,114.18000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
97,China,"Hong Kong",Asia-Pacific,Level3,,Defunct,0,0,22.33000,114.18000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
98,China,"Hong Kong",Asia-Pacific,"Pihana Hong Kong",,"Not an exchange",0,0,22.33000,114.18000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
101,India,Mumbai,Asia-Pacific,"Enron India Exchange",,Defunct,0,0,19.00000,72.80000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
102,India,"New Delhi",Asia-Pacific,"India Internet Exchange",https://www.india-ix.com/,Planned,0,0,28.58000,77.20000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
107,Indonesia,Bali,Asia-Pacific,"Bali Internet Exchange",,Planned,0,0,-8.31478,115.21912,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
108,Indonesia,Bandung,Asia-Pacific,NPXP,,Planned,0,0,-6.90344,107.57312,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
109,Indonesia,Jakarta,Asia-Pacific,IndonesiaEP,,Unknown,0,0,-6.17444,106.82944,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
112,Indonesia,Jakarta,Asia-Pacific,"NAPSINDO International Internet Exchange",http://www.naiix.net/,Defunct,0,0,-6.17444,106.82944,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
115,Indonesia,Surabaya,Asia-Pacific,NPXP,,Planned,0,0,-7.24917,112.75083,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
119,Italy,Rome,Europe,CASPUR,,"Not an exchange",0,0,41.90000,12.45000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
122,Japan,Kyoto,Asia-Pacific,"Kyoto Municipal Exchange",,Unknown,0,0,35.02000,135.73000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
123,Japan,Nagoya,Asia-Pacific,"JPIX Nagoya",https://www.jpix.ad.jp/en/,Unknown,20010400,0,35.12000,136.93000,0,0,0,0,0.000000,No,2017-02-23,,,,,,,,No,,249
124,Japan,Tokyo,Asia-Pacific,"JPIX Nihonbashi",https://www.jpix.ad.jp/en/,"Not an exchange",20040400,0,35.55000,139.78000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,https://www.jpix.ad.jp/en/member.php,No,,249
127,Japan,Osaka,Asia-Pacific,NSPIXP-2,,Deprecated,19970300,0,34.53000,135.50000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
132,Japan,Tokyo,Asia-Pacific,"Media Exchange Co.",http://www.mex.ad.jp/,"Not an exchange",0,0,35.55000,139.78000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
133,Japan,Tokyo,Asia-Pacific,"Network Service Provider IXP",,Defunct,19940400,0,35.55000,139.78000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
136,Japan,Tokyo,Asia-Pacific,"Pihana Tokyo",,"Not an exchange",0,0,35.55000,139.78000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
140,Japan,Sendai,Asia-Pacific,"BBIX Sendai",http://www.bbix.net/en/service/ix/,Defunct,20040800,0,38.13000,140.93000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
146,"South Korea",Seoul,Asia-Pacific,"Korea Internet Data Center",http://www.kidc.net/eng/,Unknown,19991000,0,37.50000,126.93000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
148,"South Korea",Seoul,Asia-Pacific,"Korea Internet Exchange KIX",http://www.kix.ne.kr,Unknown,19961000,0,37.50000,126.93000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
149,"South Korea",Seoul,Asia-Pacific,"Korea Telecom Internet Exchange",http://www.kix.net,"Not an exchange",19961000,0,37.50000,126.93000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
150,"South Korea",Seoul,Asia-Pacific,"Pihana Seoul",,"Not an exchange",0,0,37.50000,126.93000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
151,Latvia,Riga,Europe,"Latvian Internet Exchange",http://www.lix.lv,"Not an exchange",20070600,0,56.97000,24.05000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.lix.lv/site/members,No,,383
152,Luxembourg,Luxembourg,Europe,"Luxembourg Internet Exchange",http://www.lix.lu/,Defunct,19980000,0,49.62000,6.22000,0,0,0,0,0.000000,No,2010-01-15,,,,,,,http://www.restena.lu/restena/en/EN-LIXMembersNet.html,No,,383
153,Malaysia,"Kuala Lumpur",Asia-Pacific,"Asia Regional Internet Exchange NAP",http://www.arix-nap.net/,"Not an exchange",0,0,3.13000,101.70000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
154,Malaysia,"Kuala Lumpur",Asia-Pacific,"Kuala Lumpur Internet Exchange",,"Not an exchange",0,0,3.13000,101.70000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
155,Malta,Msida,Europe,"Malta Internet Exchange",http://www.mix.net.mt/,Unknown,19990907,0,35.89000,14.48000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.mix.net.mt/participants.html,No,,383
157,Mongolia,Ulaanbaatar,Asia-Pacific,"Mongolia Internet Exchange",http://www.infocon.mn/info/node/95,Unknown,20010500,0,47.90882,106.86346,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
161,Netherlands,Amsterdam,Europe,"XchangePoint Amsterdam IPP",,Unknown,0,0,52.30000,4.77000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
