CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Access,Association,Expression,Total Country Score
china,Asia,Eastern Asia,China,Upper Middle Income,4.748915039055556,1.2857142857142856,5.97062053322292,4.001749952664254
tunisia,Africa,Northern Africa,Tunisia,Lower Middle Income,4.623192760555556,5.0,5.999963995751498,5.207718918769018
iran,Asia,Southern Asia,Iran (Islamic Republic of),Lower Middle Income,5.0142902835,1.7142857142857144,,3.3642879988928573
jamaica,Americas,Latin America and the Caribbean,Jamaica,Upper Middle Income,2.7079390207500005,,5.999993999291917,4.353966510020959
burundi,Africa,Sub-Saharan Africa,Burundi,Low Income,1.883314975,,,1.883314975
mauritius,Africa,Sub-Saharan Africa,Mauritius,Upper Middle Income,4.3935711013333325,,5.999963995751498,5.196767548542415
el-salvador,Americas,Latin America and the Caribbean,El Salvador,Lower Middle Income,4.014458506944444,,,4.014458506944444
suriname,Americas,Latin America and the Caribbean,Suriname,Upper Middle Income,5.114441553666667,,,5.114441553666667
afghanistan,Asia,Southern Asia,Afghanistan,Low Income,3.269666659,,,3.269666659
nicaragua,Americas,Latin America and the Caribbean,Nicaragua,Lower Middle Income,4.510561052833333,3.571428571428572,6.0,4.693996541420635
armenia,Asia,Western Asia,Armenia,Upper Middle Income,4.819292186999999,4.714285714285714,,4.766788950642857
niger,Africa,Sub-Saharan Africa,Niger (the),Low Income,0.8371227105833334,,,0.8371227105833334
brazil,Americas,Latin America and the Caribbean,Brazil,Upper Middle Income,5.044759693055556,4.428571428571429,5.882230103152172,5.118520408259719
cyprus,Asia,Western Asia,Cyprus,High Income,5.381885438444445,,5.999963995751498,5.690924717097971
paraguay,Americas,Latin America and the Caribbean,Paraguay,Upper Middle Income,4.82201214888889,,,4.82201214888889
cambodia,Asia,South-eastern Asia,Cambodia,Lower Middle Income,4.869411687333333,3.571428571428572,6.0,4.813613419587302
chad,Africa,Sub-Saharan Africa,Chad,Low Income,1.643333346,,,1.643333346
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,5.11526225678125,2.428571428571429,5.999891987254496,4.514575224202392
palau,Oceania,Micronesia,Palau,High Income,6.0,,,6.0
slovenia,Europe,Southern Europe,Slovenia,High Income,5.335009990166666,,5.999981997875749,5.667495994021207
bahrain,Asia,Western Asia,Bahrain,High Income,5.986931101222222,2.142857142857143,,4.064894122039682
turkey,Asia,Western Asia,Turkey,Upper Middle Income,4.946449994166667,2.428571428571429,5.885590499678962,4.420203974139019
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,4.648132015055555,,5.999879985838329,5.324006000446943
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,4.236373898722222,,5.998787856967122,5.117580877844672
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,5.4662441255,,,5.4662441255
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,2.8574999745833334,,,2.8574999745833334
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,5.559432347666667,,5.999993999291917,5.779713173479292
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,5.556093343000001,4.142857142857142,5.999699964595822,5.232883483484322
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,4.08644001005,,5.999993999291917,5.043217004670958
romania,Europe,Eastern Europe,Romania,Upper Middle Income,5.022449047222222,,5.998055770580929,5.510252408901575
