Indicator,Country,2000_value,2000_notes,2000_source,2001_value,2001_notes,2001_source,2002_value,2002_notes,2002_source,2003_value,2003_notes,2003_source,2004_value,2004_notes,2004_source,2005_value,2005_notes,2005_source,2006_value,2006_notes,2006_source,2007_value,2007_notes,2007_source,2008_value,2008_notes,2008_source,2009_value,2009_notes,2009_source,2010_value,2010_notes,2010_source,2011_value,2011_notes,2011_source,2012_value,2012_notes,2012_source,2013_value,2013_notes,2013_source,2014_value,2014_notes,2014_source,2015_value,2015_notes,2015_source,2016_value,2016_notes,2016_source,2017_value,2017_notes,2017_source,2018_value,2018_notes,2018_source,2019_value,2019_notes,2019_source,data_country,data_year
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Aruba,15000,,,53000,,,61800,,,69952,,,98389,,,103417,,,109030,,,113586,,Servicio di Telecomunicacion di Aruba (SETAR).,120806,,Servicio di Telecomunicacion di Aruba (SETAR).,128000,,ITU estimate.,131800,,ITU estimate.,,,,135000,,ITU estimate.,138800,,ITU estimate.,139700,,ITU estimate.,141000,,ITU estimate.,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Ascension,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,Cable & Wireless plc. (C&W).,0,,Cable & Wireless plc. (C&W).,0,,,0,,,0,C&W,Cable & Wireless South Atlantic Ltd,0,,Cable & Wireless South Atlantic Ltd,,,,0,,Sure South Atlantic Ltd,298,,Sure South Atlantic Ltd,519,,Sure South Atlantic Ltd,1000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Australia,8562000,,Australian Department of Broadband; Communications and the Digital Economy (DBCDE).,11132000,,Australian Department of Broadband; Communications and the Digital Economy (DBCDE).,12670000,,Australian Department of Broadband; Communications and the Digital Economy (DBCDE).,14347000,,Australian Department of Broadband; Communications and the Digital Economy (DBCDE).,16480000,,ACMA.,18420000,,ACMA.,19760000,,ACMA.,21260000,,ACMA.,22120000,Incl. subscriptions by data cards or USB modems.,ACMA.,22200000,,ACMA.,22500000,,ACMA.,23789000,ACMA Communications Report 2011-12,ACMA.,24338000,ACMA Communications Report 2011-12.,ACMA.,24940000,ACMA Communications Report 2012-13,ACMA.,25060000,As at June 2014. Source: Australian Communications and Media Authority; 2016; Communications report 2015-16; ACMA; Sydney; p. 7; Bureau of Communications and Arts Research Calculations.,ABS,25770000,As at June 2015. Source: Australian Communications and Media Authority; 2016; Communications report 2015-16; ACMA; Sydney; p. 7; Bureau of Communications and Arts Research Calculations.,ABS,26551000,ACMA communications Report 2017-18; pp.32; Figure 1.11 Mobile services in operation by product category (millions); As of June ; https://www.acma.gov.au/-/media/Research-and-Analysis/Report/pdf/Communications-report-2017-18-pdf.pdf?la=en; ; ABS Publication 8153.0;Internet Activity; Australia; June 2018; Table 1; As of June. https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/8153.0June%202018?OpenDocument; ; Methodology:; To calculate this figure; first take the total number of mobile services (voice and data) from ACMA report.; Subtract the number of dedicated mobile broadband subscriptions; as reported in ABS 8153.0 Internet Activity; Australia. From Table 1 – Internet subscribers by type of access connection; read directly from Number of subscribers – Mobile wireless.,Department of Communications and the Arts,26660000,Financial year data. Figure has been revised in line with new methodology due to change in reporting body.; ; Figures reported from June 2017 comprise a series break and are incomparable with previous data for any mobile-cellular subscription measures Australia reports to the ITU; ; Source: ACMA Communications report 2018-19; pp. 39. Figure 1.10: Mobile services in operation by product category. ; https://www.acma.gov.au/sites/default/files/2020-02/Communications%20report%202018-19.pdf; ;,Department of Infrastructure; Transport; Regional Development and Communications,27640000,Financial year data. Figure has been revised in line with new methodology due to change in reporting body.; ; Source: ACMA Communications report 2018-19; pp. 39. Figure 1.10: Mobile services in operation by product category. ; https://www.acma.gov.au/sites/default/files/2020-02/Communications%20report%202018-19.pdf;,Department of Infrastructure; Transport; Regional Development and Communications,27880000,Financial year data. ; ; Source: ACMA Communications report 2018-19; pp. 39. Figure 1.10: Mobile services in operation by product category. ; https://www.acma.gov.au/sites/default/files/2020-02/Communications%20report%202018-19.pdf;,Department of Infrastructure; Transport; Regional Development and Communications,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Austria,6117000,,Federal Ministry for Science and Transport.,6541000,,Federal Ministry for Science and Transport.,6736000,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,7274000,September.,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,7992000,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,8665000,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,9281000,Incl. subscribers to public mobile data services.,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,9912000,Incl. subscribers to public mobile data services.,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),10816000,,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),11434000,,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),12241000,,Rundfunk und Telekom Regulierungs-GmbH,13022578,,Rundfunk und Telekom Regulierungs-GmbH,13588000,,Rundfunk und Telekom Regulierungs-GmbH,13272000,,Austrian Regulatory Authority for Broadcasting and Telecommunications,12952605,,Austrian Regulatory Authority for Broadcasting and Telecommunications,13470623,,Austrian Regulatory Authority for Broadcasting and Telecommunications,11079460,Break in time series,RTR GmbH,10859000,,RTR GmbH,10984000,,RTR GmbH,10726000,,RTR GmbH,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Azerbaijan,420400,,,730000,,,794200,,,1057100,,,1456523,,,2242000,,,3323500,,,4519000,,Ministry of Communications and Information Technologies.,6548000,,Ministry of Communications and Information Technologies.,7757120,,Ministry of Communications and Information Technologies.,9100113,,Ministry of Communications and Information Technologies,10120105,,Ministry of Communications and Information Technologies (MC&IT),10125200,,Ministry of Communications and Information Technologies (MC&IT),10130102,,Ministry of Communications and Information Technologies (MC&IT),10552520,,Ministry of Communications and High Technologies (MC&HT),10697132,,Ministry of Communications and High Technologies (MC&HT),10189000,ref: The State Statistical Committee,Ministry of Transport; Communications and High Technologies,10127000,ref: The State Statistical Committee,Ministry of Transport; Communications and High Technologies,10339700,ref: The State Statistical Committee,Ministry of Transport; Communications and High Technologies,10750300,ref: The State Statistical Committee,Ministry of Transport; Communications and High Technologies,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Bahamas,31524,,Batelco; Bahamas Telecommunications Corporation.,60555,,Batelco; Bahamas Telecommunications Corporation.,121759,,Batelco; Bahamas Telecommunications Corporation.,122228,,Batelco; Bahamas Telecommunications Corporation.,186007,,Batelco; Bahamas Telecommunications Corporation.,227771,,Batelco; Bahamas Telecommunications Corporation.,252987,,Batelco; Bahamas Telecommunications Corporation.,373999,,Batelco; Bahamas Telecommunications Corporation.,358050,,Batelco; Bahamas Telecommunications Corporation.,358812,,Bahamas Telecommunications Company Ltd. (BTC),428377,,Bahamas Telecommunications Company Ltd.,298790,The reduction is due to a clean up of SIMs in 2011 and the reclassification by the country of active subscriptions from 90 to 60 days.,Bahamas Telecommunications Company Ltd.,300000,,ITU estimate.,287000,,ITU estimate.,314842,Obtained from URCA's Licensees,Utilities Regulation and Competition Authority,311175,,Utilities Regulation and Competition Authority,360200,Annual report2016.,Utilities Regulation and Competition Authority,353540,Annual report2017.,Utilities Regulation and Competition Authority,388707,Obtained from URCA's Licensees. Revised,Utilities Regulation and Competition Authority,425507,Obtained from URCA's Licensees,Utilities Regulation and Competition Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Bahrain,205727,,Bahrain Telecommunications Company.,299587,,Bahrain Telecommunications Company.,388990,,Bahrain Telecommunications Company.,443109,,Bahrain Telecommunications Company.,649764,,Telecommunications Regulatory Authority (TRA).,767103,,Telecommunications Regulatory Authority (TRA).,907433,,Telecommunications Regulatory Authority (TRA).,1115979,,Africa & Middle East Telecom Week.,1440782,,Telecommunications Regulatory Authority (TRA).,1401974,,Telecommunications Regulatory Authority (TRA),1567000,,TRA.,1693650,,Telecommunications Regulatory Authority.,2123903,,Telecommunications Regulatory Authority.,2210190,,Telecommunications Regulatory Authority,2328994,,Telecommunications Regulatory Authority,2519055,,Telecommunications Regulatory Authority,2994865,,Telecommunications Regulatory Authority (TRA Bahrain),2364477,,TRA Bahrain,2092714,,TRA Bahrain,1900361,,TRA Bahrain,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Bangladesh,279000,,Bangladesh Telegraph and Telephone Board.,520000,,ITU estimate.,1075000,,Bangladesh Telecommunication Regulatory Commission.,1365000,,Bangladesh Telecommunication Regulatory Commission.,2781560,,Bangladesh Telecommunication Regulatory Commission.,9000000,,Bangladesh Telecommunication Regulatory Commission.,19130983,,Bangladesh Telecommunication Regulatory Commission.,34370000,December.,Bangladesh Telecommunication Regulatory Commission.,44640000,,Bangladesh Telecommunication Regulatory Commission.,51359315,,Bangladesh Telecommunication Regulatory Commission,67923887,,Bangladesh Telecommunication Regulatory Commission,84368700,,Bangladesh Telecommunication Regulatory Commission,97180000,,Bangladesh Telecommunication Regulatory Commission,116553076,,Bangladesh Telecommunication Regulatory Commission,126866091,,Bangladesh Telecommunication Regulatory Commission,131375724,,Bangladesh Telecommunication Regulatory Commission,135981846,June;2017,Bangladesh Telecommunication Regulatory Commission,150945000,June;2018,Bangladesh Telecommunication Regulatory Commission,161771617,June;2019,Bangladesh Telecommunication Regulatory Commission,165572000,December; 2019,Bangladesh Telecommunication Regulatory Commission,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Barbados,28467,,,53111,,,97193,,,140000,,,200138,,,206190,,,237119,,,257596,,Ministry of Finance; Investment; Telecommunications & Energy,288662,,Ministry of Finance; Investment; Telecommunications & Energy,337061,,Ministry of Finance; Investment; Telecommunications & Energy,350061,,Prime Minister's Office Division of Energy & Telecommunications,347917,,Division of Energy & Telecommunications,349296,,Division of Energy & Telecommunications,307708,,Division of Energy & Telecommunications,305456,,Division of Energy & Telecommunications,334792,,Division of Energy & Telecommunications,332208,,Ministry Of Innovation Science & Smart Technology,329565,,Ministry of Innovation Science & Smart Technology,329326,,Ministry of Innovation Science & Smart Technology,329326,,Ministry of Innovation Science & Smart Technology,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Belarus,49353,,Beltelecom.,138329,,Beltelecom.,462630,,Beltelecom.,1118000,,Ministry of Communications and Informatization.,2239287,,Ministry of Communications and Informatization.,4099500,,Ministry of Communications and Informatization.,5960000,,Ministry of Communications and Informatization.,6960000,,Ministry of Communications and Informatization.,8128000,,RCC.,9686200,,Ministry of Communications and Informatization.,10332900,,Ministry of Communications and Informatization,10694900,,Ministry of Communications and Informatization,10676471,,Ministry of Communications and Informatization,11114440,,Ministry of Communications and Informatization,11401927,,Ministry of Communications and Informatization,11448281,,Ministry of Communications and Informatization,11439866,,Ministry of Informatization and communication of the Republic of Belarus,11415141,,Ministry of Communications and Informatization of the Republic of Belarus,11619651,,Ministry of Communications and Informatization of the Republic of Belarus,11627249,,Ministry of Communications and Informatization of the Republic of Belarus,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Belgium,5629000,,Institut belge des services postaux et des télécommunications (IBPT).,7697000,,Institut belge des services postaux et des télécommunications (IBPT).,8101777,,ITU estimate.,8605834,,Institut belge des services postaux et des télécommunications (IBPT).,9131705,,Institut belge des services postaux et des télécommunications (IBPT).,9604695,,Institut belge des services postaux et des télécommunications (IBPT).,9847375,,Institut belge des services postaux et des télécommunications (IBPT).,10738121,,IBPT,11341704,,Belgian Institute for Postal Services and Telecommunications,11775240,,Belgian Institute for Postal Services and Telecommunications,12154041,,Belgian Institute for Postal Services and Telecommunications,12495934,,Belgian Institute for Postal Services and Telecommunications,12313375,,Belgian Institute for Postal Services and Telecommunications,12315217,,Belgian Institute for Postal Services and Telecommunications,12734724,,Belgian Institute for Postal Services and Telecommunications,12774090,,Belgian Institute for Postal Services and Telecommunications,12550821,data-only SIM included,Belgian Institute for Postal Services and Telecommunications,11357286,corrected,Belgian Institute for Postal Services and Telecommunications,11447351,,Belgian Institute for Postal Services and Telecommunications,11509573,,Belgian Institute for Postal Services and Telecommunications,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Belize,16812,,,39155,,,51729,,,60403,,,75000,,ITU estimate.,96000,,ITU estimate.,118000,,ITU estimate.,118314,,Belize Telemedia Limited,160032,,Belize Telemedia Limited,161783,,Belize Telemedia Limited,194201,Incl. mobile GSM and AMPS post- and pre- mobile base.,Belize Telemedia Limited,222407,Incl. mobile GSM and AMPS post- and pre- mobile base.,Belize Telemedia Limited,172423,Incl. mobile GSM and AMPS pre- mobile base.,Belize Telemedia Limited,174615,Incl. mobile GSM mobile base.,Belize Telemedia Limited,172300,,ITU estimate.,211946,Incl. mobile GSM mobile base.,Belize Telemedia Limited,222928,Incl. mobile GSM mobile base.,Belize Telemedia Limited,239441,Incl. mobile GSM mobile base.,Belize Telemedia Limited,246311,Incl. mobile GSM mobile base,Belize Telemedia Limited,254919,Incl. mobile GSM mobile base,Belize Telemedia Limited,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Benin,55476,,Office des Postes et Télécommunications (OPT).,125000,,ITU estimate.,218770,,Office des Postes et Télécommunications (OPT).,236175,,Office des Postes et Télécommunications (OPT).,459322,,Office des Postes et Télécommunications (OPT).,596267,,Office des Postes et Télécommunications (OPT).,1055727,,Office des Postes et Télécommunications (OPT).,2051776,,Office des Postes et Télécommunications (OPT).,3625366,,ATRPT.,5033349,,Autorité Transitoire de Régulation des Postes et Télécommunications.,7074914,,Autorité transitoire de régulation des postes et télécommunications du Bénin,7765206,,Autorité transitoire de régulation des postes et télécommunications du Bénin,8407846,,Autorité transitoire de régulation des postes et télécommunications du Bénin,9627447,,Autorité transitoire de régulation des postes et télécommunications du Bénin,8660432,Break in comparability: from this year; incl. only active prepaid subscriptions. Total: 10.56M.,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),9317955,,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),8892490,,ARCEP BENIN,8773044,,ARCEP BENIN,9461872,,ARCEP BENIN,10349847,,ARCEP BENIN,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Bermuda,13000,,The Bermuda Telephone Company Limited (Bermuda Telephone).,13333,Dec.,Ministry of Telecommunications and E-Commerce.,30000,,Ministry of Telecommunications and E-Commerce estimate.,40000,,Ministry of Telecommunications and E-Commerce.,49000,,Ministry of Telecommunications and E-Commerce.,52720,,Ministry of Telecommunications and E-Commerce.,60100,,Ministry of Telecommunications and E-Commerce.,69000,,ITU estimate.,79000,,ITU estimate.,85000,,ITU estimate.,88200,,ITU estimate.,,,,91000,,ITU estimate.,94300,,ITU estimate.,59491,,Ministry of Economic Development| Department of Telecommunications,38000,,ITU estimate.,63891,,Bermuda Government Dept of Telecommunications,64997,,Bermuda Government Dept of Telecommunications,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Bhutan,0,,,0,,,0,,,2255,,,19138,,,36000,,,82078,,,149439,,Bhutan Information; Communications and Media Authority; Ministry of Information and Communications.,253429,,Bhutan Information; Communications and Media Authority; Ministry of Information and Communications.,338938,Both Bhutan Telecom and Tashi Cell provide mobile-cellular services.,Bhutan Information; Communications and Media Authority; Ministry of Information and Communications.,394316,Both Bhutan Telecom and Tashi Cell provide mobile-cellular services.,Ministry of Information & Communications,484189,Both Bhutan Telecom and Tashi Cell provide mobile-cellular services.,Ministry of Information & Communications,560890,Bhutan Telecom and Tashi Cell are the only two service providers in Bhutan,Ministry of Information & Communications,544337,1. Bhutan Telecom and Tashi Cell are the two service providers in Bhutan. 2. Decrease in total number of subscribers is attributed mainly to foreign workers leaving the country,Ministry of Information & Communications,624536,For both Bhutan Telecom and Tashi Cell,Ministry of Information & Communications,675747,Bhutan Telecom and Tashi Cell combined,Ministry of Information & Communications,698373,Bhutan Telecom and Tashi Cell combined,Ministry of Information and Communications,730623,However; 78630 subscribers from 730623 are currently passive or its subscriptions are suspended.,Ministry of Information and Communications,703554,Of the total mobile subscribers; 81;308 subscribers has been indicated to be passive; meaning the telecom operators would keep this subscribers registered on their network for three months before deregistering them[Bhutan Telecom has indicated that 40650 and Tashi Cell indicated 40685 ]. Thus this subscribers are taken as active for the total count of mobile subscribers till it is deregistered.,Ministry of Information and Communications,729239,,Ministry of Information and Communications,,
