Indicator,Country,2000_value,2000_notes,2000_source,2001_value,2001_notes,2001_source,2002_value,2002_notes,2002_source,2003_value,2003_notes,2003_source,2004_value,2004_notes,2004_source,2005_value,2005_notes,2005_source,2006_value,2006_notes,2006_source,2007_value,2007_notes,2007_source,2008_value,2008_notes,2008_source,2009_value,2009_notes,2009_source,2010_value,2010_notes,2010_source,2011_value,2011_notes,2011_source,2012_value,2012_notes,2012_source,2013_value,2013_notes,2013_source,2014_value,2014_notes,2014_source,2015_value,2015_notes,2015_source,2016_value,2016_notes,2016_source,2017_value,2017_notes,2017_source,2018_value,2018_notes,2018_source,2019_value,2019_notes,2019_source,data_country,data_year
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Lebanon,743000,,ITU estimate.,766754,,ITU estimate.,775104,,ITU estimate.,795460,,ITU estimate.,884445,,ITU estimate.,993557,,ITU estimate.,1106431,,ITU estimate.,1260000,,BMI.,1427000,,ITU estimate.,2390317,,Ministère des Télécommunications,2863664,SOURCE: OSB/MOT,Telecommunications Regulatory Authority,3456650,SOURCE: OSB/MOT,Telecommunications Regulatory Authority,3755169,SOURCE: OSB/MOT,Telecommunications Regulatory Authority,3884757,SOURCE: OSB/MOT,Telecommunications Regulatory Authority,4387275,,OSB/MOT,4657651,,ITU estimate.,4277043,,Ministère des Télécommunications,4399085,,Ministere des Telecommunications,4424185,,Ministere des Telecommunications,4237962,,Ministere des Telecommunications,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Lesotho,21600,,Telecomm Lesotho (TCL).,57000,,Telecomm Lesotho (TCL).,137953,,Lesotho Telecommunications Authority (LTA).,125950,,Lesotho Telecommunications Authority (LTA).,196213,,Lesotho Telecommunications Authority (LTA).,249786,,Lesotho Telecommunications Authority (LTA).,357913,,Lesotho Telecommunications Authority (LTA).,482455,,Lesotho Telecommunications Authority (LTA).,593216,,Lesotho Telecommunications Authority (LTA).,661000,,ITU estimate.,987448,,Lesotho Telecommunications Authority,1232354,,Lesotho Telecommunications Authority,1544815,,Lesotho Telecommunications Authority,1790295,,Lesotho Communications Authority,2138789,,Lesotho Communications Authority,2140141,,Lesotho Communications Authority,2282917,,LESOTHO COMMUNICATIONS AUTHORITY,2380804,,Lesotho Communications Authority,1582141,,Lesotho Communications Authority,1583192,,Lesotho Communications Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Liberia,1500,,Liberia Telecommunications Corporation (LTC).,2000,,Liberia Telecommunications Corporation (LTC).,5000,,Liberia Telecommunications Corporation (LTC).,47250,,ITU estimate.,94370,,Liberia Telecommunications Corporation (LTC).,160000,,Liberia Telecommunications Corporation (LTC).,280000,,ITU estimate.,563000,,ITU estimate.,854627,Figure obtained from four mobile operators who provided mobile services.,Liberia Telecommunications Authority,1085062,Figure obtained from four mobile operators who provided mobile services.,Liberia Telecommunications Authority,1571308,,Liberia Telecommunications Authority,2020637,Figure obtained from all four mobile GSM operators providing service in the country.,Liberia Telecommunications Authority,2379900,Figure obtained from all four mobile GSM operators providing service in the country.,Liberia Telecommunications Authority,2550775,Figure obtained from all three mobile GSM operators providing service in the country.,Liberia Telecommunications Authority,3225258,,Liberia Telecommunications Authority,3652000,,ITU estimate.,3117002,;,Liberia Telecommunications Authority,2660000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Libya,40000,,Ministry of Transport and Communications.,50000,,Ministry of Transport and Communications.,70000,,Ministry of Transport and Communications.,127000,,Ministry of Transport and Communications.,500000,,Ministry of Transport and Communications.,2000000,,Ministry of Transport and Communications.,3927562,,Ministry of Transport and Communications.,4500000,,ITU estimate.,7379115,,General Telecom Authority.,9534091,,General Telecom Authority.,10900000,,ITU estimate.,10000000,,ITU estimate.,9587000,,ITU estimate.,10235300,,ITU estimate.,8497080,,General Authority for Communications and informatics,9747080,,General Authority for Communications and informatics,7660068,,General Authority for Communications and informatics,6020000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Liechtenstein,10000,,Estimate from Office for Communications.,11000,,Estimate from Office for Communications.,11402,,Estimate from Office for Communications.,25000,,Estimate from Office for Communications.,25500,,Estimate from Office for Communications.,27503,,Estimate from Office for Communications.,28755,,Estimate from Office for Communications.,32013,,Estimate from Office for Communications.,34000,,ITU estimate.,35000,,ITU estimate.,35500,,ITU estimate.,36970,,Office for Communications,36080,,Office for Communications,38427,,Office for Communications,40652,,Office for Communications,40950,,Office for Communications,44298,,Office for Communications,46402,,Office for Communications,47272,,Office for Communications,47748,,Office for Communications,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Lithuania,524000,Active mobile subscriptions.,Lithuanian Telecom.,1017999,Active mobile subscriptions.,Lithuanian Telecom.,1645568,Active mobile subscriptions.,Communications Regulatory Authority.,2102207,Active mobile subscriptions.,Communications Regulatory Authority.,3051160,Active mobile subscriptions.,Communications Regulatory Authority.,4353447,Active mobile subscriptions.,Communications Regulatory Authority.,4718215,Active mobile subscriptions.,Communications Regulatory Authority.,4912077,Active mobile subscriptions.,Communications Regulatory Authority.,5022638,Active mobile subscriptions.,Communications Regulatory Authority.,4961499,Active mobile subscriptions.,Communications Regulatory Authority.,4890979,,Communications Regulatory Authority of the Republic of Lithuania,4938000,,Communications Regulatory Authority of the Republic of Lithuania,4997265,,Communications Regulatory Authority of the Republic of Lithuania,4565976,,Communications Regulatory Authority of the Republic of Lithuania,4267592,,Communications Regulatory Authority of the Republic of Lithuania,4184053,,Communications Regulatory Authority of the Republic of Lithuania,4204692,,Communications Regulatory Authority of the Republic of Lithuania,4361329,,The Communications Regulatory Authority of the Republic of Lithuania,4590441,,The Communications Regulatory Authority of the Republic of Lithuania,4658823,,The Communications Regulatory Authority of the Republic of Lithuania,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Luxembourg,303274,Incl. non-active subscriptions.,Entreprise des Postes et Télécommunications (P&T).,409064,Incl. non-active subscriptions.,Institut Luxembourgeois de Régulation.,473000,Incl. non-active subscriptions.,ITU estimate.,539000,Incl. non-active subscriptions.,Institut Luxembourgeois de Régulation.,470000,Only active from this year on.,Institut Luxembourgeois de Régulation.,510000,,Institut Luxembourgeois de Régulation.,713000,,Institut Luxembourgeois de Régulation.,684500,,Institut Luxembourgeois de Régulation.,707000,,Institut Luxembourgeois de Régulation.,720000,,Institut Luxembourgeois de Régulation.,727000,,Institut Luxembourgeois de Régulation.,764973,,Institut Luxembourgeois de Régulation,761314,,Institut Luxembourgeois de Régulation,788371,,Institut Luxembourgeois de Régulation,802400,,Institut Luxembourgeois de Régulation,806800,,Institut Luxembourgeois de Régulation,764000,,ILR,794000,,Institut Luxembourgeois de Régulation,798600,,Institut Luxembourgeois de Régulation,835900,,Institut Luxembourgeois de Régulation,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,"Macao, China",141052,,,194475,,,276138,,,364031,,,432450,,,532758,,,636347,,,794323,,Bureau of Telecommunications Regulation,932596,,Bureau of Telecommunications Regulation,1037380,,Bureau of Telecommunications Regulation,1122261,,Bureau of Telecommunications Regulation,1353194,,Bureau of Telecommunications Regulation,1613457,,Bureau of Telecommunications Regulation,1722245,,Bureau of Telecommunications Regulation,1856453,,Bureau of Telecommunications Regulation,1896097,,Bureau of Telecommunications Regulation,1969972,CTT website.,ITU estimate.,2047000,,ITU estimate.,2181194,,ITU estimate.,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Madagascar,63094,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,147500,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,163010,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,283666,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,333888,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,510269,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,1045888,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,2217612,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,4835239,,Office Malagasy d'Etudes et de Régulation des Télécommunications.,6283799,,Office Malagasy d'Etudes et Régulations des télécommunications (OMERT),7711721,,Office Malagasy d'Etudes et de Regulation des Télécommunications,8680772,,Office Malagasy d'Etudes et de Regulation des Télécommunications,8778600,,Office Malagasy d'Etudes et de Regulation des Télécommunications,8461120,,Office Malagasy d'Etudes et de Regulation des Télécommunications,9713883,,Autorité de Régulation des Technologies de Communication,10693765,,Autorité de Régulation des Technologies de Communication,7998253,Break in series: L’année 2016; l’Autorité de Régulation a intitié l’assainissement des utilisateurs de SIM. Ceci consiste à faire supprimé par les Opérateurs tout utilisateur NON identifié; d’où la diminution de nombre d’abonné.,Autorité de Régulation des Technologies de Communication,8730499,,Autorité de Régulation des Technologies de Communication,10654710,,Autorité de Régulation des Technologies de Communication,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Malawi,49000,,Malawi Telecommunications Limited (MTL).,55730,,Malawi Communications Regulatory Authority (MACRA).,86047,,Malawi Communications Regulatory Authority (MACRA).,135114,,Malawi Communications Regulatory Authority (MACRA).,222135,,Malawi Communications Regulatory Authority (MACRA).,421163,,Malawi Communications Regulatory Authority (MACRA).,620163,,ITU estimate.,1050852,,Malawi Communications Regulatory Authority (MACRA).,1507684,,Malawi Communications Regulatory Authority,2485646,,Malawi Communications Regulatory Authority,3117364,,Malawi Communications Regulatory Authority,3951572,,Malawi Communications Regulatory Authority,4646894,,Malawi Communications Regulatory Authority,5290044,,Malawi Communications Regulatory Authority,5632514,,Malawi Communications Regulatory Authority,6566707,data from 4 operators including 2 who are CDMA providers,Malawi Communications Regulatory Authority,7178384,,Malawi communications regulatory authority,7772503,,Malawi communications regulatory authority,7076906,due to mandatory sim card registration that was implemented in 2018 we have seen a reduction in subscriber base as unregistered sim cards were barred.,Malawi communications regulatory authority,8901027,,Malawi communications regulatory authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Malaysia,5121748,,,7385000,,,9053000,,,11124000,,,14611000,,,19545000,,,19463722,,,23347000,,SKMM.,27713000,,SKMM.,30144000,,Malaysian Communications and Multimedia Malaysia,33858700,,Malaysian Communications and Multimedia Commission,36661300,,Malaysian Communications and Multimedia Commission,41324700,,Malaysian Communications and Multimedia Commission,43005000,,Malaysian Communications and Multimedia Commission,44928600,,Malaysian Communications and Multimedia Commission,44104000,,Malaysian Communications and Multimedia Commission,43464500,Revised from 43'465'000 reported in ITU Long Questionnaire 2017,Malaysian Communications and Multimedia Malaysia,42338500,,Malaysian Communications and Multimedia Commission,42413400,,Malaysian Communications and Multimedia Commission,44600700,Mobile-cellular subscriptions increased by 5.2% in 2019. Of this; prepaid subscriptions contributed 70.1% of the overall mobile-cellular market share,Malaysian Communications and Multimedia Commission,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Maldives,7638,,,18894,,,41899,,,66466,,,113246,,,203620,,,271053,,,313539,,Telecommunications Authority of Maldives (TAM).,435627,,Telecommunications Authority of Maldives (TAM).,457770,,Telecommunications Authority of Maldives (TAM).,494351,,Communications Authority of Maldives,530449,,Communications Authority of Maldives,560547,,Communications Authority of Maldives,625161,,Communications Authority of Maldives,665818,,Communications Authority of Maldives,739790,,Communications Authority of Maldives,812128,,Communications Authority of Maldives,900120,,Communications Authority of Maldives,857934,,Communications Authority of Maldives,828042,,Communications Authority of Maldives,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Mali,10398,,,23997,,,45974,,,247223,,,406861,,,761986,,,1512948,,,2530891,,Comité de Régulation des Télécommunications.,3438568,,Comité de Régulation des Télécommunications,4460543,,Comité de Régulation des Télécommunications,7440383,,Comité de Régulation des Télécommunications,10821930,,Comité de Régulation des Télécommunications,14612835,,Comité de Régulation des Télécommunications,19749371,,Autorité Malienne de Régulation des Télécommunications/TIC et Postes (AMRTP),23505559,,Autorité Malienne de Régulation des Télécommunications/TIC et Postes (AMRTP),22698915,,Autorité Malienne de Régulation des Télécommunications/TIC et Postes (AMRTP),20217697,,Autorité malienne de régulation des télécommunications/TIC et Postes,22034110,,Autorité Malienne de Régulation des Télécommunication/TIC et Postes (AMRTP),21955565,Le parc a subit une baisse à cause des SIM non identifiées qui ont été resiliées.,Autorité Malienne de Régulation des Télécommunication/TIC et Postes (AMRTP),22925482,,Autorité Malienne de Régulation des Télécommunication/TIC et Postes (AMRTP),,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Malta,114444,,,239416,,,276859,,,289992,,,306067,,,323980,,,346771,,,368530,,Malta Communications Authority,385636,,Malta Communications Authority.,422083,,Malta Communications Authority.,455579,,Malta Communications Authority,521748,,Malta Communications Authority,532228,,Malta Communications Authority,556652,,Malta Communications Authority,546229,,Malta Communications Authority,524161,,Malta Communications Authority,585470,,Malta Communications Authority,604759,,Malta Communications Authority,615843,,Malta Communications Authority,634386,Updated figure,Malta Communications Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Marshall Islands,447,,National Telecommunications Authority.,489,,National Telecommunications Authority.,552,,National Telecommunications Authority.,598,,National Telecommunications Authority.,644,,National Telecommunications Authority.,660,,National Telecommunications Authority.,,,,,,,,,,,,,,,,,,,,,,,,,15500,,Marshall Islands National Telecommunications Authority (NTA),15500,,ITU estimate.,,,,16000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Martinique,162080,,,286120,,,298300,,,277800,,,295400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Mauritania,15300,Incl. inactive subscriptions.,Office des Postes et des Télécommunications (OPT).,110463,Incl. inactive subscriptions.,Office des Postes et des Télécommunications (OPT).,247238,Incl. inactive subscriptions.,Autorité de Régulation.,350954,Incl. inactive subscriptions.,Autorité de Régulation.,522400,Incl. inactive subscriptions.,Autorité de Régulation.,745615,Incl. inactive subscriptions.,Autorité de Régulation.,1060122,Incl. inactive subscriptions.,Autorité de Régulation.,1413967,Incl. inactive subscriptions.,Autorité de Régulation.,2091992,Incl. inactive subscriptions.,Autorité de Régulation.,2182249,Incl. inactive subscriptions.,Autorité de Régulation.,2776050,Incl. inactive subscriptions.,Autorité de Régulation,3314767,Incl. inactive subscriptions.,Autorité de Régulation,4025478,Incl. inactive subscriptions.,Autorité de Régulation,3988195,Break in comparability. Includes only active subscriptions.,Autorité de Régulation,3753330,Active subscriptions.,Autorité de Régulation,3644483,Active subscriptions.,Autorité de Régulation,3614172,Active subscriptions.,Autorité de Régulation,4074157,Active subscriptions.,Autorité de Régulation,4566502,Active subscriptions.,Autorité de Régulation,4710800,,Autorité de Régulation,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Mauritius,180000,,Mauritius Telecom.,272416,,Mauritius Telecom.,347532,,Mauritius Telecom.,462405,,ICTA.,547745,,Mauritius Telecom.,656828,,Mauritius Telecom.,772395,,Mauritius Telecom.,928622,,ICTA.,1033300,,ICTA.,1086748,,ICTA.,1190900,,Information and Communication Technologies Authority of Mauritius,1294100,,Information and Communication Technologies Authority of Mauritius,1485800,,Information and Communication Technologies Authority of Mauritius,1533600,,Information and Communication Technologies Authority of Mauritius,1652000,,Information and Communication Technologies Authority of Mauritius,1762300,Information and Communication Technologies Authority of Mauritius,Information and Communication Technologies Authority of Mauritius,1814000,Information and Communication Technologies Authority of Mauritius,Information and Communication Technologies Authority,1839500,Information and Communication Technologies Authority of Mauritius,Information and Communication Technologies Authority,1918000,Information and Communication Technologies Authority of Mauritius,Information and Communication Technologies Authority,1866600,,Information and Communication Technologies Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Mayotte,0,Refers to active mobile subscribers.,France Télécom.,0,,France Télécom.,20300,,France Télécom.,33200,,France Télécom.,48100,,France Télécom.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Mexico,14077880,,,21757559,,,25928266,,,30097700,,,38451135,,,47128746,,,55395461,,,66559462,,Comisión Federal de Telecomunicaciones (CFT).,75303469,,Comisión Federal de Telecomunicaciones de México,83193574,,Comisión Federal de Telecomunicaciones de México,91383493,,Comisión Federal de Telecomunicaciones de México,94583253,,Comisión Federal de Telecomunicaciones de México,100727228,Preliminary.,Comisión Federal de Telecomunicaciones de México,106747373,,Instituto Federal de Telecomunicaciones,104948339,,Instituto Federal de Telecomunicaciones de México,107688282,,Instituto Federal de Telecomunicaciones de México,111730635,Information as of December 2016.;,Instituto Federal de Telecomunicaciones,114329353,Information as of December 2017.,Instituto Federal de Telecomunicaciones,120173510,Information as of December 2018.,Instituto Federal de Telecomunicaciones,122040789,Information as of December 2019.,Instituto Federal de Telecomunicaciones,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Micronesia,0,,FSM Telecommunication Corporation.,0,,FSM Telecommunication Corporation.,100,,Pacific Islands Forum Secretariat. Pacific ICT Survey 2002.,5869,,FSM Telecommunication Corporation.,12782,,FSM Telecommunication Corporation.,14094,,FSM Telecommunication Corporation.,18616,,FSM Telecommunication Corporation.,27436,,FSM Telecommunication Corporation.,27500,,ITU estimate.,27500,,ITU estimate.,27518,,Department of Transportation; Communications and Infrastructure,27600,,ITU estimate.,31213,,Department of Transportation; Communications and Infrastructure,31393,According to FSM Telecom as of March 12; 2014,Department of Transportation; Communications and Infrastructure,,,,22505,,Department of Transportation; Communications and Infrastructure,23412,,Department of Transportation; Communications and Infrastructure,23114,,Division of Communications,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Moldova,139000,,Ministry of Transport and Communications.,225000,,Ministry of Transport and Communications.,338225,,Ministry of Transport and Communications.,475942,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,787000,Counting inactive.,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,1089800,Counting inactive.,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,1358152,Counting inactive.,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,1882830,Counting inactive.,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,2423416,Counting inactive.,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,2136409,Break in comparability; from this year counting only active subscriptions (77.04% total in 2009).,ITU estimate.,2550592,Active subscriptions (80.59% total).,ITU estimate.,3217261,Active subscriptions (89.68% total).,ITU estimate.,3584283,Active subscriptions (87.85% total).,ITU estimate.,3696834,Active subscriptions (83.44% total).,ITU estimate.,3738125,,National Regulatory Agency for Electronic Communications and Information Technology,3713137,Active subscriptions (85.88% total).,National Regulatory Agency for Electronic Communications and Information Technology,3788490,Active subscriptions (85;5%).,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI),3746644,Suppliers recalculations,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI),3636931,Suppliers recalculations,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI),3613846,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI),,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Monaco,13927,,,14302,,,14874,,,15081,,,15750,,,17191,,,18307,,,20400,,Direction du Controle des Concessions et des Télécommunications.,22000,,ITU estimate.,23000,,ITU estimate.,23414,,Monaco Telecom,31789,,Direction des Communications Electroniques,33195,,Direction des Communications Electroniques,35464,,Direction des Communications Electroniques,33675,,Direction des Communications Electroniques,34020,,Direction des Communications Electroniques,33297,,Direction du Développement des Usages Numériques,32978,,Direction des Plateformes et des Ressources Numériques,32689,,Direction des Plateformes et des Ressources Numériques,33783,,Direction des Plateformes et des Ressources Numériques,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Mongolia,154600,,Ministry of Infrastructure (MOI).,195000,,Ministry of Infrastructure (MOI).,216000,,Information and Communication Technology Authority.,319000,,Information and Communication Technology Authority.,428695,,Information and Communication Technology Authority.,557207,,Information and Communication Technology Authority.,774900,,Communications Regulatory Commission.,1194583,,Communications Regulatory Commission.,1763178,,Communications Regulatory Commission.,2249023,,Communications Regulatory Commission.,2510470,,Communications Regulatory Commission of Mongolia,2942313,,Communications Regulatory Commission of Mongolia,3375205,,Communications Regulatory Commission of Mongolia,2877584,Revised to reflect active subscriptions.,Information Technology; Post and Telecommunications Authority,3027243,,Information Technology; Post and Telecommunications Authority,3068156,,Communications Regulatory Commission of Mongolia,3367573,,Communications Regulatory Commission of Mongolia,3886167,,Communications Regulatory Commission of Mongolia,4222041,,Communications Regulatory Commission of Mongolia,4418919,,Communications Regulatory Commission of Mongolia,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Montenegro,,,,,,,,,,,,,483766,,Agency for Telecommunications and Postal Services.,543220,,Agency for Telecommunications and Postal Services.,643681,,Agency for Telecommunications and Postal Services.,900000,,ITU estimate.,1158032,,Agency for telecommunications and postal services.,1294167,,Agency for telecommunications and postal services.,1170000,,ITU estimate.,1159112,,,990869,,ITU estimate.,993902,,ITU estimate.,1013296,,Agency for Electronic Communications and Postal Services,1007890,,Agency for Electronic Communications and Postal Services,1040747,,Agency for electronic communications and postal sevices Montenegro,1044674,,Agency for electronic communications and postal sevices Montenegro,1134412,,Agency for electronic communications and postal sevices Montenegro,1150998,,Agency for electronic communications and postal sevices Montenegro,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Montserrat,489,,,1200,,,1500,,,1800,,,2180,,,,,,4320,,,3558,,Ministry of Communications.,3250,,ITU estimate.,3050,,Ministry of Communications & Works,4200,,Ministry of Communications & Works,4200,,Montserrat Infor-Communications Authority (MICA),4200,,ITU estimate.,4500,,ITU estimate.,4500,,ITU estimate.,5000,,ITU estimate.,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Morocco,2342000,,Agence nationale de réglementation des télécommunications.,4771739,,Agence nationale de réglementation des télécommunications.,6198670,,Agence nationale de réglementation des télécommunications.,7359870,,Agence nationale de réglementation des télécommunications.,9336878,,Agence nationale de réglementation des télécommunications.,12392805,,Agence nationale de réglementation des télécommunications.,16004731,,Agence nationale de réglementation des télécommunications.,20029300,,Agence nationale de réglementation des télécommunications.,22815694,,Agence nationale de réglementation des télécommunications.,25310761,,Agence nationale de réglementation des télécommunications.,31982279,,Agence Nationale de Réglementation des Télécommunications,36553943,,Agence Nationale de Réglementation des Télécommunications,39016336,,Agence Nationale de Réglementation des Télécommunications,42423794,,Agence Nationale de Réglementation des Télécommunications,44114534,December,Agence Nationale de Réglementation des Télécommunications,43079696,,Agence Nationale de Réglementation des Télécommunications,41513933,,ANRT,43916066,,ANRT,44737885,,ANRT,46666722,,ANRT,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Mozambique,51065,,,152652,,,254759,,,435757,,,708000,,,1503943,,,2339317,,,3079783,,Instituto Nacional das Comunicações de Moçambique (INCM).,4405006,,Instituto Nacional das Comunicações de Moçambique (INCM).,5970781,,Instituto Nacional das Comunicações de Moçambique (INCM).,7224176,,Instituto Nacional das Comunicaçőes de Moçambique,7855345,,Instituto Nacional das Comunicaçőes de Moçambique,8804986,,Instituto Nacional das Comunicaçőes de Moçambique,12401290,,Instituto Nacional das Comunicaçőes de Moçambique,18482638,,Instituto Nacional das Comunicaçőes de Moçambique,20134932,,Instituto Nacional das Comunicaçőes de Moçambique,15025598,SIMs that are not registered are suspended; hence not taken into consideration.,ARECOM,11875506,SIM cards that are not registered are suspended; hence not taken into account; also for every active SIM card the operator has to pay a fee.,INCM,14074248,,INCM,14773364,,INCM,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Myanmar,13397,,Post and Telecommunications Department.,22671,,Post and Telecommunications Department.,47982,,Post and Telecommunications Department.,66517,,Post and Telecommunications Department.,92452,,Post and Telecommunications Department.,128700,,Post and Telecommunications Department.,214214,,Post and Telecommunications Department.,247641,,Ministry of Communications; Posts and Telegraphs.,367388,,Ministry of Communications; Posts and Telegraphs.,502005,,Ministry of Communications; Posts and Telegraphs,594000,,ITU estimate.,1243619,,Ministry of Communications; Posts and Telegraphs,3729617,,Ministry of Communications and Information Technology,6832380,,Ministry of Communications and Information Technology,29029342,,Ministry of communications and Information Technology,40993717,,Posts and Telecommunications Department; Ministry of communications and Information Technology,50586416,,Ministry of Transport and Communications,47946665,,Ministry of Transport and Communications,61143964,,Ministry of Transport and Communications,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Namibia,82000,,Telecom Namibia.,106600,,Telecom Namibia.,150000,December.,Namibian Communications Commission (NCC).,223671,,Namibian Communications Commission (NCC).,286095,,Namibian Communications Commission (NCC).,448857,,Namibian Communications Commission (NCC).,608846,,Namibian Communications Commission (NCC).,800270,,Namibian Communications Commission (NCC).,1052000,,Namibian Communications Commission (NCC).,1631576,,Communications Regulatory Authority of Namibia,1950072,,Communications Regulatory Authority of Namibia,2194495,,Communications Regulatory Authority of Namibia,2146833,,Communications Regulatory Authority of Namibia,2727913,,Communications Regulatory Authority of Namibia,2670983,,Communications Regulatory Authority of Namibia,2549817,,Communications Regulatory Authority of Namibia,2659951,,CRAN,2680196,,CRAN,2759293,,CRAN,2823655,,CRAN,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Nauru,1200,,ITU estimate.,1500,,ITU estimate.,,,,,,,,,,,,,,,,,,,,,,,,,6200,Digicel provides Island-wide GSM services.,Ministry for Transport and Telecommunications,6700,Digicel data.,Ministry for Transport and Telecommunications,6800,Digicel data.,Ministry for Transport and Telecommunications,,,,,,,9400,,,9900,,ITU estimate.,10000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Nepal (Republic of),10226,,Nepal Telecom.,17286,December.,Nepal Telecom.,21881,,Nepal Telecom.,81867,,Nepal Telecommunications Authority (NTA).,116778,,Nepal Telecommunications Authority (NTA).,227316,,Nepal Telecommunications Authority (NTA).,1157102,,Nepal Telecommunications Authority (NTA).,3268895,SNLP only.,Nepal Telecommunications Authority (NTA).,4200000,,Nepal Telecommunications Authority (NTA).,5597880,March 2010.,Nepal Telecommunications Authority,9195562,,Nepal Telecommunications Authority,13354477,December.,Nepal Telecommunications Authority,16608622,December; 2012 NTA MIS,Nepal Telecommunications Authority,21362289,Source: NTA estimate.,Nepal Telecommunications Authority,23021340,December 2014 Source: NTA Management Information System Report.,Nepal Telecommunications Authority,27516055,December 2015 Source: NTA Management Information System Report.,Nepal Telecommunications Authority,32120305,NTA MIS January.,ITU Research.,36096396,From NTA,Nepal Telecommunications Authority,39178451,Based on NTA January 2019 Management Information System Report,Nepal Telecommunications Authority,,,Nepal Telecommunications Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Neth. Antilles,,,,,,,,,,200000,,Telecommunication Administration Netherlands Antilles.,200000,,Telecommunication Administration Netherlands Antilles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
