Country,Type,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
Estonia,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Estonia,Legislation,Data Protection Act (in English),https://www.riigiteataja.ee/en/eli/ee/529012015008/consolide/current,,
Eswatini,Draft Legislation,"Bill Data Protection, 2013",,,
Finland,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Finland,Legislation,"Personal Data Act (in English, unofficial translation)",http://www.finlex.fi/en/laki/kaannokset/1999/19990523,,
France,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
France,Legislation,Law relating to the protection of individuals against the processing of personal data (in English),http://www.cnil.fr/fileadmin/documents/en/Act78-17VA.pdf,,
France,Legislation,"Loi 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés modifiée (in French)",http://www.cnil.fr/fileadmin/documents/approfondir/textes/CNIL-78-17_definitive-annotee.pdf,,
Gabon,Legislation,Loi n°001/2011 relative à la protection des données à
caractère personnel (in French),http://www.afapdp.org/wp-content/uploads/2012/01/Gabon-Loi-relative-%C3%A0-la-protection-des-donn%C3%A9es-personnelles-du-4-mai-20112.pdf,,
Gambia,Legislation,Information and Communications Act  No. 2 of 2009 (in English),http://www.moici.gov.gm/sites/default/files/2019-09/IC-Info-Comms-Act-2009.pdf,,
Gambia,Legislation,Bill to be enforced in 2020 : Data protection and Privacy Policy ,http://www.pura.gm/wp-content/uploads/2019/08/Data-Protection-and-Privacy-Draft-Policy-and-Strategy-August-2019.pdf,,
Georgia,Legislation,Law of Georgia on Personal Data Protection (in English),https://matsne.gov.ge/en/document/download/1561437/7/en/pdf,,
Georgia,Legislation,Law of Georgia on Personal Data Protection (in Georgian),https://matsne.gov.ge/en/document/view/1561437?impose=original,,
Germany,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Germany,Legislation,Federal Data Protection Act (in English),https://www.gesetze-im-internet.de/englisch_bdsg/,,
Germany,Legislation,Bundesdatenschutzgesetz - BDSG (in German),https://www.gesetze-im-internet.de/bdsg_2018/BJNR209710017.html,,
Ghana,Legislation,Data Protection Act (Act No. 843) 2012 - DPA (in English),http://media.mofo.com/files/PrivacyLibrary/3981/GHANAbill.pdf,,
Greece,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Greece,Legislation,Law No. 4624/2019 Hellenic Data Protection Authority (HDPA),"https://www.dpa.gr/APDPXPortlets/htdocs/documentSDisplay.jsp?docid=66,121,83,229,125,127,247,242",,
Guinea,Legislation,Loi L/2016/037/AN relative à la cyber-sécurité et la protection des données à caractère personnel,https://justiceguinee.gov.gn/laws/loi-l-2016-037-an-relative-a-la-cybersecurite-et-la-protection-des-donnees-a-caractere-personnel/,,
Honduras,Legislation,Ley de trasnparencia y accesso a la información pública DECRETO No. 170‐2006 (in Spanish),http://www.oas.org/es/sla/ddi/docs/H2%20LeyDeTransparencia.pdf,,
Hungary,Legislation,Act CXII of 2011 on the right to informational self-determination and on the freedom of information ,http://njt.hu/translated/doc/J2011T0112P_20200101_FIN.PDF ,,
Hungary,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Iceland,Legislation,Data protection and the Processing of Personal Data Law No.90/2018,https://www.personuvernd.is/media/uncategorized/Act_No_90_2018_on_Data_Protection_and_the_Processing_of_Personal_Data.pdf,,
India,Legislation,"Bill - Personal Data Protection, 2019",http://164.100.47.4/BillsTexts/LSBillTexts/Asintroduced/373_2019_LS_Eng.pdf,,
India,Legislation,Information Technology Act 2000 (in English),http://cc.tifrh.res.in/webdata/documents/events/facilities/IT_act_2008.pdf,,
Indonesia,Legislation,Law of the Republic of Indonesia No. 11/2008 Concerning Electronic Information and Transactions (in English)

 ,http://zaico.nl/files/RUU-ITE_english.pdf,,
Iran (Islamic Republic of),Legislation, Bill - Protection of Data and Privacy in the Cyber Space 2018,,,
Iran (Islamic Republic of),Legislation,Electronic Commerce Law - General Law (in Persan) ,http://www.ilo.org/dyn/natlex/docs/ELECTRONIC/91715/106512/F1311829502/IRN91715.pdf,,
Iraq,Draft Legislation,Bill - Data Protection and Privacy Law,,,
Ireland,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Ireland,Legislation,"Data Protection Act, 1988 (in English)",http://www.irishstatutebook.ie/1988/en/act/pub/0025/print.html,,
Israel,Legislation,Privacy Protection Act No.5741/1981 and 5752/1992 (in English),http://www.wipo.int/wipolex/en/text.jsp?file_id=347462,,
Italy,Legislation,Data Protection Code Decree No. 196/2003 ,http://www.privacy.it/archivio/privacycode-en.html,,
Italy,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Italy,Legislation,"Decreto Legislativo 30 giugno 2003, n. 196 - Codice in materia di protezione dei dati personali (in Italian)",http://www.camera.it/parlam/leggi/deleghe/03196dl.htm,,
Jamaica,Legislation,The Constitution of Jamaica (in English),http://www.wipo.int/wipolex/en/text.jsp?file_id=214630,,
Jamaica,Legislation,Electronic Transactions Act No 15 of 2006 (in English),http://moj.gov.jm/sites/default/files/laws/Electronic%20Transactions%20pgs.%201-34.pdf,,
Japan,Legislation,"Act on the Protection of Personal Information (in English, unofficial translation)",http://www.cas.go.jp/jp/seisaku/hourei/data/APPI.pdf,,
Jordan,Draft Legislation,Data Protection Bill,,,
Kazakhstan,Legislation,On Personal Data and Its Protection No. 94-V/2013 ' (in Russian),http://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=96710&p_country=KAZ&p_count=7,,
Kenya,Legislation,"The Data Protection Act, 2019",http://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/2019/TheDataProtectionAct__No24of2019.pdf,,
Kuwait,Legislation,Law No. 20 of 2014 (in English),http://www.informatica-juridica.com/etiqueta/law-no-20-of-2014-concerning-electronic-transactions/,,
