1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2016 - 2017 (%) ,2000 - 2017 (%/year) ,data_country,data_year
605,640,660,693,731,769,807,855,900,933,982,975,1005,1061,1108,1157,1202,1256,1305,1310,1375,1446,1496,1529,1557,1567,1583,1590,Latin America,0.5,2.9,Latin America,Latin America
51,54,56,62,65,67,70,72,74,81,89,90,84,92,100,106,107,108,122,122,126,130,136,139,139,145,147,147,Argentina,-0.1,3.0,Argentina,Argentina
223,234,242,252,260,276,291,308,322,335,349,329,346,364,387,403,419,445,463,466,516,532,553,571,591,582,579,585,Brazil,1.1,3.1,Brazil,Brazil
18,20,22,24,25,28,31,33,36,38,40,43,44,47,51,52,55,59,60,61,60,66,70,73,72,75,78,79,Chile,1.0,4.1,Chile,Chile
36,37,33,39,41,43,43,45,45,43,43,43,45,47,50,50,54,55,56,57,59,61,62,69,70,69,68,69,Colombia,1.1,2.8,Colombia,Colombia
116,129,133,136,147,152,158,167,182,192,206,214,218,236,238,251,258,265,269,268,276,303,307,297,301,311,321,314,Mexico,-2.2,2.5,Mexico,Mexico
59,63,67,69,71,73,76,78,81,81,85,90,92,92,99,105,110,114,119,120,114,118,122,123,128,118,106,112,Venezuela,5.3,1.6,Venezuela,Venezuela
2259,2411,2554,2720,2949,3153,3328,3494,3582,3761,4024,4207,4486,4834,5264,5679,6162,6716,6907,7234,7983,8581,8958,9539,9934,10226,10691,11274,Asia,5.5,6.2,Asia,Asia
621,678,754,838,928,1008,1080,1136,1168,1240,1356,1481,1654,1911,2204,2500,2866,3282,3467,3715,4208,4716,4994,5447,5679,5860,6165,6529,China,5.9,9.7,China,China
293,319,337,361,391,424,443,473,504,546,570,588,611,651,684,716,774,824,848,917,979,1075,1123,1191,1294,1383,1463,1541,India,5.3,6.0,India,India
33,37,42,45,51,59,68,75,78,86,93,101,108,113,120,128,133,142,149,157,170,183,200,216,228,234,249,260,Indonesia,4.7,6.2,Indonesia,Indonesia
882,911,917,926,984,1011,1030,1055,1060,1079,1100,1083,1103,1093,1121,1139,1140,1164,1108,1075,1149,1083,1065,1066,1059,1041,1025,1101,Japan,7.4,0.0,Japan,Japan
23,27,29,35,39,45,51,58,61,65,69,71,74,78,82,83,90,98,98,116,125,129,134,138,147,150,163,166,Malaysia,2.1,5.3,Malaysia,Malaysia
105,115,126,145,164,184,205,225,218,238,290,311,332,345,368,389,404,427,446,455,500,523,535,542,551,553,566,579,South Korea,2.4,4.2,South Korea,South Korea
90,99,106,115,125,133,142,150,163,169,185,189,199,209,218,227,235,243,238,230,247,252,250,252,260,258,264,271,Taiwan,2.4,2.3,Taiwan,Taiwan
44,50,57,63,71,80,90,93,90,90,96,102,109,117,126,132,139,143,147,148,160,156,167,170,173,178,180,177,Thailand,-1.7,3.7,Thailand,Thailand
190,193,195,200,204,212,217,222,236,245,253,268,272,266,275,276,281,292,292,296,302,303,300,298,297,302,305,304,Pacific,-0.1,1.1,Pacific,Pacific
155,157,160,164,167,173,178,183,195,204,210,225,228,221,228,229,233,243,243,248,253,254,251,250,248,252,255,255,Australia,-0.3,1.1,Australia,Australia
32,33,33,34,35,36,36,37,38,38,39,40,41,41,43,43,44,44,44,43,45,44,44,43,44,44,44,44,New Zealand,1.1,0.7,New Zealand,New Zealand
319,326,329,341,353,364,386,403,409,422,446,462,490,512,544,564,590,616,624,629,675,699,727,747,772,790,801,818,Africa,2.2,3.6,Africa,Africa
17,19,19,21,21,21,22,23,25,27,28,29,30,32,33,36,38,40,43,41,48,56,62,65,71,75,78,83,Algeria,6.0,6.7,Algeria,Algeria
42,44,46,48,49,52,55,58,63,68,78,83,89,95,101,109,115,125,131,139,147,157,165,168,175,182,189,194,Egypt,2.7,5.5,Egypt,Egypt
13,14,15,15,16,16,16,16,15,16,15,15,22,20,24,24,23,23,21,20,26,27,29,29,30,31,28,28,Nigeria,-0.3,3.9,Nigeria,Nigeria
167,168,168,175,182,187,202,210,205,203,211,210,221,234,245,245,254,263,258,250,260,263,258,256,253,250,252,254,South Africa,0.9,1.1,South Africa,South Africa
244,246,280,309,330,346,366,390,421,445,472,500,533,564,599,646,690,732,786,818,892,916,958,988,1057,1111,1146,1190,Middle-East,3.9,5.6,Middle-East,Middle-East
59,64,69,76,82,85,91,98,103,113,121,130,141,154,167,178,193,204,215,221,233,240,254,262,275,281,288,311,Iran,7.8,5.7,Iran,Iran
18,11,17,20,23,24,25,27,30,32,32,34,36,40,41,44,48,49,52,53,57,57,63,61,65,68,70,73,Kuwait,3.5,4.9,Kuwait,Kuwait
69,74,82,91,94,98,101,108,115,119,126,134,142,153,160,176,181,191,204,217,240,250,272,284,312,338,340,345,Saudi Arabia,1.4,6.1,Saudi Arabia,Saudi Arabia
17,17,19,22,24,25,27,28,33,37,40,43,47,49,52,61,67,76,86,91,98,99,103,106,117,127,137,137,United Arab Emirates,-0.1,7.5,United Arab Emirates,United Arab Emirates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.a. : non avalaible ,,,n.a. : non avalaible ,n.a. : non avalaible 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source : ,,,Source : ,Source : 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ",,,"© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ","© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. "
