ShortName,2000_note,2000_source,2000_value,2001_note,2001_source,2001_value,2002_note,2002_source,2002_value,2003_note,2003_source,2003_value,2004_note,2004_source,2004_value,2005_note,2005_source,2005_value,2006_note,2006_source,2006_value,2007_note,2007_source,2007_value,2008_note,2008_source,2008_value,2009_note,2009_source,2009_value,2010_note,2010_source,2010_value,2011_note,2011_source,2011_value,2012_note,2012_source,2012_value,2013_note,2013_source,2013_value,2014_note,2014_source,2014_value,2015_note,2015_source,2015_value,2016_note,2016_source,2016_value,2017_note,2017_source,2017_value,2018_note,2018_source,2018_value,2019_note,2019_source,2019_value,2020_note,2020_source,2020_value,data_country,data_year
Eswatini,,Swaziland Posts and Telecommunications Corporation (STPC).,0.93,,Swaziland Posts and Telecommunications Corporation (STPC).,1.28,,Swaziland Posts and Telecommunications Corporation (STPC).,1.82,,Swaziland Posts and Telecommunications Corporation (STPC).,2.44,,Swaziland Posts and Telecommunications Corporation (STPC).,3.23,,ITU estimate.,3.70,,Swaziland Posts and Telecommunications Corporation (STPC).,3.70,,Swaziland Posts and Telecommunications Corporation,4.10,,Swaziland Posts and Telecommunications Corporation,6.85,,Swaziland Posts and Telecommunications Corporation,8.94,,Swaziland Posts and Telecommunications Corporation,11.04,"SwaziMTN 3G Network
& SPTC 1x EV DO + ISPs
Networks +ISPs
",Swaziland Posts and Telecommunications Corporation,18.13,,ITU estimate.,20.78,,ITU estimate.,24.70,,ITU estimate.,26.18,,ITU estimate.,25.64,,ITU estimate.,28.57,,ITU estimate.,30.30,,,,,,,,,,,
Ethiopia,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,0.02,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,0.04,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,0.07,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,0.11,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,0.16,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,0.22,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,0.31,,Ethiopian Telecommunication Agency,0.37,,ITU estimate.,0.45,,ITU estimate.,0.54,,ITU estimate.,0.75,,ITU estimate.,1.10,,ITU estimate.,2.90,,ITU estimate.,4.60,,ITU estimate.,7.70,,Ministry of Communications and Information Technology,13.86,,Ministry of Communications and Information Technology,15.37,,ITU estimate.,18.62,,,,,,,,,,,
Falkland (Malvinas) Is.,,,58.62,,,64.60,,,64.15,,ITU estimate.,64.02,,ITU estimate.,67.32,,ITU estimate.,84.01,,ITU estimate.,87.10,,Cable & Wireless South Atlantic Ltd,90.06,,Cable & Wireless,92.96,,Cable & Wireless,95.84,,Cable & Wireless,95.84,,Cable & Wireless,96.38,,ITU estimate.,96.92,,ITU estimate.,96.90,,ITU estimate.,97.60,,ITU estimate.,98.31,,ITU estimate.,99.02,,,,,,,,,,,,,,
Faroe Islands,,,32.92,,,43.25,,,53.30,,ITU estimate.,58.91,,ITU estimate.,66.53,,ITU estimate.,67.90,,ITU estimate.,69.36,,Post and Telecom Surveillance Authority,75.98,,Post and Telecom Surveillance Authority,75.57,,Post and Telecom Surveillance Authority,75.18,,Post and Telecom Surveillance Authority,75.20,,ITU estimate.,80.73,,ITU estimate.,85.34,,ITU estimate.,90.00,,ITU estimate.,93.30,,ITU estimate.,94.20,,ITU estimate.,95.11,,ITU estimate.,97.58,,,,,,,,,,,
Fiji,,Telecom Fiji.,1.50,,Telecom Fiji.,1.86,,Telecom Fiji.,6.15,,Telecom Fiji.,6.73,,"Ministry of Information, Communications & Media Relations.",7.41,,"Ministry of Information, Communications & Media Relations.",8.45,,"Ministry of Information, Communications & Media Relations.",9.60,,ITU estimate.,10.90,,ITU estimate.,13.00,,ITU estimate.,17.00,,ITU estimate.,20.00,,ITU estimate. ,28.00,,ITU estimate.,33.74,,ITU estimate.,35.20,,ITU estimate.,37.40,,ITU estimate.,42.50,,ITU estimate.,46.51,,ITU estimate.,49.97,,,,,,,,,,,
Finland,Has used at least one other Internet application besides e-mail in last 3 months. Population age 15+.,www.toy.fi.,37.25,Using at least one other Internet application besides e-mail in last 3 months. Population age 15+.,www.toy.fi.,43.11,Population age 16-74 using Internet in the last 3 months.,Eurostat.,62.43,Population age 16-74.,Eurostat.,69.22,Population age 16-74.,Eurostat.,72.39,Population age 16-74.,Eurostat.,74.48,Population age 16-74.,Eurostat.,79.66,Population age 16-74.,Eurostat.,80.78,Population age 16-74.,Eurostat.,83.67,Population age 16-74 using Internet in the last 3 months.,Eurostat.,82.49,"Population age 16-74.
",Eurostat.,86.89, Users in the last 3 months. Age 16-74.,Eurostat.,88.71, Users in the last 3 months.,Eurostat.,89.88,Population age 16-74.,Eurostat.,91.51,Break in series. Population aged 16-89.,Statistics Finland.,86.53,,Statistics Finland,86.42,,Statistics Finland,87.70,,Statistics Finland,87.47,,Statistics Finland,88.89,,Statistics Finland,89.61,,,,,
France,Population age 15+ using internet in the last year.,Médiamétrie.,14.31,"Population age 11+, used in the last month.",Médiamétrie.,26.33,"Population age 11+, used in the last month.",Médiamétrie.,30.18,"Population age 11+, used in the last month.",Médiamétrie.,36.14,"Population age 11+, used in the last month.",Médiamétrie.,39.15,"Population age 11+, used in the last month.",Médiamétrie.,42.87,Population age 16-74.,Eurostat.,46.87,Population age 16-74.,Eurostat.,66.09,Population age 16-74.,Eurostat.,70.68,Population age 16-74.,Eurostat.,71.58,Population age 16-74.,Eurostat.,77.28, Users in the last 3 months. Age 16-74.,Eurostat.,77.82, Users in the last 3 months.,Eurostat.,81.44,Population age 16-74.,Eurostat.,81.92,Population age 16-74.,Eurostat,83.75,"Scope : 15 years old and more
. Last 3 months.",Institut National de la Statistique et des Etudes Economiques,78.01,"Scope : 15 years old and more
Last 3 months.",ITU,79.27,"Scope : 15 years old and more
Last 3 months.",Institut National de la Statistique et des Etudes Economiques,80.50,,Institut National de la Statistique et des Etudes Economiques,82.04,,Insee,83.34,,,,,
French Guiana,,,9.69,,,11.62,,,13.92,,,16.55,,,19.50,,,20.79,,ITU estimate.,22.06,,ITU estimate.,23.31,,ITU estimate.,24.53,,ITU estimate.,25.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,6.36,,,6.25,,,8.20,,,14.12,,,17.88,,,21.54,,,25.11,,Service des postes et télécommunications,28.59,,Service des postes et télécommunications,33.87,,Service des postes et télécommunications,44.60,,Service des postes et télécommunications,49.00,,ITU estimate. ,49.00,,ITU estimate.,52.88,,ITU estimate.,56.80,,ITU estimate.,60.68,,ITU estimate.,64.56,,ITU estimate.,68.44,,ITU estimate.,72.70,,,,,,,,,,,
Gabon,,Office des postes et des télécommunications (OPT).,1.22,,Office des postes et des télécommunications (OPT).,1.35,,Gabon Telecom S.A.,1.94,,Gabon Telecom S.A.,2.66,,Gabon Telecom S.A.,2.98,,Gabon Telecom S.A.,4.89,,Gabon Telecom S.A.,5.49,,ITU estimate.,5.77,,ITU estimate.,7.50,,ITU estimate.,9.50,,ITU estimate.,13.00,,ITU estimate.,18.00,,ITU estimate.,24.00,,ITU estimate.,30.54,,ITU estimate.,38.07,,ITU estimate.,45.78,,ITU estimate.,48.05,,ITU estimate.,50.32,,,,,,,,,,,
Gambia,,The Gambia Public Utilities Regulatory Authority.,0.92,,The Gambia Public Utilities Regulatory Authority.,1.34,,The Gambia Public Utilities Regulatory Authority.,1.80,,The Gambia Public Utilities Regulatory Authority.,2.44,,The Gambia Public Utilities Regulatory Authority.,3.31,,ITU estimate.,3.80,,The Gambia Public Utilities Regulatory Authority.,5.24,,The Gambia Public Utilities Regulatory Authority.,6.21,,ITU estimate.,6.88,,ITU estimate.,7.63,,The Gambia Public Utilities Regulatory Authority,9.20,,ITU estimate.,10.87,,ITU estimate.,12.45,,ITU estimate.,14.00,,ITU estimate.,15.56,,ITU estimate.,16.50,,ITU estimate.,18.50,,ITU estimate.,19.84,,,,,,,,,,,
Georgia,,Ministry of Communications.,0.48,,Georgian National Communications Commission (GNCC).,0.99,,Georgian National Communications Commission (GNCC).,1.59,,Georgian National Communications Commission (GNCC).,2.56,,Georgian National Communications Commission (GNCC).,3.89,,ITU estimate.,6.08,,Georgian National Communications Commission (GNCC).,7.53,,Georgian National Communications Commission,8.26,,ITU estimate.,10.01,,ITU estimate.,20.07,,Ministry of Economy and Sustainable Development of Georgia,26.90,,ITU estimate.,31.52,,ITU estimate.,36.94,Population age 6+ in the last 12 months.,National Statistics Office of Georgia,43.30,"Survey value is 49.1% for population age 6+ using Internet in the last 12 months. The current value is an ITU estimate provided for comparability reasons with 2015 value, which corresponds to users in the last 3 months.",ITU estimate.,44.00,Reference population is population aged 6 years and older.,National Statistics Office of Georgia,47.57,"6 years and older, reference period is the last 3 months",National Statistics Office of Georgia,58.46,"6 years and older, reference period is the last 3 months",National Statistics Office of Georgia,59.71,,National Statistics Office of Georgia,62.72,,National Statistics Office of Georgia - Geostat,68.85,,,,,
Germany,,(N)onliner-Atlas.,30.22,,(N)onliner-Atlas.,31.65,Population age 16-74 using Internet in the last 3 months.,Eurostat.,48.82,Population age 16-74.,Eurostat.,55.90,Population age 16-74.,Eurostat.,64.73,Population age 16-74.,Eurostat.,68.71,Population age 16-74.,Eurostat.,72.16,Population age 16-74.,Eurostat.,75.16,Population age 16-74.,Eurostat.,78.00,Population age 16-74.,Eurostat.,79.00,Population age 16-74.,Eurostat.,82.00, Users in the last 3 months. Age 16-74.,Eurostat.,81.27, Users in the last 3 months.,Eurostat.,82.35,Population age 16-74.,Eurostat.,84.17,Population age 16-74.,Eurostat,86.19,last 3 months.,Eurostat,87.59,last 3 months.,ITU,84.17,,Federal Statistical Office,84.39,,Federal Statistical Office,87.04,,Federal Statistical Office,88.13,,,,,
Ghana,,Ghana Telecom.,0.15,,Ghana Telecom estimate.,0.20,,National Communications Authority (NCA).,0.83,,National Communications Authority (NCA).,1.19,,National Communications Authority (NCA).,1.72,,National Communications Authority (NCA).,1.83,,National Communications Authority (NCA).,2.72,,National Communications Authority,3.85,,National Communications Authority,4.27,,National Communications Authority,5.44,Break in comparability: persons 12 years and older. Based on Census 2010 results.,Ghana Statistical Service.,7.80,,ITU estimate.,9.00,Ghana Living Standards Survey 2012/2013. The estimate is based on weighting households who use internet by the household size over the total estimated population. Sample weights have also been applied. The question was asked at household level.,Ghana Statistical Service,10.60,,ITU estimate.,15.00,,ITU estimate.,25.52,18+,ITU estimate.,25.00,,ITU estimate.,34.67,,ITU estimate.,37.88,,,,,,,,,,,
Gibraltar,,GNC Networks Limited.,19.13,,GNC Networks Limited.,21.17,,ITU estimate. ,23.67,,ITU estimate. ,28.33,,ITU estimate. ,32.89,,ITU estimate. ,39.07,,ITU estimate. ,45.30,,Gibraltar Regulatory Authority,51.61,,ITU estimate.,58.00,,ITU estimate.,65.07,,Gibraltar Regulatory Authority,65.00,,Gibraltar Regulatory Authority,65.00,,ITU estimate.,65.02,,,,,,,,,,,ITU estimate.,94.44,,,,,,,,,,,,,,
Greece,,Hellenic Telecommunications & Post Commission (EETT).,9.14,,Hellenic Telecommunications & Post Commission (EETT).,10.94,"Population age 16-74, in the last 3 months.",Eurostat.,14.67,Population age 16-74.,Eurostat.,17.80,Population age 16-74.,Eurostat.,21.42,Population age 16-74.,Eurostat.,24.00,Population age 16-74.,Eurostat.,32.25,Population age 16-74.,Eurostat.,35.88,Population age 16-74.,Hellenic Telecommunications & Post Commission and EL.STAT,38.20,Population age 16-74.,Hellenic Telecommunications & Post Commission,42.40,Population age 16-74.,Hellenic Telecommunications & Post Commission and EL.STAT,44.40, Users in the last 3 months. Age 16-74.,Eurostat.,51.65, Users in the last 3 months.,Eurostat.,55.07,Population age 16-74.,Eurostat.,59.87,Population age 16-74.,Eurostat,63.21,,Hellenic Statistical Authority,66.83,,Hellenic Statistical Authority,69.09,,Hellenic Statistical Authority,69.89,,Hellenic Statistical Authority,72.24,,Hellenic Statistical Authority,75.67,,,,,
Greenland,,,31.75,,,35.46,,,44.15,,,54.53,,,56.10,,,57.70,,,59.36,,TELE Greenland,61.07,,TELE Greenland,62.82,,TELE Greenland,62.83,,Tele Greenland A/S,63.00,,Tele Greenland A/S,64.00,,ITU estimate.,64.90,,ITU estimate.,65.80,,ITU estimate.,66.70,,ITU estimate.,67.60,,ITU estimate.,68.50,,ITU estimate.,69.48,,,,,,,,,,,
Grenada,,,4.06,,,5.13,,,14.76,,ITU estimate.,18.65,,ITU estimate.,19.57,,ITU estimate.,20.49,,ITU estimate.,21.40,,Cable & Wireless Grenada Ltd. trading as LIME,22.29,,ITU estimate.,23.18,,ITU estimate.,24.05,,ITU estimate.,27.00,,ITU estimate.,30.00,,ITU estimate.,32.00,,ITU estimate.,35.00,,ECTEL,51.60,,ITU estimate.,53.81,,ITU estimate.,55.86,,ITU estimate.,59.07,,,,,,,,,,,
Guadeloupe,,,5.83,,,9.20,,,11.35,,,14.12,,,17.51,,,18.66,,ITU estimate.,19.83,,ITU estimate.,21.02,,ITU estimate.,22.22,,ITU estimate.,23.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,Guam Telephone Authority.,16.11,,Guam Telephone Authority.,25.38,,Guam Telephone Authority.,31.19,,Guam Telephone Authority.,33.72,,Guam Telephone Authority.,36.16,,Guam Telephone Authority.,38.56,,ITU estimate.,43.85,,ITU estimate.,46.15,,ITU estimate.,48.42,,ITU estimate.,50.64,,ITU estimate.,54.04,,ITU estimate.,57.70,,ITU estimate.,61.53,,ITU estimate.,65.40,,ITU estimate.,69.27,,ITU estimate.,73.14,,ITU estimate.,77.01,,ITU estimate.,80.51,,,,,,,,,,,
Guatemala,,,0.71,,,1.74,,,3.39,,,4.55,,,5.10,,,5.70,,ITU estimate.,6.50,,ITU estimate.,7.30,,ITU estimate.,8.30,,ITU estimate.,9.30,,ITU estimate.,10.50,,ITU estimate.,12.30,,ITU estimate.,16.00,,ITU estimate.,19.70,,ITU estimate.,23.40,,ITU estimate.,28.81,,ITU estimate.,34.51,,ITU estimate.,40.70,,,,,,,,,,,
Guernsey,,Cable & Wireless Guernsey.,31.90,,Cable & Wireless Guernsey.,44.47,,CRC based on survey.,53.57,,Cable & Wireless Guernsey.,59.14,,2004 HH ICT survey.,64.52,,Cable & Wireless Guernsey.,73.57,,Cable & Wireless Guernsey.,83.63,,,,,,,,,,,,,,ITU estimate.,83.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,0.10,,,0.18,,,0.40,,,0.45,,,0.51,,,0.54,,,0.64,,Ministère de la Communication et des Nouvelles Technologies de l'Information.,0.78,Based on operators' information.,Ministère de la Communication et des Nouvelles Technologies de l'Information,0.92,Based on operators' information.,Ministère de la Communication et des Nouvelles Technologies de l'Information,0.94,,ITU estimate.,1.00,,ITU estimate. ,2.00,,ITU estimate.,3.10,,ITU estimate.,4.50,,ITU estimate.,6.40,,ITU estimate.,8.20,,ITU estimate.,9.80,,ITU estimate.,11.40,,Institut National de la Statistique,21.83,,,,,,,,
Guinea-Bissau,,,0.23,,,0.30,,,1.02,,,1.35,,,1.81,,,1.90,,,2.06,,ITU estimate.,2.21,,Instituto das Comunicaçoes da Guiné-Bissau.,2.35,,Instituto das Comunicaçoes da Guiné-Bissau.,2.30,,ITU estimate.,2.45,,ITU estimate.,2.67,,ITU estimate.,2.89,,ITU estimate.,3.10,,ITU estimate.,3.32,,ITU estimate.,3.54,,ITU estimate.,3.76,,ITU estimate.,3.93,,,,,,,,,,,
Guyana,,,6.61,,,13.21,,,,,,,,,,,,,,,,,ITU estimate.,13.80,,National Frequency Management Unit,18.20,,National Frequency Management Unit,23.90,,National Frequency Management Unit,29.90,,ITU estimate.,30.00,,ITU estimate.,30.50,,ITU estimate.,31.00,,ITU estimate.,32.00,,ITU estimate.,34.00,,ITU estimate.,35.66,,ITU estimate.,37.33,,,,,,,,,,,
Haiti,,,0.23,,,0.34,,,0.89,,ITU estimate.,1.65,,ITU estimate.,5.40,,ITU estimate.,6.38,,ITU estimate.,6.80,,ITU estimate.,7.20,,ITU estimate.,7.60,,ITU estimate.,8.10,,ITU estimate.,8.37,,ITU estimate.,9.00,,ITU estimate.,9.80,,ITU estimate.,10.60,,ITU estimate.,11.40,,ITU estimate.,12.20,,ITU estimate.,12.23,,ITU estimate.,12.33,,Institut Haitien de Statistique et d'nformatique,32.47,,,,,,,,
Honduras,,,1.20,,,1.42,,,2.60,Estimated based on Survey's results. Population age 5+.,ITU estimate.,4.80,Population age 5+.,"ITU based on ECLAC, OSILAC.",5.60,Population age 5+.,"ITU based on ECLAC, OSILAC.",6.50,Population age 5+.,ITU estimate.,7.80,Population age 5+.,"ITU based on ECLAC, OSILAC.",9.40,Population age 5+.,Instituto Nacional de Estadistica de Honduras (INE),9.60,Estimated based on Survey's results. Population age 5+.,ITU estimate.,9.80,,Comisión Nacional de Telecomunicaciones (CONATEL),11.09,Estimated based on Survey's results. Population age 5+.,Comisión Nacional de Telecomunicaciones (CONATEL),15.90,,Instituto Nacional de Estadistica,18.12,,Instituto Nacional de Estadistica,17.80,,ITU estimate.,19.08,Last 3 months,ITU estimate.,27.10,Last 3 months,ITU estimate.,29.50,,ITU estimate.,32.14,,,,,,,,,,,
"Hong Kong, China",Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,27.83,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,38.67,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,43.08,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,52.20,Population age 10+ who accessed Internet in previous year.,Census and Statistics Department,56.40,Population age 10+.,Census and Statistics Department.,56.90,Population age 10+.,Census and Statistics Department.,60.80,Population age 10+.,Census and Statistics Department.,64.80,Population age 10+.,Census and Statistics Department.,66.70,Population age 10+.,Census and Statistics Department.,69.40,Population age 10+.,Office of the Telecommunications Authority,72.00,Population age 10+.,ITU estimate.,72.20,All persons aged 10 and over,Census and Statistics Department,72.90,All persons aged 10 and over,Census and Statistics Department,74.20,Population age 10+.,Census and Statistics Department,79.87,Number of individuals aged 10 and over who used the Internet (from any location) in the last twelve months,Census and Statistics Department,84.95,"The figure should be 5'577'500 (data input as 5'577'600 temporarily for by-passing the validation rule).
Number of individuals aged 10 and over who used the Internet (from any location) in the last twelve months",Census and Statistics Department,87.48,Number of individuals aged 10 and over who used the Internet (from any location) in the last twelve months,Census and Statistics Department,89.42,,Census and Statistics Department,90.51,,Census and Statistics Department,91.74,,,,,
Hungary,,National Communications Authority.,7.00,,National Communications Authority.,14.53,,National Communications Authority.,16.67,,National Communications Authority.,21.63,,ITU estimate based on Eurostat.,27.74,Population age 16-74.,Eurostat.,38.97,Population age 16-74.,Eurostat.,47.06,Population age 16-74.,Eurostat.,53.30,Population age 16-74.,"Eurostat.
",61.00,Population age 16-74.,Eurostat.,62.00,Population age 16-74.,Eurostat.,65.00, Users in the last 3 months. Age 16-74.,Eurostat.,68.02, Users in the last 3 months.,Eurostat.,70.58,Population age 16-74.,Eurostat.,72.64,Population age 16-74.,Eurostat,75.65,Usage within the last 3 months.,ITU,72.83,Usage within the last 3 months.,Hungarian Central Statistical Office,79.26,Usage within the last 3 months.,Hungarian Central Statistical Office,76.75,,Hungarian Central Statistical Office,76.07,,Hungarian Central Statistical Office ,80.37,,,,,
Iceland,,Iceland Telecom Ltd.,44.47,,Iceland Telecom Ltd.,49.39,"Break in comparability, from this year on data based on Eurostat.",ITU estimate based on Eurostat.,79.12,Population age 16-74.,Eurostat.,83.14,Population age 16-74.,Eurostat.,83.88,Population age 16-74.,Eurostat.,87.00,Population age 16-74.,Eurostat.,89.51,Population age 16-74.,Eurostat.,90.60,,Post and Telecom Administration,91.00,,Post and Telecom Administration,93.00,"Population age 16-74, in the last 3 months.",Post and Telecom Administration,93.39, Users in the last 3 months. Age 16-74.,Eurostat.,94.82, Users in the last 3 months.,Eurostat.,96.21,Population age 16-74.,Eurostat.,96.55,Population age 16-74.,Eurostat,98.16,,ITU estimate.,98.20,,ITU estimate.,98.24,,Eurostat,98.26,,Eurostat,99.01,,,,,,,,
India,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,0.53,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,0.66,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,1.54,December.,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,1.69,,ITU estimate. ,1.98,,ITU estimate. ,2.39,September. ,Internet in India [I Cube] Report 2007. ,2.81,September. ,"Department of Telecommunications, Ministry of Communications & IT",3.95,,"Department of Telecommunications, Ministry of Communications & IT",4.38,,"Department of Telecommunications, Ministry of Communications & IT",5.12,,ITU estimate.,7.50,Estimate based on market research reports indicating 121 million Internet users by 12/2011. India has 20.99  million Internet connections (incl. broad- and narrowband subscript. excl. mobile phone subscript. with data capabilities) in 09/2011.,DoT / TRAI.,10.07,,ITU estimate.,12.58,,ITU estimate.,15.10,,ITU estimate.,21.00,18+,ITU estimate.,17.00,18+,ITU estimate.,22.00,,ITU estimate.,32.00,,Ministry of Statistics and Programme Implementation,20.08,,,,,,,,
Indonesia,,Indonesian Internet Service Provider Association.,0.93,,Indonesian Internet Service Provider Association.,2.02,,Indonesian Internet Service Provider Association.,2.13,,Indonesian Internet Service Provider Association.,2.39,,Indonesian Internet Service Provider Association.,2.60,,Indonesian Internet Service Provider Association.,3.60,,Indonesian Internet Service Provider Association.,4.76,,Indonesian Internet Service Provider Association.,5.79,,ITU estimate.,7.92,,Ministry of Communication and Information Technology,6.92,Refers to total population.,Ministry of Communication and Information Technology,10.92,Break in comparability. Population age 5+. (value for all population is 11.11%).,Badan Pusat Statistik.,12.28, Population age 5+.,BPS-Statistics Indonesia,14.52,Population age 5+.,BPS-Statistics Indonesia,14.94,Population age 5+.,BPS-Statistics Indonesia,17.14,,BPS-Statistics Indonesia,22.06,,BPS-Statistics Indonesia,25.45,,BPS-Statistics Indonesia,32.34,,BPS-Statistics Indonesia,39.90,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),47.69,,,,,
Iran (Islamic Republic of),,Ministry of Information and Communications Technology.,0.93,,Ministry of Information and Communications Technology.,1.48,,Ministry of Information and Communications Technology.,4.63,,Communications Regulatory Authority (CRA).,6.93,,ITU estimate.,7.49,,ITU estimate.,8.10,,ITU estimate.,8.76,,ITU estimate.,9.47,Population age 6+.,Statistical Centre of Iran (SCI),12.02,,ITU estimate.,13.80,Population age 6+.,Statistical Center of Iran.,15.90,,ITU estimate.,19.00,Population age 6+.,Statistical Centre of Iran (SCI),22.73,Population age 6+.,Statistical Centre of Iran (SCI),29.95,Country estimate.,Statistical Centre of Iran (SCI),39.35,"1. Age 6 and over
2. HH7. Proportion of individuals using the Internet is 45.33%",Statistical Centre of Iran (SCI),45.33,"1. Age 6 and over
2. HH7. Proportion of individuals using the Internet is 53.23%
",Statistical Centre of Iran (SCI),53.23,,Statistical Centre of Iran (SCI),64.04,,Statistical Centre of Iran (SCI),70.00,,,,,,,,
Iraq,,,,,ITU estimate.,0.10,,ITU estimate.,0.50,,ITU estimate.,0.60,,ITU estimate.,0.90,,ITU estimate.,0.90,,Ministry of Communications,0.95,,Ministry of Communications,0.93,,Ministry of Communications,1.00,,Ministry of Communications,1.06,,Ministry of Communications,2.50,,ITU estimate.,5.00,,ITU estimate.,7.10,,ITU estimate.,9.20,,Central Statistical Organization,13.21,"15+, used last week",ITU estimate.,58.00,,ITU estimate.,21.23,,Communications and Media Commission,49.36,,Communications and Media Commission,75.00,,,,,,,,
Ireland,Population age 15+.,Amarach.,17.85,Population age 15+.,Amarach.,23.14,age 15+.,Amarach.,25.85,Population age 16-74.,Eurostat.,34.31,Population age 16-74.,Eurostat.,36.99,Population age 16-74.,Eurostat.,41.61,Population age 16-74.,Eurostat.,54.82,Population age 16-74.,Eurostat.,61.16,Population age 16-74.,Eurostat.,65.34,"Population age 16-74.
",Eurostat.,67.38,"Population age 16-74.
",Eurostat.,69.85, Users in the last 3 months. Age 16-74.,Eurostat.,74.89, Users in the last 3 months.,Eurostat.,76.92,Population age 16-74.,Eurostat.,78.25,Population age 16-74. Last three months.,Eurostat,83.49,83%,Central Statistics Office,83.49,,,,85%,Central Statistics Office,84.11,,Central Statistics Office,84.52,,,,,,,,
Israel,,,20.87,,,17.38,,,17.76,,,19.59,,,22.77,,,25.19,,,27.88,Population age 20+.,Central Bureau of Statistics.,48.13,Population age 20+.,Central Bureau of Statistics.,59.39,Population age 20+.,Central Bureau of Statistics.,63.12,Population age 20+.,Central Bureau of Statistics,67.50,Age 20+.

in the last 3 months,Central Bureau of Statistics,68.87,Age 20+.

in the last 3 months,Central Bureau of Statistics,70.80,Age 20+. in the last 3 months,Central Bureau of Statistics,70.25,Population age 20+.,Central Bureau of Statistics,75.02,"starting from 2014, the ISS asks about internet usage via a computer, or a mobile cellular phone  ",Central Bureau of Statistics,77.35,"starting from 2014, the ISS asks about internet usage via a computer, or a mobile cellular phone  ",Central Bureau of Statistics,79.65,,Central Bureau of Statistics,81.58,,Central Bureau of Statistics,83.73,,Central Bureau of Statistics,86.79,,,,,
Italy,,IDC.,23.11,,IDC.,27.22,"Population age 16-74, in the last 3 months.",Eurostat.,28.04,Population age 16-74.,Eurostat.,29.04,Population age 16-74.,Eurostat.,33.24,Population age 16-74.,Eurostat.,35.00,Population age 16-74.,Eurostat.,37.99,Population age 16-74.,Eurostat.,40.79,Population age 16-74.,Eurostat.,44.53,Population age 16-74.,Eurostat.,48.83,"Population age 16-74.
",Eurostat.,53.68, Users in the last 3 months. Age 16-74.,Eurostat.,54.39, Users in the last 3 months.,Eurostat.,55.83,Population age 16-74.,Eurostat.,58.46,Break in series. Population age 6+.,Istat/ Italian National Institute of Statistics.,55.64,,Italian National Institute of Statistics,58.14,,Italian National Institute of Statistics,61.32,,Italian National Institute of Statistics,63.08,,Eurostat,74.39,,,,,,,,
Jamaica,,Cable & Wireless.,3.12,,Cable & Wireless.,3.86,,ITU estimate.,6.10,,ITU estimate.,7.80,,ITU estimate.,10.00,,ITU estimate.,12.80,,ITU estimate.,16.40,,ITU estimate.,21.10,,Office of Utilities Regulation,23.60,,Office of Utilities Regulation,24.30,Population age 14+.,Statistical Institute of Jamaica,27.67,Break in comparability. Individuals 3+. Census result.Penetration is estimated by ITU at 31.5 for population 14+.,Statistical Institute of Jamaica,37.44,Population age 14+.,Statistical Institute of Jamaica,33.79,Population age 14+.,Statistical Institute of Jamaica,37.10,Population age 14+.,Statistical Institute of Jamaica,40.40,,Statistical Institute of Jamaica,42.22,,Statistical Institute of Jamaica,44.37,,Statistical Institute of Jamaica,55.07,,,,,,,,,,,
