ShortName,2000_note,2000_source,2000_value,2001_note,2001_source,2001_value,2002_note,2002_source,2002_value,2003_note,2003_source,2003_value,2004_note,2004_source,2004_value,2005_note,2005_source,2005_value,2006_note,2006_source,2006_value,2007_note,2007_source,2007_value,2008_note,2008_source,2008_value,2009_note,2009_source,2009_value,2010_note,2010_source,2010_value,2011_note,2011_source,2011_value,2012_note,2012_source,2012_value,2013_note,2013_source,2013_value,2014_note,2014_source,2014_value,2015_note,2015_source,2015_value,2016_note,2016_source,2016_value,2017_note,2017_source,2017_value,2018_note,2018_source,2018_value,2019_note,2019_source,2019_value,2020_note,2020_source,2020_value,data_country,data_year
Belize,,Belize Telecommunications Ltd (BTL).,5.96,,,,,ITU estimate.,5.68,,,,,ITU estimate.,9.80,,ITU estimate.,17.00,,ITU estimate.,24.00,,ITU estimate.,24.60,,ITU estimate.,26.30,,ITU estimate.,27.20,Population age 5+.,Staistical Institute of Belize,28.20,,ITU estimate.,30.70,,ITU estimate.,31.00,,ITU estimate.,33.60,,ITU estimate.,38.70,,ITU estimate.,41.59,,ITU estimate.,44.58,,ITU estimate.,47.08,,,,,,,,,,,
Benin,,,0.23,,,0.36,,,0.70,,,0.95,,,1.18,,,1.27,,,1.54,,Autorité Transitoire de Régulation des Postes et Télécommunications,1.79,,Autorité Transitoire de Régulation des Postes et Télécommunications,1.85,,Autorité Transitoire de Régulation des Postes et Télécommunications,2.24,,Autorité Transitoire de Régulation des Postes et Télécommunications,3.13,Population 6+,NSO.,4.15,,ITU estimate.,4.50,,ITU estimate.,4.90,,ITU estimate.,6.00,,ITU estimate.,11.25,,ITU estimate.,11.99,,ITU estimate.,14.12,,,,,,,,,,,
Bermuda,,,42.95,,,47.51,,,52.03,,,56.52,,,60.99,,,65.45,,,69.90,,,74.35,Population age 18+.,Bermuda Government Department of Statistics.,82.30,, Bermuda Government Department of Statistics.,83.25,,ITU estimate.,84.21,,ITU estimate.,88.34,,ITU estimate.,91.30,,ITU estimate.,95.30,,ITU estimate.,96.80,,ITU estimate.,98.32,,ITU estimate.,98.00,,ITU estimate.,98.37,,,,,,,,,,,
Bhutan,,,0.40,,,0.86,,,1.68,,,2.44,,,3.16,,,3.85,,,4.52,,Bhutan InfoComm and Media Authority,5.92,,Bhutan InfoComm and Media Authority,6.55,,Bhutan InfoComm and Media Authority,7.17,Country estimate. ,Ministry of Information & Communications,13.60,,"ITU estimate.
",14.40,,ITU estimate.,15.60,,ITU estimate.,22.40,,ITU estimate.,30.30,,ITU estimate.,39.80,,ITU estimate.,41.77,,,,,,,,,,,,,,
Bolivia (Plurinational State of),,SITTEL. ITU estimate.,1.44,,SITTEL. ITU estimate.,2.12,,SITTEL. ITU estimate.,3.12,,Superintendencia de Telecomunicaciones.,3.51,,Superintendencia de Telecomunicaciones.,4.44,,Superintendencia de Telecomunicaciones.,5.23,,Superintendencia de Telecomunicaciones.,6.20,,ITU estimate.,10.50,,ITU estimate.,12.50,,ITU estimate.,16.80,,ITU estimate.,22.40,,ITU estimate.,30.00,Population age 5+ in the last 12 months.,Instituto Nacional de Estadística,35.34,Population age 5+ in the last 3 months.,Instituto Nacional de Estadística,36.99,Population age 5+ in the last 3 months.,Statistic National Institute,34.60,,ITU estimate.,35.56,,ITU estimate.,39.70,,ITU estimate.,43.83,,Statistic National Institute,44.29,,Statistic National Institute,47.47,,,,,
Bosnia and Herzegovina,,Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).,1.08,,Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).,1.20,,Communications Regulatory Agency B & H.,2.65,,ITU estimate.,3.97,,Communications Regulatory Agency B & H.,15.47,,Communications Regulatory Agency B & H.,21.33,,Communications Regulatory Agency B & H.,25.12,,Communication Regulatory Agency,27.92,,Communication Regulatory Agency,34.66,,Communication Regulatory Agency,37.74,,ITU estimate.,42.75,,ITU estimate.,43.89,,ITU estimate.,45.06,,ITU estimate.,48.52,,ITU estimate.,49.92,,ITU estimate.,52.60,The data is corrected,Agency for Statistics of Bosnia and Herzegovina,60.26,,Agency for Statistics of Bosnia and Herzegovina,64.89,,Agency for Statistics of Bosnia and Herzegovina,70.12,,Agency for Statistics of Bosnia and Herzegovina,69.95,,,,,
Botswana,,Botswana Telecommunication Corporation.,2.90,,Botswana Telecommunication Corporation.,3.43,,Botswana Telecommunication Corporation.,3.39,,Botswana Telecommunications Authority (BTA).,3.35,,Botswana Telecommunications Authority (BTA).,3.30,,ITU estimate.,3.26,,Botswana Telecommunications Authority (BTA).,4.29,,BOTSWANA TELECOMMUNICATIONS AUTHORITY,5.28,,BOTSWANA TELECOMMUNICATIONS AUTHORITY,6.25,,Estimate from BOTSWANA TELECOMMUNICATIONS AUTHORITY,6.15,,BOTSWANA TELECOMMUNICATIONS AUTHORITY,6.00,,RIA.,9.00,,ITU estimate.,16.00,,ITU estimate.,30.00,,Central Statistics Office.,36.74,,ITU estimate.,37.31,,ITU estimate.,39.36,,ITU estimate.,41.41,,,,,,,,,,,
Brazil,,,2.87,,,4.53,,,9.15,,,13.21,,,19.07,Population age 10+ using internet in the last 3 months.,IBGE.,21.02,Population age 10+. Estimated based on urban/rural distribution of Internet users in 2008 (as 2006 Survey collected only urban data).,ITU estimate based on Brazilian Internet Steering Committee.,28.18,Population age 10+. Estimated based on urban/rural distribution of Internet users in 2008 (as 2006 Survey collected only urban data).,ITU estimate based on Brazilian Internet Steering Committee.,30.88,Population age 10+ using internet in the last 3 months.,Brazilian Internet Steering Committee.,33.83,Population age 10+ using internet in the last 3 months.,Brazilian Internet Steering Committee.,39.22,In the last 3 months. Population 10+.,Brazilian Internet Steering Committee.,40.65,Population age 10+ using internet in the last 3 months.,Brazilian Internet Steering Committee.,45.69,Population age 10+.,NIC.br,48.56,Population age 10+.,NIC.br,51.04,Population age 10+.,NIC.br,54.55,,Brazilian Internet Steering Committee,58.33,,ITU,60.87,,Brazilian Institute of Geography and Statistics,67.47,,Brazilian Institute of Geography and Statistics,70.43,,NIC.br,73.91,,,,,
British Virgin Islands,,,,,,,,,18.89,,,,,,,,,,,,,,,,,,,,Telecommunications Regulatory Commission,36.00,,Telecommunications Regulatory Commission,37.00,,,37.40,,,37.60,,,,,,,,,,,Telecommunications Regulatory Commission,77.70,,Telecommunications Regulatory Commission,77.70,,,,,,,,,,,
Brunei Darussalam,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,9.00,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,12.92,,AiTi.,15.33,,AiTi.,19.60,,AiTi.,29.72,,AiTi.,36.47,,AiTi.,42.19,,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),44.68,Estimate.,Authority for Info-communications Technology Industry of Brunei Darussalam,46.00,Estimate.,Authority for Info-communications Technology Industry of Brunei Darussalam,49.00,,ITU estimate.,53.00,,ITU estimate.,56.00,,ITU estimate.,60.27,,ITU estimate.,64.50,,ITU estimate.,68.77,,ITU estimate.,71.20,,Authority for Info-communications Technology Industry of Brunei Darussalam,90.00,,ITU estimate.,94.87,,Authority for Info-communications Technology Industry of Brunei Darussalam,95.00,,Authority for Info-communications Technology Industry of Brunei Darussalam,95.00,,,,,
