ISO alpha-3,Country,Region,Year,Index,Authorisation,Consumer Protection,KYC,Transaction Limits,Agent Network,Infrastructure and Investment environment,Eligibility,Authorisation Instruments,Capital Requirements,International Remittances,Safeguarding of Funds,Consumer Protection Rules,Deposit Insurance,Permitted Identifications,KYC Requirements,KYC Proportionality,Entry-level transaction limits,Entry-level monthly limits,Entry-level balance limits,Maximum transaction limits,Maximum monthly limits,Maximum balance limits,Agent Eligibility,Agent Authorisation,Agent Activities,Agent Liability,Affordability,ID Verification Infrastructure,Interoperability,Settlement Access,Interest Payments,Financial Inclusion Strategy,Data Sovereignty,Gender Equality,data_country,data_year
BEN,Benin,Sub-Saharan Africa,2018,74.20,100.00,40.00,32.00,100.00,94.00,62.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,0.00,70.00,0.00,50.00,0.00,,
BEN,Benin,Sub-Saharan Africa,2019,74.20,100.00,40.00,32.00,100.00,94.00,62.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,0.00,70.00,0.00,50.00,0.00,,
BEN,Benin,Sub-Saharan Africa,2020,74.20,100.00,40.00,32.00,100.00,94.00,62.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,0.00,70.00,0.00,50.00,0.00,,
BEN,Benin,Sub-Saharan Africa,2021,74.20,100.00,40.00,32.00,100.00,94.00,62.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,0.00,70.00,0.00,50.00,0.00,,
BOL,Bolivia,Latin America and the Caribbean,2018,74.91,90.00,80.00,0.00,100.00,100.00,69.38,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,30.00,0.00,,,,
BOL,Bolivia,Latin America and the Caribbean,2019,74.91,90.00,80.00,0.00,100.00,100.00,69.38,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,30.00,0.00,,,,
BOL,Bolivia,Latin America and the Caribbean,2020,74.91,90.00,80.00,0.00,100.00,100.00,69.38,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,30.00,0.00,,,,
BOL,Bolivia,Latin America and the Caribbean,2021,74.91,90.00,80.00,0.00,100.00,100.00,69.38,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,30.00,0.00,,,,
BWA,Botswana,Sub-Saharan Africa,2018,57.76,63.00,40.00,32.00,66.67,72.00,69.38,60.00,30.00,100.00,100.00,100.00,0.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,50.00,100.00,0.00,100.00,100.00,40.00,0.00,100.00,50.00,100.00,0.00,30.00,100.00,,,,
BWA,Botswana,Sub-Saharan Africa,2019,77.56,100.00,80.00,32.00,100.00,64.00,74.38,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,,,,
BWA,Botswana,Sub-Saharan Africa,2020,77.56,100.00,80.00,32.00,100.00,64.00,74.38,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,,,,
BWA,Botswana,Sub-Saharan Africa,2021,77.56,100.00,80.00,32.00,100.00,64.00,74.38,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,,,,
BRA,Brazil,Latin America and the Caribbean,2018,80.13,100.00,40.00,52.00,100.00,88.00,87.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,,,,
BRA,Brazil,Latin America and the Caribbean,2019,88.00,100.00,80.00,52.00,100.00,88.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,
BRA,Brazil,Latin America and the Caribbean,2020,88.00,100.00,80.00,52.00,100.00,88.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,
BRA,Brazil,Latin America and the Caribbean,2021,88.00,100.00,80.00,52.00,100.00,88.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,
BFA,Burkina Faso,Sub-Saharan Africa,2018,73.45,100.00,40.00,32.00,100.00,94.00,57.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,50.00,100.00,,
BFA,Burkina Faso,Sub-Saharan Africa,2019,74.57,100.00,40.00,32.00,100.00,94.00,64.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,50.00,100.00,,
BFA,Burkina Faso,Sub-Saharan Africa,2020,74.57,100.00,40.00,32.00,100.00,94.00,64.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,50.00,100.00,,
BFA,Burkina Faso,Sub-Saharan Africa,2021,74.57,100.00,40.00,32.00,100.00,94.00,64.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,50.00,100.00,,
BDI,Burundi,Sub-Saharan Africa,2018,87.70,100.00,72.00,92.00,100.00,94.00,60.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,,,,
