ISO alpha-3,Country,Region,Year,Index,Authorisation,Consumer Protection,KYC,Transaction Limits,Agent Network,Infrastructure and Investment environment,Eligibility,Authorisation Instruments,Capital Requirements,International Remittances,Safeguarding of Funds,Consumer Protection Rules,Deposit Insurance,Permitted Identifications,KYC Requirements,KYC Proportionality,Entry-level transaction limits,Entry-level monthly limits,Entry-level balance limits,Maximum transaction limits,Maximum monthly limits,Maximum balance limits,Agent Eligibility,Agent Authorisation,Agent Activities,Agent Liability,Affordability,ID Verification Infrastructure,Interoperability,Settlement Access,Interest Payments,Financial Inclusion Strategy,Data Sovereignty,Gender Equality,data_country,data_year
IRQ,Iraq,Middle East and North Africa,2021,65.48,90.00,80.00,0.00,100.00,84.00,22.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,0.00,0.00,100.00,30.00,50.00,,,,
JAM,Jamaica,Latin America and the Caribbean,2018,76.08,90.00,100.00,92.00,33.33,70.00,61.88,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,80.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,,,,
JAM,Jamaica,Latin America and the Caribbean,2019,85.25,100.00,100.00,92.00,77.78,70.00,61.88,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,50.00,100.00,50.00,50.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,,,,
JAM,Jamaica,Latin America and the Caribbean,2020,85.25,100.00,100.00,92.00,77.78,70.00,61.88,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,50.00,100.00,50.00,50.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,,,,
JAM,Jamaica,Latin America and the Caribbean,2021,85.25,100.00,100.00,92.00,77.78,70.00,61.88,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,50.00,100.00,50.00,50.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,,,,
JOR,Jordan,Middle East and North Africa,2018,79.45,90.00,80.00,52.00,88.89,100.00,58.75,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,70.00,100.00,,,,
JOR,Jordan,Middle East and North Africa,2019,81.11,90.00,80.00,52.00,100.00,100.00,58.75,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,70.00,100.00,,,,
JOR,Jordan,Middle East and North Africa,2020,81.11,90.00,80.00,52.00,100.00,100.00,58.75,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,70.00,100.00,,,,
JOR,Jordan,Middle East and North Africa,2021,81.11,90.00,80.00,52.00,100.00,100.00,58.75,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,70.00,100.00,,,,
KEN,Kenya,Sub-Saharan Africa,2018,84.10,100.00,100.00,32.00,100.00,100.00,62.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,70.00,100.00,50.00,100.00,,
KEN,Kenya,Sub-Saharan Africa,2019,84.10,100.00,100.00,32.00,100.00,100.00,62.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,70.00,100.00,50.00,100.00,,
KEN,Kenya,Sub-Saharan Africa,2020,84.10,100.00,100.00,32.00,100.00,100.00,62.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,70.00,100.00,50.00,100.00,,
KEN,Kenya,Sub-Saharan Africa,2021,84.10,100.00,100.00,32.00,100.00,100.00,62.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,70.00,100.00,50.00,100.00,,
KGZ,Kyrgyzstan,Europe and Central Asia,2018,88.15,84.00,80.00,92.00,94.44,100.00,81.25,60.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,,,,
KGZ,Kyrgyzstan,Europe and Central Asia,2019,88.15,84.00,80.00,92.00,94.44,100.00,81.25,60.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,,,,
KGZ,Kyrgyzstan,Europe and Central Asia,2020,88.15,84.00,80.00,92.00,94.44,100.00,81.25,60.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,,,,
KGZ,Kyrgyzstan,Europe and Central Asia,2021,88.15,84.00,80.00,92.00,94.44,100.00,81.25,60.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,,,,
LSO,Lesotho,Sub-Saharan Africa,2018,91.82,100.00,80.00,92.00,100.00,94.00,79.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,100.00,100.00,,
LSO,Lesotho,Sub-Saharan Africa,2019,91.82,100.00,80.00,92.00,100.00,94.00,79.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,100.00,100.00,,
LSO,Lesotho,Sub-Saharan Africa,2020,91.82,100.00,80.00,92.00,100.00,94.00,79.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,100.00,100.00,,
LSO,Lesotho,Sub-Saharan Africa,2021,91.82,100.00,80.00,92.00,100.00,94.00,79.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,50.00,100.00,0.00,70.00,100.00,100.00,100.00,,
LBR,Liberia,Sub-Saharan Africa,2018,89.63,90.00,80.00,100.00,100.00,90.00,77.50,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,70.00,100.00,,,,
LBR,Liberia,Sub-Saharan Africa,2019,92.44,90.00,80.00,100.00,100.00,90.00,96.25,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,70.00,100.00,,,,
LBR,Liberia,Sub-Saharan Africa,2020,92.44,90.00,80.00,100.00,100.00,90.00,96.25,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,70.00,100.00,,,,
LBR,Liberia,Sub-Saharan Africa,2021,92.44,90.00,80.00,100.00,100.00,90.00,96.25,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,70.00,100.00,,,,
MDG,Madagascar,Sub-Saharan Africa,2018,77.05,100.00,80.00,0.00,100.00,100.00,67.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,50.00,100.00,,
MDG,Madagascar,Sub-Saharan Africa,2019,77.05,100.00,80.00,0.00,100.00,100.00,67.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,50.00,100.00,,
MDG,Madagascar,Sub-Saharan Africa,2020,77.05,100.00,80.00,0.00,100.00,100.00,67.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,50.00,100.00,,
MDG,Madagascar,Sub-Saharan Africa,2021,77.05,100.00,80.00,0.00,100.00,100.00,67.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,50.00,100.00,,
MWI,Malawi,Sub-Saharan Africa,2018,86.33,100.00,64.00,100.00,83.33,84.00,77.50,100.00,100.00,100.00,100.00,100.00,60.00,0.00,100.00,100.00,100.00,50.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,80.00,0.00,100.00,0.00,100.00,100.00,70.00,100.00,,,,
MWI,Malawi,Sub-Saharan Africa,2019,93.63,100.00,80.00,100.00,100.00,100.00,77.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,70.00,100.00,,,,
MWI,Malawi,Sub-Saharan Africa,2020,93.63,100.00,80.00,100.00,100.00,100.00,77.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,70.00,100.00,,,,
MWI,Malawi,Sub-Saharan Africa,2021,93.63,100.00,80.00,100.00,100.00,100.00,77.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,70.00,100.00,,,,
MYS,Malaysia,East Asia and Pacific,2018,82.05,90.00,100.00,72.00,100.00,90.00,35.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,50.00,0.00,,
MYS,Malaysia,East Asia and Pacific,2019,85.05,90.00,100.00,92.00,100.00,90.00,35.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,50.00,0.00,,
MYS,Malaysia,East Asia and Pacific,2020,85.05,90.00,100.00,92.00,100.00,90.00,35.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,50.00,0.00,,
MYS,Malaysia,East Asia and Pacific,2021,85.05,90.00,100.00,92.00,100.00,90.00,35.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,50.00,0.00,,
MDV,Maldives,South Asia,2018,72.18,70.00,80.00,32.00,100.00,100.00,52.50,100.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
MDV,Maldives,South Asia,2019,72.18,70.00,80.00,32.00,100.00,100.00,52.50,100.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
MDV,Maldives,South Asia,2020,72.18,70.00,80.00,32.00,100.00,100.00,52.50,100.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
MDV,Maldives,South Asia,2021,72.18,70.00,80.00,32.00,100.00,100.00,52.50,100.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
MLI,Mali,Sub-Saharan Africa,2018,73.45,100.00,40.00,32.00,100.00,94.00,57.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,50.00,100.00,,
MLI,Mali,Sub-Saharan Africa,2019,73.45,100.00,40.00,32.00,100.00,94.00,57.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,50.00,100.00,,
MLI,Mali,Sub-Saharan Africa,2020,73.45,100.00,40.00,32.00,100.00,94.00,57.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,50.00,100.00,,
MLI,Mali,Sub-Saharan Africa,2021,73.45,100.00,40.00,32.00,100.00,94.00,57.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,50.00,100.00,,
MRT,Mauritania,Sub-Saharan Africa,2018,41.78,49.00,40.00,0.00,100.00,0.00,56.88,100.00,30.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,30.00,75.00,,,,
MRT,Mauritania,Sub-Saharan Africa,2019,41.78,49.00,40.00,0.00,100.00,0.00,56.88,100.00,30.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,30.00,75.00,,,,
MRT,Mauritania,Sub-Saharan Africa,2020,41.78,49.00,40.00,0.00,100.00,0.00,56.88,100.00,30.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,30.00,75.00,,,,
MRT,Mauritania,Sub-Saharan Africa,2021,41.78,49.00,40.00,0.00,100.00,0.00,56.88,100.00,30.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,30.00,75.00,,,,
MUS,Mauritius,Sub-Saharan Africa,2018,88.33,90.00,80.00,92.00,88.89,100.00,78.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,30.00,0.00,50.00,100.00,,
MUS,Mauritius,Sub-Saharan Africa,2019,88.33,90.00,80.00,92.00,88.89,100.00,78.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,30.00,0.00,50.00,100.00,,
MUS,Mauritius,Sub-Saharan Africa,2020,88.33,90.00,80.00,92.00,88.89,100.00,78.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,30.00,0.00,50.00,100.00,,
MUS,Mauritius,Sub-Saharan Africa,2021,88.33,90.00,80.00,92.00,88.89,100.00,78.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,30.00,0.00,50.00,100.00,,
MEX,Mexico,Latin America and the Caribbean,2018,72.37,88.00,40.00,60.00,77.78,100.00,58.00,100.00,60.00,100.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,30.00,100.00,50.00,100.00,,
MEX,Mexico,Latin America and the Caribbean,2019,72.37,88.00,40.00,60.00,77.78,100.00,58.00,100.00,60.00,100.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,30.00,100.00,50.00,100.00,,
MEX,Mexico,Latin America and the Caribbean,2020,72.37,88.00,40.00,60.00,77.78,100.00,58.00,100.00,60.00,100.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,30.00,100.00,50.00,100.00,,
MEX,Mexico,Latin America and the Caribbean,2021,75.37,100.00,40.00,60.00,77.78,100.00,58.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,30.00,100.00,50.00,100.00,,
MNG,Mongolia,East Asia and Pacific,2018,79.75,90.00,80.00,60.00,88.89,94.00,58.80,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,75.00,33.00,100.00,,
MNG,Mongolia,East Asia and Pacific,2019,79.75,90.00,80.00,60.00,88.89,94.00,58.80,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,75.00,33.00,100.00,,
MNG,Mongolia,East Asia and Pacific,2020,79.75,90.00,80.00,60.00,88.89,94.00,58.80,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,75.00,33.00,100.00,,
MNG,Mongolia,East Asia and Pacific,2021,79.75,90.00,80.00,60.00,88.89,94.00,58.80,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,75.00,33.00,100.00,,
MAR,Morocco,Middle East and North Africa,2018,76.79,100.00,80.00,32.00,77.78,88.00,67.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,0.00,100.00,100.00,50.00,80.00,100.00,80.00,100.00,0.00,50.00,100.00,100.00,100.00,100.00,50.00,100.00,,
MAR,Morocco,Middle East and North Africa,2019,74.54,100.00,80.00,32.00,77.78,88.00,52.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,0.00,100.00,100.00,50.00,80.00,100.00,80.00,100.00,0.00,50.00,0.00,100.00,100.00,100.00,50.00,100.00,,
MAR,Morocco,Middle East and North Africa,2020,74.54,100.00,80.00,32.00,77.78,88.00,52.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,0.00,100.00,100.00,50.00,80.00,100.00,80.00,100.00,0.00,50.00,0.00,100.00,100.00,100.00,50.00,100.00,,
MAR,Morocco,Middle East and North Africa,2021,74.54,100.00,80.00,32.00,77.78,88.00,52.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,0.00,100.00,100.00,50.00,80.00,100.00,80.00,100.00,0.00,50.00,0.00,100.00,100.00,100.00,50.00,100.00,,
MOZ,Mozambique,Sub-Saharan Africa,2018,70.90,100.00,72.00,0.00,100.00,72.00,62.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,40.00,0.00,100.00,0.00,100.00,0.00,70.00,100.00,0.00,100.00,,
MOZ,Mozambique,Sub-Saharan Africa,2019,70.90,100.00,72.00,0.00,100.00,72.00,62.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,40.00,0.00,100.00,0.00,100.00,0.00,70.00,100.00,0.00,100.00,,
MOZ,Mozambique,Sub-Saharan Africa,2020,72.70,100.00,72.00,0.00,100.00,84.00,62.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,100.00,0.00,100.00,0.00,70.00,100.00,0.00,100.00,,
MOZ,Mozambique,Sub-Saharan Africa,2021,73.90,100.00,80.00,0.00,100.00,84.00,62.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,0.00,100.00,0.00,100.00,0.00,70.00,100.00,0.00,100.00,,
MMR,Myanmar,East Asia and Pacific,2018,75.38,80.00,80.00,52.00,72.22,100.00,65.00,100.00,100.00,50.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,0.00,100.00,50.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
MMR,Myanmar,East Asia and Pacific,2019,75.38,80.00,80.00,52.00,72.22,100.00,65.00,100.00,100.00,50.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,0.00,100.00,50.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
MMR,Myanmar,East Asia and Pacific,2020,72.88,80.00,80.00,52.00,55.56,100.00,65.00,100.00,100.00,50.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,0.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
MMR,Myanmar,East Asia and Pacific,2021,75.38,80.00,80.00,52.00,72.22,100.00,65.00,100.00,100.00,50.00,0.00,100.00,100.00,0.00,0.00,80.00,100.00,0.00,100.00,50.00,100.00,100.00,50.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
NAM,Namibia,Sub-Saharan Africa,2018,79.05,90.00,80.00,32.00,100.00,100.00,65.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
NAM,Namibia,Sub-Saharan Africa,2019,81.55,100.00,80.00,32.00,100.00,100.00,65.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
NAM,Namibia,Sub-Saharan Africa,2020,81.55,100.00,80.00,32.00,100.00,100.00,65.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
NAM,Namibia,Sub-Saharan Africa,2021,81.55,100.00,80.00,32.00,100.00,100.00,65.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,100.00,,,,
NPL,Nepal,South Asia,2018,76.55,90.00,40.00,92.00,100.00,70.00,58.30,100.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,33.00,100.00,,
NPL,Nepal,South Asia,2019,76.55,90.00,40.00,92.00,100.00,70.00,58.30,100.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,33.00,100.00,,
NPL,Nepal,South Asia,2020,81.05,90.00,40.00,92.00,100.00,100.00,58.30,100.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,33.00,100.00,,
NPL,Nepal,South Asia,2021,76.05,90.00,40.00,92.00,66.67,100.00,58.30,100.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,50.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,33.00,100.00,,
NIC,Nicaragua,Latin America and the Caribbean,2018,67.98,100.00,40.00,0.00,100.00,94.00,52.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
NIC,Nicaragua,Latin America and the Caribbean,2019,67.98,100.00,40.00,0.00,100.00,94.00,52.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
NIC,Nicaragua,Latin America and the Caribbean,2020,67.98,100.00,40.00,0.00,100.00,94.00,52.50,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
