 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 86.1 , 87.1 , 87.1 , 87.9 , 88.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 810 , 839 , 860 , 888 , 914 , 88.9 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 88.1 , 90.9 , 91.1 , 92.4 , 93.1 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 418 , 441 , 453 , 470 , 485 , 93.5 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 89.9 , 87.8 , 88.8 , 89.1 , 89.3 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 61 , 60 , 62 , 62 , 63 , 89.4 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020*,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 78.3 , 84.5 , 87.9 , 90.8 , 92.8 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 5,756 "," 6,280 "," 6,610 "," 6,900 "," 7,128 ", 93.1 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 94.0 , 96.2 , 96.5 , 96.6 , 97.7 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 1,188 "," 1,219 "," 1,226 "," 1,231 "," 1,249 ", 97.7 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 75.0 , 82.0 , 86.2 , 89.6 , 91.8 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 4,569 "," 5,061 "," 5,384 "," 5,669 "," 5,879 ", 92.2 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 53.3 , 61.9 , 67.5 , 71.6 , 74.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 501 , 596 , 666 , 723 , 769 , 76.2 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 49.8 , 58.1 , 64.7 , 68.8 , 72.2 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 236 , 282 , 322 , 350 , 376 , 74.9 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 61.5 , 63.4 , 72.7 , 80.0 , 85.5 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 42 , 44 , 50 , 56 , 60 , 85.7 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020*,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 43.4 , 64.1 , 75.1 , 79.9 , 83.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 3,191 "," 4,765 "," 5,648 "," 6,070 "," 6,405 ", 84.7 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 85.4 , 88.5 , 90.5 , 93.1 , 97.0 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 1,079 "," 1,121 "," 1,150 "," 1,186 "," 1,239 ", 97.0 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 34.7 , 59.1 , 72.0 , 77.2 , 80.6 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," 2,113 "," 3,644 "," 4,498 "," 4,884 "," 5,166 ", 82.2 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 15.4 , 19.5 , 23.5 , 33.0 , 37.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 145 , 188 , 232 , 333 , 387 , 40.5 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 12.3 , 18.8 , 24.8 , 32.1 , 38.8 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 58 , 91 , 123 , 164 , 202 , 43.4 ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 34.9 , 40.7 , 51.8 , 55.3 , 61.0 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 24 , 28 , 36 , 39 , 43 , 61.2 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International bandwidth per Internet user (kbit/s),,,,,,,,,,,,,,,,Tbit/s**,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020*,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 51.0 , 65.3 , 82.2 , 105.6 , 131.3 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 154 , 214 , 287 , 395 , 521 , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 81.6 , 91.0 , 100.0 , 133.0 , 183.2 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 79 , 94 , 104 , 144 , 203 , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 35.8 , 47.6 , 64.1 , 81.6 , 96.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 74 , 107 , 157 , 217 , 275 , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 6.0 , 7.3 , 10.7 , 18.6 , 20.9 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 1 , 1 , 2 , 3 , 4 , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 22.6 , 26.0 , 24.3 , 33.1 , 41.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 2 , 3 , 3 , 4 , 6 , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 4 , 5 , 6 , 9 , 13 , N/A ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,Millions,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020,,
 27.3 , 29.2 , 30.8 , 33.2 , 35.3 , 37.3 , 39.2 , 41.1 , 42.8 , 43.9 , 44.8 , 45.8 , 46.4 , 47.0 , 47.1 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
 55.3 , 58.6 , 62.3 , 65.9 , 68.9 , 71.1 , 72.9 , 75.4 , 77.3 , 77.3 , 77.8 , 78.9 , 79.2 , 79.2 , 79.0 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
