2015,2016,2017,Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type
,2,11,ISL,Iceland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
76.1,81,,ISR,Israel,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,20,31,ISR,Israel,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
63.5,74,,ITA,Italy,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,38,40,ITA,Italy,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
47.6,65,,JAM,Jamaica,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,66,53,JAM,Jamaica,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
41.3,50,,JOR,Jordan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,80,75,JOR,Jordan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
86.1,93.6,,JPN,Japan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,5,8,JPN,Japan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
36.5,66,,KAZ,Kazakhstan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,88,51,KAZ,Kazakhstan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
37.9,45,,KEN,Kenya,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,86,82,KEN,Kenya,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
23.8,29,,KGZ,Kyrgyz Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,109,117,KGZ,Kyrgyz Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
19.5,29,,KHM,Cambodia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,119,115,KHM,Cambodia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
84.3,,,KOR,"Korea, Rep.",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,7,,KOR,"Korea, Rep.",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
61.9,63,,KWT,Kuwait,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,40,57,KWT,Kuwait,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
20.3,,,LAO,Lao PDR,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,115,,LAO,Lao PDR,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
57.4,63,,LBN,Lebanon,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,48,56,LBN,Lebanon,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
15.1,18,,LBR,Liberia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,124,130,LBR,Liberia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
33.2,52,,LKA,Sri Lanka,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,92,73,LKA,Sri Lanka,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
14.5,22,,LSO,Lesotho,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,126,125,LSO,Lesotho,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
61.3,79,,LTU,Lithuania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,41,35,LTU,Lithuania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
89.7,96.5,,LUX,Luxembourg,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,1,1,LUX,Luxembourg,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
66.2,87,,LVA,Latvia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,34,24,LVA,Latvia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
41.5,43,,MAR,Morocco,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,79,85,MAR,Morocco,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
51.4,59,,MDA,Moldova,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,58,66,MDA,Moldova,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
11.7,29,,MDG,Madagascar,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,134,118,MDG,Madagascar,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
49.1,42,,MEX,Mexico,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,63,90,MEX,Mexico,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
60,,,MKD,"Macedonia, FYR",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,45,,MKD,"Macedonia, FYR",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
13.5,23,,MLI,Mali,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,131,124,MLI,Mali,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
66.3,85,,MLT,Malta,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,33,28,MLT,Malta,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
12,23,,MMR,Myanmar,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,133,123,MMR,Myanmar,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
41.5,57,,MNE,Montenegro,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,78,69,MNE,Montenegro,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
29.8,64,,MNG,Mongolia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,101,55,MNG,Mongolia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,21,,MRT,Mauritania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,126,MRT,Mauritania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
45.9,76,,MUS,Mauritius,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,70,39,MUS,Mauritius,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
14.2,17,,MWI,Malawi,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,129,131,MWI,Malawi,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
60.1,77,,MYS,Malaysia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,44,38,MYS,Malaysia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,42,,NAM,Namibia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
