Legal Enablers to ID,,Country Characteristics,Legal System Type,Foundational Civil Identification Law,Data Protection Laws & Privacy Bills,Freedom in the World (2018),Freedom on the Net (2017),Freedom in the Press (2017),data_country,data_year
#,Economic Environment (0-30 points),Country Code,Legal System Type,Key Act / Bill,Key Act / Bill,Status,Status ,Press Freedom Status,Economic Environment (0-30 points),Economic Environment (0-30 points)
56,7,EST,civil,"Identity Document Act, Arts. 9, 11(4),12(1) and 19",Data Protection Act,F,F,F,7,7
57,19,ETH,civil,"Proclamation No 760/2012, Ch. 3 ",Draft Ethiopian Data Protection Proclamation
,NF,NF,NF,19,19
58,12,FJI,common,-,None,PF,,PF,12,12
59,4,FIN,civil,"Law on ID Card, August 25, 2016, Art. 1",Personal Data Act,F,,F,4,4
60,7,FRA,civil,"Décret No.55-1397 du 22 Octobre 1955 Instituant la Carte Nationale d'Identité, Arts. 2 et 4",Law relating to the protection of individuals against the processing of personal data,F,F,F,7,7
61,22,GAB,civil,Décret No. 1101/PR/MISPID du 25 Septembre 2011,Law related to personal data,NF,,NF,22,22
62,23,GMB,common + customary + religious,-,"Information and communication Act, 2009
 ",PF,NF,NF,23,23
63,16,GEO,civil,"Issuing Identity Cards and Passports Law, Art. 11(1)",Law on Personal Data Protection,PF,F,PF,16,16
64,4,DEU,civil,"Act on Identity Cards and Electronic Identification, Secs. 1 and 5",Federal Data Protection Act,F,F,F,4,4
65,11,GHA,common,"National Identity Register Act, 2008, Arts. 28-30",Data Protection Act,F,,PF,11,11
66,13,GRC,civil,Law 3021/19/53/2005,Law on the Protection of individuals with regard to the processing of personal data,F,,PF,13,13
67,5,GRD,common,-,Privacy and Data Protection Bill,F,,F,5,5
68,17,GTM,civil,"Decreto Número 90-2005 Ley del Registro Nacional de las Personas, Arts. 50 y 56",None,PF,,PF,17,17
69,17,GIN,civil,"Décret D/95/254/PRG/SGG du 1er Septembre 1995, Arts. 1er-5",None,PF,,NF,17,17
70,18,GNB,civil,-,None,PF,,PF,18,18
71,11,GUY,civil + common,-,None,F,,PF,11,11
72,18,HTI,civil,"Décret Relatif à la Carte d'Identification Nationale, Arts. 5 y 8",None,PF,,PF,18,18
73,15,HND,civil,"Ley del Registro Nacional de de las Personas, Art. 88",Anteproyecto de Ley de Protección de Datos Personales y Acción de Hábeas Data de Honduras (in Spanish)
,PF,,NF,15,15
74,9,HKG,common,"Registration of Persons Ordinance, Ch. 177, Sec. 3",Personal Data (Privacy) Ordinance,PF,,PF,9,9
75,15,HUN,civil,"Government Decree 414/2015, Issuance of an ID Card, Arts. 15-22",Act on Informational Self-Determination and Freedom of Information,F,F,PF,15,15
76,6,ISL,civil,-,Law on the Protection and Processing of Personal Data,F,F,F,6,6
77,10,IND,common,-,"Rules under s43A (2008 Amendt), Information Technology Act 2000",F,PF,PF,10,10
78,15,IDN,civil,"Administration of Population Law, Art. 2",Law of the Republic of Indonesia Number 11 of 2008 Concerning Electronic Information and Transactions ,PF,PF,PF,15,15
79,24,IRN,religious,"Executive Bylaw on the Law of Allotting Identification Numbers and Postal Codes to all Iranian Nationals, Art. 2",Electronic Commerce Law of the Islamic Republic of Iran ,NF,NF,NF,24,24
80,16,IRQ,civil + religious,"Civil Status Law No. 32 of 1974, Arts. 44(1) and 45",Draft Data Protection and Privacy Law,NF,,NF,16,16
81,6,IRL,common,-,Data Protection Act,F,,F,6,6
82,11,ISR,common,-,Privacy Protection Act 1981,F,,PF,11,11
83,9,ITA,civil,"Legal Decree No. 70 of 13 May 2011, Art. 10",Consolidation Act regarding the Protection of Personal Data,F,F,PF,9,9
84,7,JAM,common,-,Data Protection Bill,F,,F,7,7
85,6,JPN,civil,-,Act on the Protection of Personal Information,F,F,F,6,6
86,20,JOR,civil + religious,"Civil Status Law No. 9 of 2001, Art. 38",None,PF,PF,NF,20,20
87,23,KAZ,civil,-,Law No.94-V ZRK of 21 May 2013 on the Protection of Personal Data.,NF,NF,NF,23,23
88,17,KEN,common + customary + religious,"Registration of Persons Act, Art. 5",Data Protection Bill,PF,F,PF,17,17
89,14,KIR,common,-,None,F,,F,14,14
90,29,PRK,civil,-,None,NF,,NF,29,29
91,9,KOR,civil,"Enforcement Decree of the Resident Registration Act, Art. 36", Korea's Personal Information Protection Act was promulgated in 2011,F,PF,PF,9,9
92,16,XKX,-,"Law on Identity Cards, Law no 03/L-099, Art. 8",Law on the Protection of Personal Data,PF,,PF,16,16
93,16,KWT,common + civil + religious,-,Law No. 20 of 2014 Concerning Electronic Transactions,PF,,PF,16,16
94,20,KGZ,civil,"Regulations to the identity of the citizen of the Kyrgyz Republic, Part II  Art. 13",Law on Personal Data,PF,PF,NF,20,20
95,25,LAO,civil,"Family Registration Law, as amended, 2009, Art. 16",None,NF,,NF,25,25
96,11,LVA,civil,"Identity Document Rules, Regulations No. 134 of 2002, Art. 2",Law on Protection of Personal Data of Natural Persons,F,,F,11,11
97,15,LBN,civil,-,None,PF,PF,PF,15,15
98,16,LSO,civil + common,"National Identity Cards Act 2011, Arts. 12 and 14","Data Protection Act, 2013. ",PF,,PF,16,16
99,21,LBR,common + customary,-,None,PF,,PF,21,21
100,20,LBY,civil + religious,-,None,NF,PF,NF,20,20
101,8,LIE,civil,-,Gesetz über die Abänderung des Datenschutzgesetzes (2002),F,,F,8,8
102,9,LTU,civil,"Identity Card and Passport Issue, March 19, 2015, Arts. 3, 12 and 13",Law on Legal Protection of Personal Data,F,,F,9,9
103,6,LUX,civil,"Loi du 9 Juin 2013 Relative à l'Identification des Personnes Physiques, Art. 1",Data Protection Law,F,,F,6,6
104,N/A,MAC,civil,-,Personal Data Protection Act,N/A,,N/A,N/A,N/A
105,20,MKD,civil,"Law on ID Card, Art. 2",Law on Personal Data Protection,PF,,NF,20,20
106,16,MDG,civil,-,Data Protection Bill,PF,,PF,16,16
107,15,MWI,common + customary,-,None,PF,PF,PF,15,15
108,18,MYS,common + customary + religious,-,Personal Data Protection Act,PF,PF,NF,18,18
109,16,MDV,religious,"Regulation on Issuance of National Identity Card, 2008",None,PF,,NF,16,16
110,10,MLI,civil,Décret No. 014/PG‐RM du 09/01/88 portant Institution et Règlementation de la Délivrance de la Carte D’Identité et de la Carte Consulaire,Data Protection Bill,PF,,PF,10,10
111,9,MLT,civil + common,Identity Card and Other Documents Act,Data Protection Act,F,,F,9,9
112,9,MHL,common,-,None,F,,F,9,9
113,16,MRT,civil + religious,"Décret No. 2012-030, Arts. 3 et 9",None,NF,,PF,16,16
114,13,MUS,civil,"National Identity Card Act, Art. 4 and 5",Data Protection Act,F,,F,13,13
115,14,MEX,civil,-,Federal Law on the Protection of Personal Data Held by Private Parties,PF,PF,NF,14,14
116,11,FSM,common + customary,-,None,F,,F,11,11
117,18,MDA,civil,"Law No. 273 of 09.11.1994, Art. 4(1-3)",Law on Personal Data Protection,PF,,PF,18,18
118,7,MCO,civil,-,Act controlling personal data processing,F,,F,7,7
119,12,MNG,civil,"Citizen's Registration Law, December 14, 1999, Arts. 22.4 and 28",None,F,,PF,12,12
120,12,MNE,civil,"Identification Card Act, December 14, 2007, Art. 2",Law on Personal Data Protection,PF,,PF,12,12
121,18,MAR,civil + religious,"Loi No. 35-06 Instituant la Carte d'Indentité Nationale Electronique, Art. 3",Loi relative à la protection des personnes physiques à l'égard du traitement des données à caractère personnel,PF,PF,NF,18,18
122,15,MOZ,civil,"Decree No. 11/2008 of 29 April, Arts. 1 and 3",None,PF,,PF,15,15
123,21,MMR,common,-,None,PF,NF,NF,21,21
124,10,NAM,civil + common,"Identification Act 1996, Art. 5(3)",?,F,,PF,10,10
125,16,NRU,common,-,None,F,,PF,16,16
126,15,NPL,common,-,Right to Information Act,PF,,PF,15,15
127,4,NLD,civil,ID Card Application Procedures,Personal Data Protection Act,F,,F,4,4
128,7,NZL,common,-,Privacy Act 1993,F,,F,7,7
129,17,NIC,civil,"Ley No.152 de Identificación Ciudadana, Arts. 3 y 17",Law on Protection of Personal Data,PF,,PF,17,17
130,17,NER,civil + customary + religious,"Décret No. 64-193/MI du 9 Octobre 1964 Instituant une Carte d'Identité Obligatoire, Arts. 1 and 3",Law to establish a DPA (to complement ECOWAS treaty on data protection),PF,,PF,17,17
131,15,NGA,common + religious,"National Identity Management Commission Act, Art. 16",Data Protection Bill,PF,PF,PF,15,15
132,3,NOR,civil,-,Personal Data Act,F,,F,3,3
133,19,OMN,religious,"Royal Decree 66/99 Promulgating the Law on Civil Status, Art. 42 ", Royal Decree no. 69 of 2008 -  Electronic Transactions Law,NF,,NF,19,19
134,16,PAK,common,"The National Database and Registration Authority Ordinance, 2000",-,PF,NF,NF,16,16
135,8,PLW,common,-,-,F,,F,8,8
136,22,PSE,-,"Civil Status Law No. 2 of 1999, Art. 43 ",-,NF,,NF,22,22
137,9,PAN,civil,"Ley No. 83 de 1941 sobre Cédula de Identidad Personal, Arts. 2 y 6",-,F,,PF,9,9
138,9,PNG,common + customary,0,None,PF,,F,9,9
139,19,PRY,civil,-,Law 1682 on Information of a Private Nature,PF,,PF,19,19
140,12,PER,civil,"Ley No. 26497 Orgánica del Registro Nacional de Identificación y Estado Civil, Art. 31",Law on Protection of Personal Data,F,,PF,12,12
141,10,PHL,civil + common,-,Data Privacy Act,PF,F,PF,10,10
142,9,POL,civil,"Law on Registration of Population and Identity Cards, Art. 34",Act on the Protection of Personal Data,F,,PF,9,9
143,6,PRT,civil,"Law No. 7/2007 of February 5, Art. 3",Lei da proteçao de dados pessoais,F,,F,6,6
144,22,QAT,civil + religious,"Law No. 37 of 2005 Amending Certain Provisions of Decree-Law No. 5 of 1965 on Identity Cards, Art. 2",Personal Information Privacy Protection Law,NF,,NF,22,22
145,13,ROU,civil,"Government Emergency Ordinance no. 82/2012, Art. 18",Law on the protection of individuals with regard to the processing of personal data,F,,PF,13,13
146,24,RUS,civil,"Decree No. 828 of July 8, 1997 On the Passport of the Citizen of the Russian Federation, Art. 4",Federal Law Regarding Personal Data,NF,NF,NF,24,24
147,22,RWA,civil + customary,"Law N˚ 14/2008 of 04/6/2008 governing registration of the population and issuance of the national identity card, Art. 11",-,NF,PF,NF,22,22
148,9,WSM,common + customary,-,None,F,,F,9,9
149,7,SMR,civil,"Delegated Decree No. 105 of 16 August 2016, Art. 2","Act on Collection, Elaboration and Use of Computerised Personal Data",F,,F,7,7
150,13,STP,civil,0,None,F,,F,13,13
151,25,SAU,religious,"Civil Status System, as amended by Council of Ministers Resolution No. 151 dated 13/5/1434H, Art. 67",-,NF,NF,NF,25,25
152,14,SEN,civil,"Décret No. 2016-1536 Portant Application de la Loi No. 2016-09 Instituant une Carte d’Identité Biométrique CEDEAO, Art. 1",Loi sur la Protection des données à Caractère Personnel,F,,PF,14,14
153,13,SRB,civil,"Law on ID Cards, Art. 7",Law on Personal Data Protection,F,,PF,13,13
154,17,SYC,civil + common,"National Identity Cards Act, Arts. 4 and 5",Data Protection Act,PF,,PF,17,17
155,16,SLE,common + customary,"The National Registration Act, 2016, Art. 27",Personal Data Protection within ECOWAS,PF,,PF,16,16
156,21,SGP,common,"National Registration Act, Sec. 5",Personal Data Protection Act,PF,PF,NF,21,21
157,9,SVK,civil,"The Law on Identity Cards Act 224/2006, Art. 2(2)",Act on the Protection of Personal Data,F,,F,9,9
158,9,SVN,civil,"Law on Personal Identity Card, Art. 2",Personal Data Protection Act,F,,F,9,9
159,11,SLB,common + customary,-,None,F,,F,11,11
160,20,SOM,civil + customary + religious,-,-,NF,,NF,20,20
161,10,ZAF,civil + common,"Identification Act, Arts. 3 and 15",Protection of Personal Information Act,F,F,PF,10,10
162,18,SSD,-,-,-,NF,,NF,18,18
163,8,ESP,civil,"Real Decreto 1553/2005, de 23 de Diciembre, Arts. 2, 5 and 11",Ley Orgánica de Protección de Datos de Carácter Personal,F,,F,8,8
164,19,LKA,civil + common,"Registration of Persons Act, No. 32 of 1968 as amended, Arts. 2, 14",-,PF,PF,NF,19,19
165,7,KNA,common,-,Privacy and Personal Data Protection Bil,F,,F,7,7
166,4,LCA,civil + common,-,Freedom of Information Act,F,,F,4,4
167,7,VCT,common,-,Privacy Act,F,,F,7,7
168,24,SDN,common + religious,"Civil Registration Act, Art. 27","The Electronic Transactions Act, 2007",NF,NF,NF,24,24
169,7,SUR,civil,"Identity Act, July 3, 1974, Art. 2","Cybercrime, Data Protection, Information, and Internet",F,,F,7,7
