Registered Population Above Cut-Off Age,,Country Characteristics,NID age,Data Source Category,Registered Population,By Gender,By Rural/Urban,By Age Group,data_country,data_year
id,,Region,Mandatory NID Age,Type,RPB (Registered Population Above Cut-off Age),RPB Male,RPB Rural,RPB 0-30,,
186,,SSF,18,Voter,"15,277,198",n/a,n/a,n/a,,
187,,ECS,14,Voter,"34,670,814",n/a,n/a,n/a,,
188,,MEA,15,Voter,"224,279",n/a,n/a,n/a,,
189,,ECS,-,Voter,"46,824,978",n/a,n/a,"32,309,235",,
190,,NAC,-,Voter,"214,109,367",n/a,n/a,n/a,,
191,,LCN,0,Voter,"2,620,791",n/a,n/a,n/a,,
192,,ECS,16,Voter,"20,461,805",n/a,n/a,n/a,,
193,,EAS,-,Voter,"197,400",n/a,n/a,n/a,,
194,,LCN,10,Voter,"19,504,106",n/a,n/a,n/a,,
195,,EAS,14,Voter,"67,485,480",n/a,n/a,n/a,,
196,,MEA,16,Voter,"10,243,364",n/a,n/a,n/a,,
197,,SSF,18,Voter,"6,698,372",n/a,n/a,n/a,,
198,,SSF,16,Voter,"6,400,000",n/a,n/a,n/a,,
