Ascension,,Cable & Wireless plc. (C&W).,34.94,Data refer to 31st December.,38.17,Cable & Wireless,33.00,Cable & Wireless South Atlantic Ltd,35.00,36.00,ITU estimate.,41.03,data_country,data_year
Slovenia,,"Telecommunications, Broadcasting and Post Agency.",15.11,,30.18,Eurostat.,64.00,Eurostat.,70.00,67.34,Eurostat.,68.35,,
Solomon Islands,,,0.48,,0.47,ITU estimate.,4.00,ITU estimate.,5.00,6.00,ITU estimate.,7.00,,
Somalia,,ITU estimate.,0.02,,0.08,ITU estimate.,1.16,ITU estimate.,,1.25,ITU estimate.,1.38,,
South Africa,,"Media Africa, Internet Solutions, W2003-2004.",5.35,,6.35,ITU estimate based on SAARF.,10.00,Statistics South Africa,24.00,33.97,ITU estimate.,41.00,,
South Sudan,,,,,,,,,,,,,,
Spain,,red.es. Spanish Internet Users Association.,13.62,November. Population age 14+.,18.15,Comisión del Mercado de las Telecomunicaciones,62.40,Comisión del Mercado de las Telecomunicaciones,65.80,67.09,Eurostat.,69.81,,
Sri Lanka,,Telecommunications Regulatory Commission of Sri Lanka.,0.65,,0.79,Telecommunications Regulatory Commission of Sri Lanka,8.78,ITU estimate. ,12.00,15.00,ITU estimate.,18.29,,
St. Helena,,Cable & Wireless plc. (C&W).,5.92,Dec.,7.99,Cable & Wireless South Atlantic Ltd,19.07,Cable & Wireless South Atlantic Ltd.,24.94,33.00,ITU estimate.,37.60,,
Sudan,,,0.03,,0.14,,,Central Bureau of Statistics,16.70,17.46,Central Bureau of Statistics,21.00,,
Suriname,,Telecommunicatiebedrijf Suriname (TELESUR).,2.51,,3.06,Telecommunications Authority Suriname (TAS),31.36,ITU estimate.,31.59,32.00,ITU estimate.,34.68,,
Sweden,94.54,Swedish Institute for Transport and Communications Analysis.,45.69,,51.77,Swedish Post and Telecom Agency,91.00,Eurostat.,90.00,92.77,Eurostat.,93.18,94.54,94.54
Switzerland,,Office fédéral de la statistique.,47.10,In the last 6 months. Population age 14+.,55.10,Office fédéral de la statistique.,81.30,Swiss Federal Statistical Office,83.90,85.19,Swiss Federal Statistical Office,85.20,,
Syrian Arab Republic,,,0.18,,0.35,Syrian Telecommunication Establishment,17.30,Syrian Telecommunication Establishment,20.70,22.50,ITU estimate.,24.30,,
"Taiwan, Province of China",,Directorate General of Telecommunications (DGT).,28.10,,34.90,National Communications Commission,69.90,National Communications Commission,71.50,72.00,ITU estimate.,75.99,,
Tajikistan,,Ministry of Communications.,0.05,,0.05,Communication Service under the Government of the Republic of Tajikistan,10.07,ITU estimate.,11.55,13.03,ITU estimate.,14.51,,
Tanzania,,Tanzania Telecommunications Company Ltd (TTCL).,0.12,,0.17,ITU estimate.,2.40,ITU estimate based on RIA.,2.90,3.20,ITU estimate.,3.95,,
Thailand,,NECTEC.,3.69,,5.56,Ministry of Information and Communication Technology,20.10,National Statistical Office,22.40,23.67,National Statistical Office,26.46,,
Timor-Leste,,,,,,ITU estimate.,2.00,ITU estimate.,3.00,4.00,ITU estimate.,7.00,,
Togo,,ITU estimate. ,0.80,,0.90,ITU estimate.,2.60,ITU estimate. ,3.00,3.50,ITU estimate.,4.00,,
Tokelau,,,,,,,,,,,,,,
Tonga,,,2.43,,2.83,ITU estimate.,10.00,Ministry of Information and Communication,16.00,25.00,ITU estimate.,30.00,,
Trinidad and Tobago,,ITU estimate.,7.72,,15.38,Telecommunications Authority of Trinidad and Tobago,44.30,Telecommunications Authority of Trinidad and Tobago (TATT),48.50,55.20,ITU estimate.,59.52,,
Tunisia,,,2.75,,4.30,Ministère des Technologies de la Communication,34.07,Ministère des Technologies de l'Information et de la Communication,36.80,39.10,ITU estimate.,41.44,,
Turkey,77.67,Türk Telekomünikasyon A.S.,3.76,Population age 16-74.,5.19,Turkish Statistical Institution.,36.40,Turkish Statistical Institute,39.82,43.07,Turkish Statistical Institute,45.13,77.67,77.67
Turkmenistan,,Ministry of Communications.,0.13,,0.18,ITU estimate.,1.95,ITU estimate.,3.00,5.00,ITU estimate.,7.20,,
Tuvalu,,,5.24,,,ITU estimate. ,20.00,ITU estimate. ,25.00,30.00,ITU estimate.,35.00,,
Uganda,,,0.16,,0.24,Uganda Communications Commission,9.78,ITU estimate.,12.50,13.01,ITU estimate.,14.10,,
Ukraine,,RCC.,0.72,,1.24,State Service of Special Communications and Information Protection of Ukraine,17.90,State Statistics Service of Ukraine,23.30,28.71,State Statistics Service of Ukraine,35.27,,
United Arab Emirates,,Emirates Telecommunications Corporation (ETISALAT).,23.63,,26.27,ITU estimate. ,64.00,ITU estimate based on TRA. ,68.00,78.00,Telecommunications Regulatory Authority ,85.00,,
United Kingdom,94.82,ONS.,26.82,Population age 16+ using the Internet in the last 3 months.,33.48,Eurostat.,83.56,Eurostat.,85.00,85.38,Eurostat,87.48,94.82,94.82
United States,,ITU estimate.,43.08,,49.08,Federal Communications Commission,71.00,United States Census Bureau,71.69,69.73,US Census Bureau,74.70,,
Uruguay,,Administración Nacional de Telecomunicaciones (ANTEL).,10.54,,11.12,Instituto Nacional de Estadística (INE).,41.80,Instituto Nacional de Estadistica.,46.40,51.40,Instituto Nacional de Estadistica.,54.45,,
Uzbekistan,,Communication and Information Agency of Uzbekistan.,0.48,,0.60,Communication and Information Agency of Uzbekistan.,11.90,Communication and Information Agency of Uzbekistan.,15.90,18.60,ITU estimate.,23.60,,
Vanuatu,,,2.11,,2.83,ITU estimate. ,7.50,ITU estimate. ,8.00,9.20,ITU estimate.,10.60,,
Venezuela,,Comisión Nacional de Telecomunicaciones (CONATEL).,3.36,,4.64,Comisión Nacional de Telecomunicaciones CONATEL,32.70,Comisión Nacional de Telecomunicaciones,37.37,40.22,Instituto Nacional de Estadística,49.05,,
Viet Nam,,Vietnam Post & Telecommunications Corp. (VNPT).,0.25,,1.27,VNNIC,26.55,Ministry of Information and Communications,30.65,35.07,ITU estimate.,36.80,,
Virgin Islands (US),,Virgin Islands Telephone Corporation (Vitelco).,13.82,,18.38,ITU estimate.,27.40,ITU estimate.,31.22,35.60,ITU estimate.,40.55,,
Wallis and Futuna,,,4.77,,5.09,Service des Postes et Telecommunications,6.76,Service des Postes et Telecommunications,8.16,8.68,ITU estimate.,8.95,,
Yemen,,Ministry of Communications.,0.08,,0.09,Ministry of Telecommunications and Information Technology,9.96,ITU estimate.,12.35,14.91,ITU estimate.,17.45,,
Zambia,,Zambia Telecommunications Company Limited (Zamtel).,0.19,,0.23,ITU estimate.,6.31,ZICTA.,10.00,11.50,ITU estimate.,13.47,,
Zimbabwe,,"PTC, ZISPA, ITU estimate.",0.40,,0.80,ITU estimate.,4.00,ITU estimate.,6.40,8.40,ITU estimate.,12.00,,
