Ascension,,Cable & Wireless plc. (C&W).,34.94,Data refer to 31st December.,38.17,Cable & Wireless,33.00,Cable & Wireless South Atlantic Ltd,35.00,36.00,ITU estimate.,41.03,data_country,data_year
India,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,0.53,,0.66,"Department of Telecommunications, Ministry of Communications & IT",5.12,DoT / TRAI.,7.50,10.07,ITU estimate.,12.58,,
Indonesia,,Indonesian Internet Service Provider Association.,0.93,,2.02,Ministry of Communication and Information Technology,6.92,Badan Pusat Statistik.,10.92,12.28,BPS-Statistics Indonesia,14.52,,
Iran (Islamic Republic of),,Ministry of Information and Communications Technology.,0.93,,1.48,ITU estimate.,13.80,ITU estimate.,15.90,19.00,Statistical Centre of Iran (SCI),22.73,,
Iraq,,ITU estimate.,,,0.10,Ministry of Communications,1.06,ITU estimate.,2.50,5.00,ITU estimate.,7.10,,
Ireland,,Amarach.,17.85,Population age 15+.,23.14,Eurostat.,67.38,Eurostat.,69.85,74.89,Eurostat.,76.92,,
Israel,,,20.87,,17.38,Central Bureau of Statistics.,63.12,Central Bureau of Statistics,67.50,68.87,Central Bureau of Statistics,70.80,,
Italy,,IDC.,23.11,,27.22,Eurostat.,48.83,Eurostat.,53.68,54.39,Eurostat.,55.83,,
Jamaica,,Cable & Wireless.,3.12,,3.86,Office of Utilities Regulation,24.30,Statistical Institute of Jamaica,27.67,37.44,Statistical Institute of Jamaica,33.79,,
Japan,,Ministry of Internal Affairs and Communications (MIC).,29.99,PC-based only.,38.53,Ministry of Internal Affairs and Communications.,78.00,Ministry of Internal Affairs and Communications,78.21,79.05,Ministry of Internal Affairs and Communications,79.50,,
Jersey,,,9.22,,16.06,,,ITU estimate.,,36.00,ITU estimate.,41.03,,
Jordan,,,2.62,,4.71,Department of Statistics.,26.00,Department of Statistics of Jordan,27.20,34.90,Department of Statistics of Jordan,37.00,,
Kazakhstan,,,0.67,,1.01,Ministry of the Republic of Kazakhstan for Communications and Information,18.20,The Agency of the Republic of Kazakhstan on Statistics,31.60,50.60,Agency of the Republic of Kazakhstan on Statistics.,61.91,,
Kenya,,,0.32,,0.62,Kenya National Bureau of Statistics,6.10,ITU estimate.,7.20,8.80,ITU estimate.,10.50,,
Kiribati,,ITU estimate.,1.79,,2.34,Telecommunications Authority of Kiribati,8.97,Telecommunications Authority of Kiribati,9.07,10.00,ITU estimate.,10.75,,
Korea (Rep. of),,KRNIC.,44.70,In the last month. Population age 3+.,56.60,KCC and KISA.,81.60,Korea Communications Commission (KCC),83.70,83.76,"Ministry of Science, ICT & Future Planning(MSIP)",84.07,,
Kosovo,,,,,,,,,,,,,,
Kuwait,,,6.73,,8.55,ITU estimate.,50.80,Central Statistical Bureau,61.40,65.77,ITU estimate.,70.45,,
Kyrgyzstan,,,1.04,,3.00,ITU estimate.,16.00,ITU estimate.,16.30,17.50,ITU estimate.,19.80,,
