1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058850002,,,,,,,,,,0.160260007,0.168479994,0.182349995,0.180500001,0.261949986,0.233549997,0.1963,0.190830007,0.195069999,,,0.228560001,0.26236999,0.226930007,,Bermuda,BMU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32543999,0.31577,0.294950008,0.29835999,0.287440002,0.293579996,0.276630014,,,,,,,0.157000005,,,,,,,,,,,,,Bolivia,BOL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047510028,1.061980009,1.009680033,0.999390006,0.963429987,1.002460003,0.988070011,1.08138001,1.129040003,1.118659973,1.159919977,1.139660001,1.126839995,1.195670009,1.269709945,1.370929956,1.286370039,1.117499948,1.167690039,1.208029985,,,Brazil,BRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbados,BRB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01592,0.01842,0.037009999,,,,,,,,,,,,,,0.277630001,,,,Brunei Darussalam,BRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhutan,BTN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532859981,,,,,,,0.2588,0.537280023,,,,,,,,,Botswana,BWA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central African Republic,CAF,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.612089992,1.613860011,1.710510015,1.749850035,1.858479977,2.021169901,1.971709967,1.967810035,1.997339964,1.971269965,1.943040013,1.90357995,1.855780005,1.91742003,1.825279951,1.787140012,1.772320032,1.70539999,1.714169979,1.693240047,1.728729963,1.685799956,1.679170012,1.591629982,1.697810054,,Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723923844,0.749715682,0.732314452,0.736692449,0.74511333,0.749761487,0.738816786,0.7306647,0.734132418,0.735255373,0.751648651,0.755719678,0.781459319,0.825375649,0.871985262,0.957251027,1.05678036,1.061194284,1.088496263,1.140787674,1.021843065,1.082735132,1.194201822,1.246288937,1.313856248,,Central Europe and the Baltics,CEB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.373919964,,,,2.25880003,,,,2.597769976,,,,2.63883996,,,,2.850939989,,,3.043109894,,3.034130096,,3.146859884,,,Switzerland,CHE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel Islands,CHI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309570014,0.374969989,0.352019995,0.329470009,0.351440012,0.362199992,0.388700008,0.375030011,0.380730003,0.369340003,0.355930001,0.366470009,0.340950012,,,Chile,CHL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563239992,0.63872999,0.646889985,0.749629974,0.893159986,0.940330029,1.057860017,1.12037003,1.214980006,1.307919979,1.368540049,1.373690009,1.445919991,1.664800048,1.713719964,1.780339956,1.912140012,1.997859955,2.022429943,2.057009935,2.100330114,2.116029978,2.140579939,2.244630098,2.400929928,,China,CHN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0704,,,,,,Cote d'Ivoire,CIV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameroon,CMR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267769992,0.05799,0.06044,0.136089996,0.082529999,0.078220002,,,,,,0.406379998,,,,,,,"Congo, Dem. Rep.",COD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Congo, Rep.",COG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299230009,0.273660004,,,0.131060004,0.1329,0.155589998,0.173979998,0.169640005,0.165570006,0.164269999,0.183070004,0.195409998,0.193509996,0.193580002,0.198420003,0.221159995,0.257609993,0.303169996,0.365420014,0.270509988,0.26109001,0.312330008,0.321689993,0.288120002,,Colombia,COL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
