198,DG Systems & Services,,Country Data,Digital Government,UN e-Gov Dev Index,DG Institution,DG Strategy,Whole of Government,GovTech,GovTech Products and Services,"Finance Ministry web site, Public Finance data, and FMIS links",Financial Management Information System,Treasury Single Account,Tax Administration,Customs Administration,e-Filing,e-Payment,Digital Signature,Public Employment,HRMIS,Payroll System,e-Procurement,Public Debt,Public Investment Management Systems,Aid Mgmt Systems,Other Categories,Data Governance Maturity,"Data Governance Institution, Policy & Regulations","Government Cloud, Enterprise Architecture and Interoperability Platform", National CERT or CSIRT,National website for citizen participation,National website for citizen feedback / GRM,Government responsiveness,Legal System Type,Data Protection & Privacy Laws,Data Protection Agency,Right to Information Law,WDR Survey Results,WJP Rule of Law Index,Freedom in the World (2020),Freedom on the Net (2019),Is there an Open Government initiative?,Is there an Open Data portal?,Disruptive Technologies,PS Digital Skills & Innovation Strategy,Digital Skills & Innovation,PS Digital Skills & Innovation Institution,Open Source Policies adopted by the governments,ID4D,Government Effectiveness,Control of Corruption,CPI,GTMI > Expert opinion for weights,Core Gov Systems,Public Services,Citizen Engage,GovTech Enablers,I-1,I-2,I-3,I-4,I-5,I-6,I-7,I-8,I-9,I-10,I-11,I-12,I-13,I-14,I-15,I-16,I-17,I-18,I-19,I-20,I-21,I-22,I-23,I-24,I-25,I-26,I-27,I-28,I-29,I-30,I-31,I-32,I-33,I-34,I-35,I-36,I-37,I-38,I-39,I-40,I-41,I-42,I-43,I-44,I-45,I-46,I-47,I-48,GovTech Index,Comparison with UN,No weight,Comparison with weights,Standardized,Comparison with Indicators,No Weights,Comparison of weights,OECD DG 2019,GTMI > Correlation of indicators (without standardization),GTI > Factor analysis (without standardization),GTMI Raw Scores > ,GTMI Standardized Z-Scores> ,GTC > Correlation analysis with Standardized Scores,GTF > Factor analysis with Standardized Scores,data_country,data_year
Group,#,GTI-4,Level,e-Government,eGov'20,DG Org URL,DG St,WoG,GT,e-Gov,MoF URL,FMIS / TS,Treasury website,Tax Adm URL,Customs URL,e-Filing URL,ePayment,Digital Sign URL,Public Emp,HRMIS Abbr,Payroll Abbr,eProc System,Debt Org / URL,PIM Unit URL,AMP,Region,Grp,Inst,GCL,Cyber,Part,GRM,Perf,Legal System Type,DPL,DPA,RTI,Cl Pol,RoL Score,Status,Status,OGI,ODP,DT,DSI,DSI,PSI,OSS,Nat ID,GE,CoC,CPI,Code,CGSI,PSDI,CEI,GTEI,GCL,GEA,GSB,FMIS,TSA,Tax,Cust,HRM,Payr,e-GP,Debt,PIMS,OSS,eTII,DT,eOSI,eSrv,TaxS,eFil Srv,ePay Srv,CusS,ePart'20,OGI,ODP,Part,Petit,Publ,Anym,Resp,GRM,Serv,Acce,Perf,GT,DaG,DGSt,WoG,RTI,DPL,DPA,NatID,e-ID,dSign,Cyber,eHCI,DSSt,DSI,PSI,GT0,Code,GT0,GTE,GTCs,GovTech,eGDI,GTE,Score,Code,Code,Code,Code,Code,Code,GTI-4,GTI-4
C,109,-0.25,UMIC,http://www.presidencymaldives.gov.mv,105,https://www.gov.mv/en/organisations,3,0,0,-,http://www.finance.gov.mv,PAS,http://www.finance.gov.mv/,http://www.mira.gov.mv,http://www.customs.gov.mv,https://www.mira.gov.mv/TPOS/TPOS_Default.aspx,-,-,"26,800",HRMS,PAS,MoF Website,Ministry of Finance and Economic Development,http://www.finance.gov.mv,,SAR,D,0,0,0,0,0,0,religious,0,0,2,-,-,2,-,0,0,0,0,0,0,0,1,0.46,0.45,29,MDV,0.62,0.53,0.03,0.28,-0.03,-0.08,-0.07,0.02,0.09,-0.10,0.02,0.09,0.09,-0.01,0.03,0.03,-0.05,0.02,-0.03,-0.03,-0.02,0.01,0.00,-0.10,-0.01,-0.03,-0.10,-0.03,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,0.07,-0.04,-0.03,0.10,0.12,-0.09,-0.06,0.00,-0.12,-0.12,-0.10,0.37,MDV,C,C,0.356,-,0.574,0.319,-,MDV,MDV,MDV,MDV,MDV,MDV,-0.25,-0.25
C,110,-0.52,LIC,http://www.primature.gov.ml,171,-,0,0,0,-,http://www.finances.gouv.ml,AICE,http://tresor.gouv.ml/,http://www.dgi.gouv.ml,http://douanes.gouv.ml,-,-,-,"110,000",HRMIS,PMS,Portail Malien,"Ministry of Economy and Finance, General Directorate of Public Debt",https://dnpd.gouv.ml/,,AFR,D,0,0,0,0,0,0,civil,2,2,0,0,0.44,2,-,0,1,0,0,0,0,0,1,0.29,0.36,29,MLI,0.59,0.38,0.10,0.23,-0.03,-0.08,-0.07,0.02,-0.15,0.07,0.02,0.09,0.09,0.03,0.03,0.03,-0.05,-0.06,-0.03,-0.05,-0.08,0.01,-0.02,-0.10,-0.01,-0.06,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,-0.15,0.02,0.03,0.10,0.12,-0.09,-0.06,-0.19,-0.12,-0.12,-0.10,0.33,MLI,C,C,0.299,-,0.310,0.258,-,MLI,MLI,MLI,MLI,MLI,MLI,-0.52,-0.52
A,111,0.76,HIC,http://www.gov.mt,22,https://digitalmalta.org.mt/en/Pages/About/What-is-Digital-Malta.aspx,3,1,1,1,http://www.mfin.gov.mt,DAS + FDRS,http://treasury.gov.mt/,http://www.ird.gov.mt,http://www.maltacustoms.gov.mt,http://www.ird.gov.mt/default.aspx,https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2002/03/12/PR318.aspx,https://www.mygov.mt/PORTAL/(y31h1bnfvuql3z55bja44h3w)/webforms/howdoigetaccesstomygov.aspx#Register,"44,000",Dakar-HR,Dakar-HR,EPPS,The Treasury Department,http://www.mfin.gov.mt,,MNA,A,2,2,2,1,1,1,civil + common,2,2,2,-,-,3,-,1,2,2,2,1,2,2,1,0.67,0.55,54,MLT,0.85,0.70,0.76,0.96,0.05,0.20,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.07,0.12,0.05,0.06,-0.02,0.01,0.00,0.14,-0.01,0.06,0.12,0.01,0.11,-0.04,0.16,-0.04,0.18,0.10,0.13,-0.03,0.12,0.03,0.16,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.06,0.13,0.10,0.11,0.82,MLT,A,A,0.826,Yes,0.855,0.832,-,MLT,MLT,MLT,MLT,MLT,MLT,0.76,0.76
D,112,-1.63,UMIC,https://rmiparliament.org/cms/,156,-,0,0,0,-,http://rmi-mof.com/,FMIS,http://www.rmigovernment.org/cabinet.jsp,-,-,-,-,-,"6,540",-,-,-,-,http://rmi-mof.com/,,EAP,D,0,0,0,0,0,0,common,0,0,0,-,-,3,-,0,1,0,0,0,0,0,0,0.21,0.49,-,MHL,0.12,0.02,0.11,0.03,-0.03,-0.08,-0.07,0.02,-0.15,-0.46,-0.27,-0.29,-0.37,-0.09,-0.34,-0.01,-0.05,-0.14,-0.03,-0.06,-0.08,-0.43,-0.05,-0.10,-0.20,-0.03,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,-0.15,-0.04,-0.03,-0.91,-0.54,-0.09,-0.06,0.03,-0.12,-0.12,-0.10,0.07,MHL,D,D,0.092,-,0.406,0.107,-,MHL,MHL,MHL,MHL,MHL,MHL,-1.63,-1.63
C,113,-0.52,LMIC,http://www.primature.gov.mr/,176,-,0,0,0,-,http://www.finances.gov.mr,IFMIS,http://www.tresor.mr,http://www.impots.gov.mr,http://fr.ami.mr/Depeche-52106.html,-,-,http://www.gimtel.mr/doc/Ordonnance_2006-031_Inst_Pt_Op_Com_electronique.pdf,"85,000",NOVA > SIGPE,NOVA > RATEB,ARMP Website,"Ministry of Finance, General Directorate of the Treasury and Public Accounting",http://www.finances.gov.mr,,AFR,D,0,0,0,0,0,0,civil + religious,0,0,0,-,0.36,2,-,0,1,0,0,0,0,0,1,0.40,0.33,28,MRT,0.59,0.29,0.08,0.12,-0.03,-0.08,-0.07,0.02,-0.07,0.07,0.02,0.09,0.09,-0.01,0.03,0.03,-0.05,-0.05,-0.03,-0.12,-0.08,0.01,-0.05,-0.10,-0.01,-0.11,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,-0.15,-0.04,-0.03,0.10,0.12,-0.03,-0.06,-0.13,-0.12,-0.12,-0.10,0.27,MRT,C,D,0.247,-,0.282,0.203,-,MRT,MRT,MRT,MRT,MRT,MRT,-0.52,-0.52
B,114,0.03,HIC,http://www.govmu.org/English/Pages/default.aspx,63,http://cib.govmu.org/English/Pages/default.aspx,3,1,0,-,http://mof.govmu.org,IFMS,http://treasury.mof.govmu.org/English/Pages/default.aspx,https://www.mra.mu/index.php/taxes-duties/overview-of-taxes,http://www.mra.mu,https://eservices.mra.mu/,https://www2.govmu.org/EN/Pages/epayment.aspx,https://www.cca.mu/home.htm,"95,200",HRMIS,HRMIS,Public Procurement Portal,Ministry of Finance and Economic Development,http://mof.govmu.org,,AFR,C,0,2,2,0,1,0,civil,2,2,0,0,0.61,3,-,0,2,2,0,1,0,0,1,0.67,0.56,52,MUS,0.63,0.76,0.36,0.58,0.05,-0.08,-0.07,0.02,0.09,0.07,0.02,-0.10,-0.14,-0.01,0.03,-0.01,-0.05,0.04,0.05,0.03,0.05,0.01,0.00,0.14,-0.01,0.02,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,0.10,0.13,-0.03,-0.02,-0.02,-0.06,0.02,0.03,-0.15,0.02,0.03,0.10,0.12,0.02,0.03,0.04,-0.12,0.10,-0.10,0.58,MUS,B,B,0.581,-,0.720,0.574,-,MUS,MUS,MUS,MUS,MUS,MUS,0.03,0.03
A,115,0.74,UMIC,http://www.gob.mx,61,http://www.gob.mx/que-es-gobmx,3,1,1,1,https://www.gob.mx/shcp/en,SIAFF,https://www.gob.mx/shcp/en,https://siat.sat.gob.mx/PTSC/,http://www.sat.gob.mx/,https://rfc.siat.sat.gob.mx/PTSC/RFC/menu/,http://omawww.sat.gob.mx/aduanasPortal/Paginas/index.html#!/deposito_referenciado,http://www.sat.gob.mx/fichas_tematicas/fiel/Paginas/obtener_fiel.aspx,"5,819,500",RUSP,SIDAFF,Compranet,Mexican Ministry of Finance and Public Credit,http://inversionpublica.edomex.gob.mx/dg_inversion,,LCR,A,2,1,2,1,1,0,civil,2,2,2,1,0.44,2,2,1,2,2,2,1,2,1,1,0.47,0.34,29,MEX,0.87,0.92,0.68,0.95,0.01,0.20,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.01,0.01,0.05,0.07,0.05,0.01,0.03,0.14,0.09,0.06,0.12,0.01,0.11,-0.04,0.16,-0.04,0.18,0.10,0.13,-0.03,-0.02,0.03,0.16,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.03,0.13,0.10,0.11,0.85,MEX,A,A,0.837,Yes,0.729,0.862,-,MEX,MEX,MEX,MEX,MEX,MEX,0.74,0.74
D,116,-1.57,LMIC,http://www.fsmgov.org,161,https://tci.gov.fm/,2,1,0,-,http://www.dofa.gov.fm/,FMIS,http://www.fsmgov.org/ngovt.html,http://www.dofa.gov.fm/customs-tax-administration/,http://www.dofa.gov.fm/customs-tax-administration/,-,-,-,"11,200",-,-,-,-,http://www.dofa.gov.fm/,,EAP,D,0,0,0,0,0,0,common + customary,0,0,0,-,-,3,-,0,2,0,0,0,0,0,0,0.46,0.65,-,FSM,0.20,0.10,0.18,0.14,-0.03,-0.08,-0.07,0.02,-0.15,0.07,-0.27,-0.29,-0.37,-0.09,-0.34,-0.01,-0.05,-0.14,-0.03,-0.05,-0.08,-0.21,-0.05,-0.10,-0.20,-0.05,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.01,0.03,-0.15,-0.04,-0.03,-0.91,-0.54,-0.09,-0.06,-0.01,-0.12,-0.12,-0.10,0.15,FSM,D,D,0.156,-,0.378,0.174,-,FSM,FSM,FSM,FSM,FSM,FSM,-1.57,-1.57
B,117,0.40,LMIC,https://www.egov.md/en/about,79,https://www.egov.md/en,2,1,1,1,http://www.mf.gov.md,FMIS,http://mf.gov.md/en/content/state-treasury,http://www.fisc.md,http://www.customs.gov.md,https://servicii.fisc.md/login.aspx?ReturnUrl=%2fedec.aspx,https://mpay.gov.md/,https://msign.gov.md/#/,"270,700",CSR,PS,M.Tender,Ministry of Finance,http://www.mf.gov.md,2014,ECA,A,2,2,2,1,1,0,civil,2,2,2,1,0.50,2,-,1,2,0,1,0,1,0,1,0.42,0.38,32,MDA,0.72,0.77,0.60,0.81,0.05,0.20,0.09,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,-0.05,0.01,-0.03,0.05,0.05,0.01,0.00,0.14,-0.01,0.05,0.12,0.01,0.11,-0.04,0.16,-0.04,-0.04,0.10,0.13,-0.03,-0.02,0.03,0.16,-0.01,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.02,0.01,-0.12,0.00,0.72,MDA,B,B,0.714,Yes,0.688,0.736,-,MDA,MDA,MDA,MDA,MDA,MDA,0.40,0.40
C,118,-0.08,HIC,http://www.gouv.mc,64,https://en.gouv.mc/Government-Institutions/The-Government/The-Ministry-of-State/General-Secretariat-of-the-Government/Digital-Government-Department,3,0,0,-,http://www.gouv.mc/Gouvernement-et-Institutions/Le-Gouvernement/Departement-des-Finances-et-de-l-Economie,FMIS,http://en.gouv.mc/Government-Institutions/The-Government/Ministry-of-Finance-and-Economy/Public-Treasury,http://en.gouv.mc/Government-Institutions/The-Government/Ministry-of-Finance-and-Economy/Department-of-Tax-Services,-,-,-,-,"4,700",-,-,-,-,http://www.gouv.mc/Gouvernement-et-Institutions/Le-Gouvernement/Departement-des-Finances-et-de-l-Economie,,-,C,0,1,2,0,0,0,civil,2,2,2,-,-,3,-,0,0,0,0,0,0,0,1,-,-,-,MCO,0.26,0.32,0.03,0.51,0.01,-0.08,0.01,0.02,-0.15,0.07,-0.27,-0.29,-0.37,-0.09,-0.34,-0.01,-0.05,0.10,-0.03,-0.02,-0.02,0.01,-0.02,-0.10,-0.20,-0.05,-0.10,-0.03,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,0.07,0.02,0.03,0.10,0.12,-0.09,0.03,0.05,-0.12,-0.12,-0.10,0.28,MCO,C,C,0.301,-,0.718,0.272,-,MCO,MCO,MCO,MCO,MCO,MCO,-0.08,-0.08
B,119,0.28,LMIC,http://www.smart.gov.mn/en/sub_1/,92,http://cita.gov.mn/?page_id=6069,2,0,1,1,http://www.mof.gov.mn,GFMIS,http://mof.gov.mn,http://www.mta.mn,http://www.ecustoms.mn,http://en.mta.mn/c/view/12082,-,https://www.esign.gov.mn/,"193,600",HRMIS,GFMIS,e-Proc > KONEPS,"Ministry of Finance, Department of Development Finance and Debt Management",http://www.mof.gov.mn,,EAP,C,0,0,2,0,1,0,civil,0,0,2,-,0.53,3,-,1,2,0,0,1,2,0,1,0.46,0.41,35,MNG,0.72,0.68,0.43,0.59,-0.03,0.06,0.01,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,-0.05,0.02,-0.03,-0.01,0.05,0.01,0.03,-0.10,-0.01,0.01,0.12,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,0.10,0.13,-0.03,-0.02,0.03,-0.06,-0.01,-0.03,0.07,-0.04,-0.03,0.10,0.12,0.07,0.03,0.05,-0.12,0.10,0.11,0.60,MNG,B,B,0.589,Yes,0.650,0.594,-,MNG,MNG,MNG,MNG,MNG,MNG,0.28,0.28
B,120,0.08,UMIC,http://www.euprava.me/en/about_montenegro,75,http://www.mid.gov.me/ministarstvo,3,1,0,-,http://www.mf.gov.me,TS,http://www.mf.gov.me/organizacija/budzet-i-trezor-/,http://www.poreskauprava.gov.me/uprava?alphabet=lat,http://www.upravacarina.gov.me/en/administration,https://eprijava.tax.gov.me/TaxisPortal,-,http://www.postacg-ca.me/,"35,000",PIS,PS,PPA Website,"Ministry of Finance, Treasury",http://www.mf.gov.me,,ECA,C,0,0,2,1,0,0,civil,2,2,2,-,-,2,-,1,2,0,0,0,0,0,1,0.53,0.49,45,MNE,0.63,0.61,0.58,0.66,-0.03,-0.08,0.01,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,-0.05,0.06,-0.03,-0.01,0.05,0.01,0.00,-0.10,-0.01,0.00,0.12,0.01,0.11,0.12,0.16,0.24,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.05,-0.12,-0.12,-0.10,0.62,MNE,B,B,0.593,-,0.701,0.539,-,MNE,MNE,MNE,MNE,MNE,MNE,0.08,0.08
B,121,0.37,LMIC,http://www.maroc.ma,106,http://www.mcinet.gov.ma/en/node/58,2,0,1,1,http://www.finances.gov.ma,GID,https://www.tgr.gov.ma,http://www.tax.gov.ma,http://www.douane.gov.ma,http://www.tax.gov.ma/wps/portal/SimplIR,https://www.tgr.gov.ma/wps/portal/erecouvrement,http://www.egov.ma/en/electronic-certificate,"919,477",SIRH,GID,Public Procurement Portal,Ministry of Economy and Finance,http://www.finances.gov.ma,,MNA,C,0,2,2,1,0,0,civil + religious,2,2,2,0,0.50,2,2,1,1,0,2,1,1,0,1,0.48,0.44,41,MAR,0.77,0.82,0.50,0.73,0.05,-0.08,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,-0.05,0.01,-0.03,-0.01,0.05,0.01,0.03,0.14,-0.01,-0.01,0.12,-0.01,0.11,0.12,0.16,0.24,-0.04,-0.06,-0.05,-0.03,-0.02,0.03,-0.06,-0.01,-0.03,0.07,0.02,0.03,0.10,0.12,0.02,0.03,-0.03,0.13,0.10,0.00,0.71,MAR,B,B,0.666,Yes,0.573,0.632,-,MAR,MAR,MAR,MAR,MAR,MAR,0.37,0.37
C,122,-0.33,LIC,http://www.presidencia.gov.mz,163,http://www.intic.gov.mz/,3,0,0,-,http://www.mef.gov.mz/,e-SISTAFE,http://www.mef.gov.mz/,http://www.at.gov.mz,http://www.at.gov.mz,-,-,https://www.inage.gov.mz/?page_id=1735#,"393,700",e-SIP,e-FOLHA > e-SISTAFE,Public Tenders Portal,Ministry of Finance,http://www.mef.gov.mz/,2009,AFR,D,0,0,0,0,0,0,civil,0,0,2,-,0.41,2,-,0,1,0,0,0,0,0,1,0.34,0.34,26,MOZ,0.69,0.47,0.12,0.27,-0.03,0.06,0.01,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.01,-0.05,-0.13,-0.03,-0.01,-0.02,0.01,-0.02,-0.10,-0.01,-0.01,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,0.07,-0.04,-0.03,0.10,0.12,-0.09,-0.06,-0.11,-0.12,-0.12,-0.10,0.39,MOZ,C,C,0.363,-,0.356,0.350,-,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,-0.33,-0.33
C,123,-0.84,LMIC,http://www.president-office.gov.mm,146,-,0,0,0,-,https://www.mopfi.gov.mm/,Payment System,https://www.cbm.gov.mm/content/issuance-government-treasury-bonds,https://www.ird.gov.mm/,https://www.customs.gov.mm/,https://www.ird.gov.mm/my/page/636,https://onlinepayment.ird.gov.mm/etax,https://www.myanmartradeportal.gov.mm/uploads/ecommerce/2019/10/Electronic%20Transactions%20Law%202004(English).pdf,"900,000",HRMIS,PS,-,Ministry of Finance,https://www.mopfi.gov.mm/,,EAP,D,0,0,2,0,0,0,common,0,0,0,1,0.42,1,1,0,2,0,0,0,0,0,1,0.27,0.37,29,MMR,0.33,0.66,0.17,0.20,-0.03,-0.08,-0.07,-0.11,-0.15,-0.46,0.02,0.09,0.09,-0.09,-0.10,-0.01,-0.05,-0.01,-0.03,-0.08,-0.08,0.01,0.00,0.14,0.09,-0.07,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,-0.15,-0.04,-0.03,0.10,-0.54,0.02,0.03,-0.07,-0.12,-0.12,-0.10,0.34,MMR,C,C,0.310,-,0.432,0.268,-,MMR,MMR,MMR,MMR,MMR,MMR,-0.84,-0.84
C,124,-0.40,UMIC,http://www.opm.gov.na/e-governance,104,http://www.opm.gov.na/en/home,2,1,0,-,https://mof.gov.na/,IFMS,https://mof.gov.na/state-accounts,https://www.itas.mof.na/,https://mof.gov.na/customs-excise,https://www.itas.mof.na/,-,http://www.mict.gov.na/,"52,900",HRIMS,PS,Ministry of Finance,"Ministry of Finance, Asset, Cash & Debt Management Directorate",https://mof.gov.na/,,AFR,D,0,0,0,0,0,0,civil + common,0,0,0,-,0.63,3,-,0,1,0,0,0,0,0,1,0.52,0.57,52,NAM,0.45,0.47,0.12,0.21,-0.03,-0.08,-0.07,0.02,-0.15,0.07,0.02,-0.29,0.09,-0.01,0.03,-0.01,-0.05,0.00,-0.03,-0.01,-0.02,0.01,-0.02,-0.10,-0.01,-0.02,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.01,0.03,-0.15,-0.04,-0.03,0.10,0.12,-0.09,-0.06,-0.01,-0.12,-0.12,-0.10,0.31,NAM,C,C,0.323,-,0.575,0.307,-,NAM,NAM,NAM,NAM,NAM,NAM,-0.40,-0.40
D,125,-1.64,HIC,http://www.naurugov.nr/,154,-,0,0,0,-,http://www.naurugov.nr/government/departments/department-of-finance.aspx,FMIS,http://www.naurugov.nr/government/departments/department-of-finance.aspx,http://www.naurugov.nr/government/departments/department-of-finance/nauru-revenue-office.aspx,http://www.naurugov.nr/government/departments/department-of-finance/nauru-customs-service.aspx,-,-,-,"2,700",MYOB,MYOB,-,Ministry of Finance,http://www.naurugov.nr/government/departments/department-of-finance.aspx,,EAP,D,0,0,1,0,0,0,common,0,0,0,-,-,3,-,0,1,0,0,0,0,0,0,0.47,0.41,-,NRU,0.28,0.01,0.09,0.06,-0.03,-0.08,-0.07,-0.11,-0.15,-0.46,-0.27,0.09,0.09,-0.09,0.03,-0.01,-0.05,-0.02,-0.03,-0.10,-0.08,-0.43,-0.05,-0.10,-0.20,-0.09,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,-0.15,-0.04,-0.03,-0.91,-0.54,-0.09,-0.02,-0.04,-0.12,-0.12,-0.10,0.11,NRU,D,D,0.117,-,0.415,0.105,-,NRU,NRU,NRU,NRU,NRU,NRU,-1.64,-1.64
B,126,0.26,LMIC,http://www.nepal.gov.np,132,http://nitc.gov.np/,3,0,1,1,https://mof.gov.np/en/,DECS/TSA,https://mof.gov.np/en/search/?search=treasury,https://ird.gov.np/,http://www.customs.gov.np,http://taxpayerportalb.ird.gov.np/taxpayer/app.html,-,http://occ.gov.np/digital-signature,"80,108",PIS,PMS,PPMO,"Ministry of Finance, Financial Comptroller General's Office",https://mof.gov.np/en/,2010,SAR,C,0,2,2,0,0,0,common,2,2,2,1,0.53,2,-,0,2,0,0,1,2,0,1,0.29,0.37,34,NPL,0.74,0.53,0.18,0.72,0.05,0.20,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,-0.05,-0.02,-0.03,-0.04,-0.02,0.01,0.00,-0.10,-0.01,-0.05,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,0.03,-0.06,0.02,-0.03,0.07,0.02,0.03,0.10,0.12,0.02,0.03,-0.06,-0.12,0.10,0.11,0.54,NPL,B,B,0.524,Yes,0.470,0.508,-,NPL,NPL,NPL,NPL,NPL,NPL,0.26,0.26
A,127,0.79,HIC,https://www.overheid.nl,10,https://www.nldigitalgovernment.nl/,3,2,1,-,http://www.government.nl/ministries/fin,IBOS,http://www.dsta.nl,https://www.government.nl/topics/income-tax,https://www.government.nl/topics/export-import-and-customs,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/content/inloggen-mijn-belastingdienst,-,https://www.logius.nl/languages/english/pkioverheid/,"1,132,000",p-Direkt,p-Direkt,Tender Ned,Dutch State Treasury Agency,http://www.government.nl/ministries/fin,,-,A,2,2,2,1,1,0,civil,2,2,2,-,0.84,3,-,1,2,2,2,1,2,3,1,0.86,0.90,82,NLD,0.93,0.78,0.69,0.96,0.05,0.20,0.09,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.13,0.12,0.05,0.09,0.05,0.01,0.00,0.02,0.09,0.09,0.12,0.01,0.11,-0.04,0.16,-0.04,0.18,0.10,0.13,-0.03,-0.02,0.03,0.16,0.02,0.09,0.07,0.02,0.03,0.10,0.12,0.02,0.03,0.10,0.13,0.10,0.11,0.84,NLD,A,A,0.863,Yes,0.923,0.896,0.45,NLD,NLD,NLD,NLD,NLD,NLD,0.79,0.79
A,128,-0.38,HIC,https://www.govt.nz,8,https://www.digital.govt.nz/,3,2,1,1,http://www.treasury.govt.nz,CFISnet,http://www.treasury.govt.nz,http://www.ird.govt.nz,http://www.customs.govt.nz,http://www.ird.govt.nz/online-services/keyword/,http://www.justice.govt.nz/fines,http://www.bcn.gob.ni/sistema_pagos/documentos/Ley_729_Ley_de_firma_electronica.pdf,"274,500",HRMIS,PS,GETS,New Zealand Debt Management Office,http://www.treasury.govt.nz,,-,A,2,2,2,1,1,1,common,2,2,2,-,0.83,3,-,1,2,1,2,1,2,2,0,0.83,0.93,87,NZL,0.88,0.85,0.77,0.89,0.05,0.20,0.09,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,0.12,0.01,0.09,0.05,0.01,0.03,0.02,0.09,0.10,0.12,0.01,0.11,-0.04,0.16,-0.04,0.18,0.10,0.13,-0.03,0.12,0.03,0.16,0.02,0.09,0.07,0.02,0.03,-0.91,-0.54,0.02,0.03,0.11,0.13,0.10,0.11,0.85,NZL,A,A,0.863,Yes,0.934,0.888,0.56,NZL,NZL,NZL,NZL,NZL,NZL,-0.38,-0.38
