Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Category,Category Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Growth rate (over previous period),Growth rate (over previous period) Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of total trade in services,Percentage of total trade in services Footnote
2005,051,"Armenia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",133.487,"Estimated",,,,,23.09175,"Estimated"
2005,051,"Armenia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",74.512,"Estimated",,,0.006195,"Estimated",17.32238,"Estimated"
2005,052,"Barbados",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",267.018,,,,,,51.13055,
2005,052,"Barbados",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",300.061,,,,0.024948,,23.91834,
2005,068,"Bolivia (Plurinational State of)",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",234.754,,,,,,34.42377,
2005,068,"Bolivia (Plurinational State of)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",88.767,,,,0.00738,,13.50755,
2005,070,"Bosnia and Herzegovina",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",90.724,"Estimated",,,,,20.82902,"Estimated"
2005,070,"Bosnia and Herzegovina",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",207.76,"Estimated",,,0.017274,"Estimated",21.00808,"Estimated"
2005,072,"Botswana",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",210.701,,,,,,35.47143,
2005,072,"Botswana",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",165.035,,,,0.013721,,19.84758,
2005,076,"Brazil",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",11573.995,,,,,,49.31169,
2005,076,"Brazil",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",7194.179,,,,0.598139,,46.5895,"Estimated"
2005,084,"Belize",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",54.751,,,,,,34.47987,
2005,084,"Belize",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",38.514,,,,0.003202,,12.54731,
2005,090,"Solomon Islands",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",21.059,,,,,,36.31887,
2005,090,"Solomon Islands",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",24.55,,,,0.002041,,59.2659,
2005,096,"Brunei Darussalam",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",245.008,,,,,,22.07021,
2005,096,"Brunei Darussalam",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",111.697,"Estimated",,,0.009287,"Estimated",18.12935,"Estimated"
2005,108,"Burundi",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",20.453,"Estimated",,,,,15.25424,"Estimated"
2005,108,"Burundi",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",3.404,"Estimated",,,0.000283,"Estimated",9.78319,"Estimated"
2005,1100,"Developed economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1013363.247,,,,84.253143,,50.36826,
2005,112,"Belarus",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",279.4,,,,,,24.48729,
2005,112,"Belarus",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",359,,,,0.029848,,15.32682,
2005,1120,"Developed economies: America",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",234594.042,,,,19.50464,,53.31985,
2005,1130,"Developed economies: Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",54008.5,,,,4.49038,,45.24185,
2005,1140,"Developed economies: Europe",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",715990.471,,,,59.528948,,50.77261,
2005,1150,"Developed economies: Oceania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",8770.234,,,,0.729176,,20.70131,
2005,116,"Cambodia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",131.44,,,,,,20.47974,
2005,116,"Cambodia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",84.831,,,,0.007053,,7.58703,
2005,120,"Cameroon",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",591.173,,,,,,40.39208,
2005,120,"Cameroon",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",237.665,,,,0.01976,,24.49356,
2005,1200,"Developing economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",177301.136,,,,14.741188,,28.96318,
2005,1210,"Developing economies: Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",10896.424,,,,0.905952,,17.71058,
2005,1220,"Developing economies: America",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",22007.99,,,,1.82979,,23.57385,
2005,1230,"Developing economies: Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",143841.498,,,,11.959283,,31.667,
2005,124,"Canada",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",30744.5,,,,,,46.63175,
2005,124,"Canada",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",32735.7,,,,2.721715,,53.23908,
2005,1250,"Developing economies: Oceania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",555.224,,,,0.046163,,18.22651,
2005,1300,"Transition economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",12095.781,,,,1.005669,,22.65,
2005,132,"Cabo Verde",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",35.827,,,,,,16.68933,
2005,132,"Cabo Verde",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",25.394,,,,0.002111,,9.17663,
2005,144,"Sri Lanka",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",543.642,"Estimated",,,,,18.83468,"Estimated"
2005,144,"Sri Lanka",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",386.95,"Estimated",,,0.032172,"Estimated",25.1245,"Estimated"
2005,152,"Chile",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",2552.302,,,,,,33.91492,
2005,152,"Chile",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1595.068,,,,0.132617,,22.81374,
2005,156,"China",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",31511.48,,,,,,37.52676,
2005,156,"China",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",17347.73,,,,1.442327,,22.10783,
2005,158,"China, Taiwan Province of",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",13753.662,,,,,,42.37502,
2005,158,"China, Taiwan Province of",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",6829.929,,,,0.567855,,37.65744,
2005,170,"Colombia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1621.5,,,,,,30.48792,
2005,170,"Colombia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",577.9,,,,0.048048,,19.29356,
2005,174,"Comoros",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",7.354,"Estimated",,,,,16.04381,"Estimated"
2005,174,"Comoros",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",10.338,"Estimated",,,0.00086,"Estimated",24.19119,"Estimated"
2005,178,"Congo",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1065.846,"Estimated",,,,,75.21053,"Estimated"
2005,178,"Congo",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",156.218,"Estimated",,,0.012988,"Estimated",70.85134,"Estimated"
2005,180,"Congo, Dem. Rep. of the",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",118.4,,,,,,10.12658,
2005,180,"Congo, Dem. Rep. of the",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",115.7,,,,0.00962,,33.71212,
2005,188,"Costa Rica",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",433.356,,,,,,28.66746,
2005,188,"Costa Rica",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",597.697,,,,0.049694,,18.69501,
2005,191,"Croatia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",2033.803,,,,,,56.27247,
2005,191,"Croatia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1282.604,,,,0.106638,,14.11598,
2005,203,"Czechia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",5266.13,,,,,,48.71698,
2005,203,"Czechia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",3746.958,,,,0.31153,,28.49104,"Estimated"
2005,204,"Benin",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",65.848,,,,,,23.40495,
2005,204,"Benin",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",42.988,"Estimated",,,0.003574,"Estimated",22.17682,"Estimated"
2005,208,"Denmark",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",10755.607,,,,,,27.99833,
2005,208,"Denmark",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",8820.738,,,,0.733375,,20.11085,
2005,2101,"Developed economies: Asia and Oceania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",62778.734,,,,5.219555,,38.8139,
2005,2102,"Developing economies: Asia and Oceania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",144396.722,,,,12.005446,,31.57746,
2005,2116,"Sub-Saharan Africa excluding South Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",3378.819,,,,0.280922,,18.04467,
2005,2117,"Africa excluding South Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",8924.725,,,,0.74202,,17.95855,
2005,212,"Dominica",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",10.982,"Estimated",,,,,21.88041,"Estimated"
2005,212,"Dominica",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",24.189,"Estimated",,,0.002011,"Estimated",27.98086,"Estimated"
2005,214,"Dominican Republic",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",209.3,,,,,,14.15911,
2005,214,"Dominican Republic",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",213.8,,,,0.017776,,3.45871,
2005,2160,"Developing economies excluding China",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",159953.406,,,,13.298861,,29.97112,
2005,2161,"Developing economies excluding LDCs",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",175201.786,,,,14.566644,,29.19412,
2005,218,"Ecuador",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",608.216,,,,,,28.3161,
2005,218,"Ecuador",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",119.361,,,,0.009924,,11.72365,
2005,2200,"M49 developing regions",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",178674.598,,,,14.85538,,28.88202,
2005,2205,"M49 developed regions",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1024085.567,,,,85.14462,,49.741,
2005,2210,"LDCs (Least developed countries)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2099.35,,,,0.174544,,17.44609,
2005,2211,"LDCs: Africa and Haiti",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1402.628,,,,0.116617,,17.97408,
2005,2213,"LDCs: Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",634.437,,,,0.052748,,15.92509,
2005,2216,"LDCs: Islands",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",62.285,,,,0.005179,,25.33352,
2005,222,"El Salvador",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",312.4,,,,,,28.02497,
2005,222,"El Salvador",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",165.7,,,,0.013777,,11.21087,
2005,2220,"LLDCs (Landlocked developing countries)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2719.593,"Estimated",,,0.226113,"Estimated",20.51276,"Estimated"
2005,2221,"LDCs: Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1388.888,,,,0.115475,,18.13607,
2005,2222,"LDCs: Islands and Haiti",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",76.025,,,,0.006321,,19.42783,
2005,2230,"SIDS (Small island developing States) (UNCTAD)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1840.652,,,,0.153036,,14.9023,
2005,2231,"SIDS: Atlantic and Indian Ocean",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",387.17,,,,0.03219,,14.67019,
2005,2232,"SIDS: Caribbean",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1332.577,,,,0.110793,,15.83689,
2005,2233,"SIDS: Pacific",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",120.905,,,,0.010052,,9.3153,
2005,2250,"SIDS (Small island developing States) (UN-OHRLLS)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",23755.598,,,,1.97509,,29.0349,
2005,231,"Ethiopia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",215.164,,,,,,18.02297,
2005,231,"Ethiopia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",141.871,,,,0.011795,,14.01707,
2005,233,"Estonia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",623.293,,,,,,27.61894,
2005,233,"Estonia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",635.771,,,,0.052859,,18.3075,
2005,234,"Faroe Islands",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",48.807,,,,,,21.24043,
2005,234,"Faroe Islands",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",42.798,,,,0.003558,,32.29746,
2005,2370,"Selected exporters of petroleum",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",18279.618,,,,1.519806,,26.09737,
2005,2371,"Selected exporters of manufactured goods",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",128345.144,,,,10.670884,,31.66128,
2005,2372,"Selected exporters of manufactured goods and primary commodities",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",60015.061,,,,4.989778,,22.73976,
2005,2373,"Selected exporters of agricultural products",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",6526.083,,,,0.542592,,21.52536,
2005,2374,"Selected exporters of minerals and mining products",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2741.835,,,,0.227962,,20.87969,
2005,2376,"Selected LIFDC (Low-income food-deficit countries)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",40348.479,"Estimated",,,3.354657,"Estimated",57.93371,"Estimated"
2005,2378,"LIFDC (Low-income food-deficit countries) (FAO)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",41630.309,"Estimated",,,3.461231,"Estimated",54.98236,"Estimated"
2005,2411,"Net food-importing economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",667868.72,,,,55.528005,,44.21996,
2005,2412,"Net food-exporting economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",534213.033,,,,44.415591,,45.84655,
2005,2413,"Net food-exporting developing economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",73910.97,,,,6.145113,,33.1925,
2005,2414,"Net food-exporting transition economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2278.161,"Estimated",,,0.189411,"Estimated",15.04754,"Estimated"
2005,2415,"Net food-exporting developed economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",458023.902,,,,38.081067,,49.38762,
2005,2416,"Major net food-exporting economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",529606.877,,,,44.032625,,46.55868,
2005,242,"Fiji",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",116.47,,,,,,21.98582,
2005,242,"Fiji",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",52.259,,,,0.004345,,5.61863,
2005,2420,"Net food-importing developing economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",102711.754,,,,8.53967,,26.5016,
2005,2421,"Net food-importing transition economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",9817.62,,,,0.816258,,25.65809,
2005,2422,"Net food-importing developed economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",555339.346,,,,46.172077,,51.20686,
2005,2423,"Major net food-importing economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",612727.786,,,,50.943472,,45.38333,
2005,2508,"Industrialized economies (UNIDO)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1070266.214,,,,88.984175,,49.28043,
2005,2509,"EIEs (Emerging Industrial Economies) (UNIDO)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",106314.773,,,,8.839233,,26.84552,
2005,2510,"Emerging markets",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",179589.456,,,,14.931444,,30.02184,
2005,2511,"Emerging markets: Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",4279.267,,,,0.355787,,15.1404,
2005,2512,"Emerging markets: America",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",14785.578,,,,1.229304,,27.59055,
2005,2513,"Emerging markets: Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",134928.247,,,,11.218217,,32.91958,
2005,2514,"Emerging markets: Europe and Kazakhstan",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",25596.363,,,,2.128135,,24.04079,
2005,258,"French Polynesia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",193.55,,,,,,26.81364,
2005,258,"French Polynesia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",165.03,,,,0.013721,,15.3678,
2005,2611,"HIPCs (Heavily indebted poor countries) (IMF)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2631.612,,,,0.218798,,19.29534,
2005,262,"Djibouti",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",20.2,"Estimated",,,,,24.10857,"Estimated"
2005,262,"Djibouti",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",12.717,"Estimated",,,0.001057,"Estimated",5.12007,"Estimated"
2005,2621,"High-income developing economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",116787.022,,,,9.709918,,25.31429,
2005,2622,"Middle-income developing economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",58972.643,,,,4.903109,,41.76052,
2005,2623,"Low-income developing economies",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1541.471,,,,0.128161,,16.06385,
2005,2624,"Low-income economies (World Bank)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1550.315,,,,0.128896,,15.9757,
2005,2625,"Lower-middle-income economies (World Bank)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",57851.107,,,,4.809862,,40.91844,
2005,2626,"Upper-middle-income economies (World Bank)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",67850.691,,,,5.641249,,22.02536,
2005,2627,"High-income economies (World Bank)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1075881.536,,,,89.451045,,48.46847,
2005,2628,"High-income OECD members (World Bank)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1019486.451,,,,84.762239,,50.06753,
2005,2629,"High-income non OECD members (World Bank)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",56395.085,,,,4.688806,,30.72752,
2005,266,"Gabon",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",418.171,"Estimated",,,,,40.4436,"Estimated"
2005,266,"Gabon",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",83.838,"Estimated",,,0.00697,"Estimated",57.61445,"Estimated"
2005,268,"Georgia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",110.488,,,,,,17.37802,
2005,268,"Georgia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",70.253,,,,0.005841,,9.52062,
2005,270,"Gambia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",6.017,"Estimated",,,,,12.83436,"Estimated"
2005,270,"Gambia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",8.035,"Estimated",,,0.000668,"Estimated",9.77318,"Estimated"
2005,2710,"BASIC",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",63877.704,,,,5.310926,,40.44991,
2005,2711,"BRICS",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",71807.464,,,,5.970223,,38.44835,
2005,275,"State of Palestine",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",127.17,,,,,,27.8055,
2005,275,"State of Palestine",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",84.869,"Estimated",,,0.007056,"Estimated",37.68723,"Estimated"
2005,276,"Germany",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",80666.923,,,,,,38.53132,
2005,276,"Germany",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",81525.174,,,,6.778174,,49.08412,"Estimated"
2005,288,"Ghana",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",256.404,"Estimated",,,,,20.14027,"Estimated"
2005,288,"Ghana",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",100.889,"Estimated",,,0.008388,"Estimated",9.1179,"Estimated"
2005,300,"Greece",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",3501.452,,,,,,21.5753,
2005,300,"Greece",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2752.431,,,,0.228843,,8.1274,
2005,308,"Grenada",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",25.505,"Estimated",,,,,26.51332,"Estimated"
2005,308,"Grenada",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",32.006,"Estimated",,,0.002661,"Estimated",27.59025,"Estimated"
2005,3101,"AMU (Arab Maghreb Union)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",3301.232,,,,0.274471,,20.301,
2005,3102,"COMESA (Common Market for Eastern and Southern Africa)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",3948.323,,,,0.328272,,14.56085,
2005,3103,"ECCAS (Economic Community of Central African States)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",724.16,,,,0.060208,,32.79053,
2005,3104,"ECOWAS (Economic Community of West African States)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1017.943,,,,0.084634,,16.60206,
2005,3105,"MRU (Mano River Union)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",410.325,,,,0.034115,,31.34419,
2005,3106,"SADC (Southern African Development Community)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",3285.068,,,,0.273127,,17.34179,
2005,3107,"CEMAC (Economic and Monetary Community of Central Africa)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",537.554,,,,0.044693,,35.25484,
2005,3108,"WAEMU (West African Economic and Monetary Union)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",834.789,,,,0.069406,,33.40322,
2005,3109,"CEPGL (Economic Community of the Great Lakes Countries)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",119.104,,,,0.009903,,23.93087,
2005,3110,"EAC (East African Community)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",473.47,,,,0.039365,,12.35377,
2005,3111,"SACU (Southern African Customs Union)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2341.973,,,,0.194717,,17.5978,
2005,3112,"CEN-SAD (Community of Sahel-Saharan States)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",5398.857,,,,0.448872,,15.60936,
2005,3113,"IGAD (Intergovernmental Authority on Development)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",482.869,,,,0.040147,,12.51608,
2005,3114,"United Nations member States",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1177537.471,,,,97.902932,,45.33386,
2005,320,"Guatemala",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",214.7,,,,,,14.81098,
2005,320,"Guatemala",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",276.2,,,,0.022964,,21.11944,
2005,3201,"CAN (Andean Community)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1192.737,,,,0.099167,,17.1324,
2005,3202,"CACM (Central American Common Market)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1241.17,,,,0.103193,,14.97646,
2005,3203,"CARICOM (Caribbean Community)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1562.023,,,,0.12987,,16.91679,
2005,3204,"FTAA (Free Trade Area of the Americas)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",253094.02,,,,21.042767,,48.5444,
2005,3205,"LAIA (Latin American Integration Association)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",17280.636,,,,1.436748,,26.6768,
2005,3206,"NAFTA (North American Free Trade Agreement)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",236820.672,,,,19.689767,,51.96729,
2005,3207,"OECS (Organisation of Eastern Caribbean States)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",228.028,"Estimated",,,0.018959,"Estimated",14.84793,"Estimated"
2005,3208,"MERCOSUR (Southern Common Market)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",9911.11,,,,0.82403,,39.90245,
2005,3209,"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2230.155,"Estimated",,,0.18542,"Estimated",21.49829,"Estimated"
