Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Business,Euro area,2019,Time required to start a business (days),9.81578947368421,4.7425,False,Startup Environment
Business,Europe & Central Asia,2019,Time required to start a business (days),11.762,3.495,False,Startup Environment
Business,Europe & Central Asia (excluding high income),2019,Time required to start a business (days),11.78,3.495,False,Startup Environment
Business,Europe & Central Asia (IDA & IBRD countries),2019,Time required to start a business (days),13.2772727272727,3.495,False,Startup Environment
Business,European Union,2019,Time required to start a business (days),12.1666666666667,3.495,False,Startup Environment
Business,Fragile and conflict affected situations,2019,Time required to start a business (days),34.6105263157895,1.0,False,Startup Environment
Business,Heavily indebted poor countries (HIPC),2019,Time required to start a business (days),22.5384615384615,2.2475000000000005,False,Startup Environment
Business,High income,2019,Time required to start a business (days),10.9689655172414,4.7425,False,Startup Environment
Business,IBRD only,2019,Time required to start a business (days),23.4367647058824,2.2475000000000005,False,Startup Environment
Business,IDA & IBRD total,2019,Time required to start a business (days),22.9673758865248,2.2475000000000005,False,Startup Environment
Business,IDA blend,2019,Time required to start a business (days),19.18,2.2475000000000005,False,Startup Environment
Business,IDA only,2019,Time required to start a business (days),23.3965517241379,2.2475000000000005,False,Startup Environment
Business,IDA total,2019,Time required to start a business (days),22.5301369863014,2.2475000000000005,False,Startup Environment
Business,Late-demographic dividend,2019,Time required to start a business (days),11.26875,4.7425,False,Startup Environment
Business,Latin America & Caribbean,2019,Time required to start a business (days),28.0909090909091,1.0,False,Startup Environment
Business,Latin America & Caribbean (excluding high income),2019,Time required to start a business (days),33.42,1.0,False,Startup Environment
Business,Latin America & the Caribbean (IDA & IBRD countries),2019,Time required to start a business (days),29.8,1.0,False,Startup Environment
Business,Least developed countries: UN classification,2019,Time required to start a business (days),26.2173913043478,1.0,False,Startup Environment
Business,Low & middle income,2019,Time required to start a business (days),23.3601503759398,2.2475000000000005,False,Startup Environment
Business,Low income,2019,Time required to start a business (days),22.0769230769231,2.2475000000000005,False,Startup Environment
Business,Lower middle income,2019,Time required to start a business (days),24.5418181818182,2.2475000000000005,False,Startup Environment
Business,Middle East & North Africa,2019,Time required to start a business (days),19.5190476190476,2.2475000000000005,False,Startup Environment
Business,Middle East & North Africa (excluding high income),2019,Time required to start a business (days),24.8846153846154,2.2475000000000005,False,Startup Environment
Business,Middle East & North Africa (IDA & IBRD countries),2019,Time required to start a business (days),23.3333333333333,2.2475000000000005,False,Startup Environment
Business,Middle income,2019,Time required to start a business (days),23.6719626168224,2.2475000000000005,False,Startup Environment
Business,North America,2019,Time required to start a business (days),2.85,5.99,False,Startup Environment
Business,OECD members,2019,Time required to start a business (days),9.47894736842105,4.7425,False,Startup Environment
Business,Other small states,2019,Time required to start a business (days),15.5769230769231,3.495,False,Startup Environment
Business,Pacific island small states,2019,Time required to start a business (days),20.4444444444444,2.2475000000000005,False,Startup Environment
Business,Post-demographic dividend,2019,Time required to start a business (days),11.1888888888889,4.7425,False,Startup Environment
Business,Pre-demographic dividend,2019,Time required to start a business (days),20.6540540540541,2.2475000000000005,False,Startup Environment
Business,Small states,2019,Time required to start a business (days),17.59375,2.2475000000000005,False,Startup Environment
Business,South Asia,2019,Time required to start a business (days),14.5625,3.495,False,Startup Environment
Business,South Asia (IDA & IBRD),2019,Time required to start a business (days),14.5625,3.495,False,Startup Environment
Business,Sub-Saharan Africa,2019,Time required to start a business (days),21.525,2.2475000000000005,False,Startup Environment
Business,Sub-Saharan Africa (excluding high income),2019,Time required to start a business (days),21.3021276595745,2.2475000000000005,False,Startup Environment
Business,Sub-Saharan Africa (IDA & IBRD countries),2019,Time required to start a business (days),21.525,2.2475000000000005,False,Startup Environment
Business,Upper middle income,2019,Time required to start a business (days),22.7519230769231,2.2475000000000005,False,Startup Environment
Business,World,2019,Time required to start a business (days),19.5973821989529,2.2475000000000005,False,Startup Environment
